image_path,status
/srv/shared_leopard_toad/2024/02.09.2024/6Z/100MEDIA/DSCF0379.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/3Z/108MEDIA/DSCF0606.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6Z/105MEDIA/DSCF0298.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/104MEDIA/DSCF0889.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/4Z/107MEDIA/DSCF0467.JPG,To annotate
/srv/shared_leopard_toad/2024/11.10.2024/3Z/100MEDIA/DSCF0297.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/102MEDIA/DSCF0188.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/108MEDIA/DSCF0679.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/106MEDIA/DSCF0672.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/3Z/100MEDIA/DSCF0578.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-101 (100).JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/4Z/112MEDIA/DSCF0317.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/4Z/104MEDIA/DSCF0555.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/4Z/103MEDIA/DSCF0617.JPG,To annotate
/srv/shared_leopard_toad/2024/11.10.2024/5R/100MEDIA/DSCF0298.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/3Z/108MEDIA/DSCF0594.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/3Z/101MEDIA/DSCF0891.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (732).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6Z/109MEDIA/DSCF0653.JPG,To annotate
/srv/shared_leopard_toad/2024/02.10.2024/6Z/105MEDIA/DSCF0668.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5R/100MEDIA/DSCF0380.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0679.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/3R/103MEDIA/DSCF0251.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-105 (244).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/4Z/103MEDIA/DSCF0699.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/3Z/103MEDIA/DSCF0478.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/4Z/103MEDIA/DSCF0048.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/4Z/106MEDIA/DSCF0467.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/3Z/105MEDIA/DSCF0079.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/6Z/100MEDIA/DSCF0616.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6R/105MEDIA/DSCF0244.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/4Z/105MEDIA/DSCF0508.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/4Z/104MEDIA/DSCF0373.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6R/104MEDIA/DSCF0599.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/106MEDIA/DSCF0906.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/4Z/105MEDIA/DSCF0405.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/3Z/102MEDIA/DSCF0670.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/3Z/3z-100 (141).JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/5R/106MEDIA/DSCF0936.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/100MEDIA/DSCF0122.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/3R/103MEDIA/DSCF0053.JPG,To annotate
/srv/shared_leopard_toad/2024/19.09.2024/6R/103MEDIA/DSCF0231.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/107MEDIA/DSCF0757.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/106MEDIA/DSCF0555.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/5R/105MEDIA/DSCF0653.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/103MEDIA/DSCF0876.JPG,To annotate
/srv/shared_leopard_toad/2024/02.09.2024/6Z/100MEDIA/DSCF0699.JPG,To annotate
/srv/shared_leopard_toad/2024/02.10.2024/6Z/105MEDIA/DSCF0663.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/6R/101MEDIA/DSCF0406.JPG,To annotate
/srv/shared_leopard_toad/2024/02.09.2024/6Z/100MEDIA/DSCF0033.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6R/102MEDIA/DSCF0512.JPG,To annotate
/srv/shared_leopard_toad/2024/02.09.2024/6Z/101MEDIA/DSCF0419.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/5R/103MEDIA/DSCF0997.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/6R/102MEDIA/DSCF0890.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/3Z/104MEDIA/DSCF0471.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/6R/109MEDIA/DSCF0468.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/6Z/103MEDIA/DSCF0137.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3Z/101MEDIA/DSCF0126.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/5R/102MEDIA/DSCF0805.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/3Z/109MEDIA/DSCF0082.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/101MEDIA/DSCF0792.JPG,To annotate
/srv/shared_leopard_toad/2024/02.09.2024/5R/100MEDIA/DSCF0195.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/104MEDIA/DSCF0120.JPG,To annotate
/srv/shared_leopard_toad/2024/02.09.2024/6R/104MEDIA/104MEDIA/DSCF0151.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-101 (729).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5R/101MEDIA/DSCF0471.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/4Z/103MEDIA/DSCF0582.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/6R/101MEDIA/DSCF0701.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/6R/100MEDIA/DSCF0789.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/6R/101MEDIA/DSCF0702.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/6R/102MEDIA/DSCF0100.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/6R/100MEDIA/DSCF0480.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (102).JPG,To annotate
