epoch,train_loss,val_loss,train_classifier_loss,val_classifier_loss,learning_rate
1,0.04207682181149721,0.1592477411031723,0.016817298904061317,0.08967690169811249,0.0001
2,0.04191936608403921,0.13420242816209793,0.01781431483104825,0.06460253801196814,0.0001
3,0.03845037054270506,0.16571044921875,0.016303286701440812,0.09516298584640026,0.0001
4,0.0335367813706398,0.15590123273432255,0.012560341600328684,0.08903286047279835,0.0001
5,0.0327307322062552,0.16183197498321533,0.011979426629841328,0.09977313876152039,0.0001
6,0.027747653238475323,0.15499794483184814,0.01021995721384883,0.09365439414978027,0.0001
7,0.026998268719762564,0.1383992936462164,0.009520022245123983,0.0772924106568098,0.0001
8,0.0256359888240695,0.15855757892131805,0.00927729276008904,0.09064327087253332,0.0001
9,0.02343160193413496,0.1504906825721264,0.007781416643410921,0.08515923470258713,5e-05
10,0.027535671554505824,0.16684993356466293,0.00996532766148448,0.09902916662395,5e-05
11,0.023514493368566036,0.17428508959710598,0.007922864891588688,0.10447084717452526,5e-05
12,0.023710144404321908,0.16900776140391827,0.00840832800604403,0.09944380074739456,5e-05
13,0.01993622872978449,0.2019098363816738,0.006857378431595862,0.12820624560117722,5e-05
14,0.023845161590725184,0.18194103240966797,0.009115799632854759,0.11063715815544128,5e-05
15,0.01871828120201826,0.17984302900731564,0.006376277306117117,0.11005401611328125,2.5e-05
