image_path,status
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/3Z/105MEDIA/DSCF0989.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/101MEDIA/DSCF0940.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-100 (672).JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0798.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6Z/100MEDIA/DSCF0529.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/103MEDIA/DSCF0969.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6R/107MEDIA/DSCF0618.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/101MEDIA/DSCF0811.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/100MEDIA/DSCF0444.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3Z/103MEDIA/DSCF0972.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/100MEDIA/DSCF0002.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-100 (380).JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-100 (498).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/6R/100MEDIA/DSCF0087.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/100MEDIA/DSCF0619.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-100 (387).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/6Z/100MEDIA/DSCF0712 (2).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6Z/100MEDIA/DSCF0374.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/6Z/100MEDIA/DSCF0435.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/4Z/105MEDIA/DSCF0588.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0926.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0801.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/3Z/105MEDIA/DSCF0318.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0813.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/4Z/102MEDIA/DSCF0578.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/6R/103MEDIA/DSCF0139.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6Z/101MEDIA/DSCF0380.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/3Z/101MEDIA/DSCF0746.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6Z/101MEDIA/DSCF0596.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/3Z/101MEDIA/DSCF0748.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6Z/100MEDIA/DSCF0892.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0802.JPG,To annotate
/srv/shared_leopard_toad/2024/11.10.2024/6R/100MEDIA/DSCF0232.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0942.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0939.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/100MEDIA/DSCF0976.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/4Z/105MEDIA/DSCF0888.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0792.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6Z/101MEDIA/DSCF0155.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0807.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/101MEDIA/DSCF0972.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/3Z/101MEDIA/DSCF0608.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/3Z/100MEDIA/DSCF0001.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/101MEDIA/DSCF0654.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0940.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6Z/102MEDIA/DSCF0817.JPG,To annotate
