image_path,status
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/3R/105MEDIA/DSCF0330.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/4Z/102MEDIA/DSCF0614.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/3Z/102MEDIA/DSCF0231.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/4Z/103MEDIA/DSCF0239.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/106MEDIA/DSCF0868.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/6R/101MEDIA/DSCF0265.JPG,To annotate
/srv/shared_leopard_toad/2024/11.10.2024/3Z/107MEDIA/DSCF0143.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0977.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/4Z/105MEDIA/DSCF0785.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/3Z/106MEDIA/DSCF0889.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/104MEDIA/DSCF0980.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/6R/101MEDIA/DSCF0294.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/6R/102MEDIA/DSCF0396.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/6R/109MEDIA/DSCF0673.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/4Z/104MEDIA/DSCF0633.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/101MEDIA/6r-101 (692).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/6R/101MEDIA/DSCF0919.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/107MEDIA/DSCF0488.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/3Z/3z-102 (30).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/5R/101MEDIA/DSCF0244.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4Z/108MEDIA/DSCF0610.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/3Z/103MEDIA/DSCF0632.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/6R/102MEDIA/DSCF0301.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/3R/103MEDIA/DSCF0098.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/6R/101MEDIA/DSCF0331.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/4Z/105MEDIA/DSCF0528.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/5R/105MEDIA/DSCF0558.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/4Z/108MEDIA/DSCF0419.JPG,To annotate
/srv/shared_leopard_toad/2024/09.02.2024/6R/108MEDIA/DSCF0156.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/6Z/104MEDIA/DSCF0150.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/4Z/105MEDIA/DSCF0265.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/3Z/107MEDIA/DSCF0508.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-105 (341).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/107MEDIA/DSCF0845.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/3Z/101MEDIA/DSCF0400.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/4Z/108MEDIA/DSCF0396.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/107MEDIA/DSCF0098.JPG,To annotate
