epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8009,0.28196,0.55594,0.09801,0.95085,0.84001,0.85989,0.60709,0.33808,0.62701,0.09968,8.574e-05,8.574e-05,8.574e-05
2,31.7929,0.27532,0.50081,0.09568,0.91044,0.84855,0.87026,0.59892,0.41701,0.56178,0.12675,0.00017964,0.00017964,0.00017964
3,39.2645,0.27904,0.46316,0.1271,0.93183,0.63327,0.67276,0.46483,0.47793,0.68931,0.16117,0.000266937,0.000266937,0.000266937
4,46.715,0.2676,0.4506,0.10029,0.91471,0.78572,0.83502,0.56884,0.45592,0.61118,0.1544,0.000347633,0.000347633,0.000347633
5,54.1377,0.25765,0.44556,0.09249,0.84125,0.59951,0.60991,0.40425,0.4397,0.71847,0.14404,0.000421726,0.000421726,0.000421726
6,61.5084,0.29453,0.44017,0.11397,0.85652,0.69673,0.73867,0.48496,0.5464,0.65318,0.18081,0.000489218,0.000489218,0.000489218
7,68.9345,0.2727,0.43653,0.10263,0.8432,0.67264,0.69614,0.46695,0.45022,0.69371,0.15798,0.000550108,0.000550108,0.000550108
8,76.2147,0.27851,0.4937,0.13544,0.85858,0.75085,0.74316,0.50471,0.45967,0.66935,0.15256,0.000604396,0.000604396,0.000604396
9,83.4888,0.23596,0.44347,0.09428,0.92114,0.8008,0.85025,0.59589,0.40155,0.6724,0.13021,0.000652081,0.000652081,0.000652081
10,90.8093,0.23471,0.44698,0.10142,0.84244,0.72487,0.73143,0.4854,0.41423,0.70114,0.12809,0.000693165,0.000693165,0.000693165
11,98.046,0.27131,0.44044,0.09737,0.80414,0.68365,0.68692,0.45896,0.43845,0.72879,0.14262,0.000727647,0.000727647,0.000727647
12,105.354,0.23556,0.50074,0.09864,0.83395,0.66257,0.69809,0.48459,0.41225,0.90645,0.12983,0.000755527,0.000755527,0.000755527
13,112.544,0.24694,0.4701,0.09307,0.9622,0.69181,0.84706,0.58513,0.44244,0.744,0.15763,0.000776804,0.000776804,0.000776804
14,119.834,0.24904,0.47258,0.07741,0.82973,0.60324,0.53436,0.34632,0.45589,0.90639,0.1684,0.00079148,0.00079148,0.00079148
15,126.974,0.2838,0.46737,0.13256,0.88123,0.73763,0.73967,0.48649,0.5103,0.65465,0.19014,0.000768802,0.000768802,0.000768802
16,134.315,0.24808,0.39835,0.07692,0.93513,0.83467,0.85271,0.60215,0.33802,0.71372,0.10839,0.000721645,0.000721645,0.000721645
17,141.497,0.23374,0.43254,0.08153,0.88625,0.76715,0.72956,0.50327,0.35768,0.81674,0.10631,0.000674488,0.000674488,0.000674488
18,148.775,0.26227,0.43181,0.10105,0.91149,0.84038,0.83601,0.56276,0.36667,0.70534,0.11157,0.000627331,0.000627331,0.000627331
19,155.907,0.27426,0.42824,0.07627,0.90303,0.81469,0.84636,0.58634,0.35786,0.68337,0.10712,0.000580174,0.000580174,0.000580174
20,163.196,0.25078,0.41941,0.10262,0.92126,0.7871,0.86232,0.60635,0.35179,0.66194,0.1029,0.000533017,0.000533017,0.000533017
21,175.117,0.19747,0.35006,0.07456,0.93739,0.8008,0.85933,0.60079,0.346,0.6324,0.10534,0.00048586,0.00048586,0.00048586
22,182.719,0.19241,0.3154,0.08503,0.97072,0.81979,0.88021,0.61656,0.34568,0.63769,0.10769,0.000438703,0.000438703,0.000438703
23,190.039,0.19094,0.32824,0.08006,0.93012,0.7519,0.78733,0.54206,0.35165,0.69372,0.10905,0.000391546,0.000391546,0.000391546
24,197.337,0.21587,0.33649,0.07108,0.95111,0.81867,0.86991,0.61902,0.32399,0.65645,0.0977,0.000344389,0.000344389,0.000344389
25,204.7,0.20839,0.35567,0.08098,0.96124,0.80746,0.88357,0.6329,0.31593,0.62396,0.10078,0.000297232,0.000297232,0.000297232
26,212.282,0.19621,0.29753,0.07396,0.97206,0.80783,0.87472,0.63111,0.33322,0.62015,0.11406,0.000250075,0.000250075,0.000250075
27,219.528,0.17154,0.2765,0.06214,0.97674,0.80746,0.8724,0.62496,0.34164,0.61578,0.11524,0.000202918,0.000202918,0.000202918
28,226.894,0.15571,0.27571,0.06426,0.93997,0.82977,0.87368,0.62905,0.33544,0.64747,0.1102,0.000155761,0.000155761,0.000155761
29,234.157,0.15863,0.29426,0.05838,0.95179,0.82801,0.87318,0.63136,0.32766,0.65523,0.10974,0.000108604,0.000108604,0.000108604
30,241.478,0.16917,0.27877,0.05198,0.96152,0.83337,0.87567,0.63228,0.32616,0.63383,0.10666,6.1447e-05,6.1447e-05,6.1447e-05
