epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9618,1.1914,108.034,0.71431,0.00031,0.12329,0.00019,9e-05,0.97281,77.2103,0.54248,8.574e-05,8.574e-05,8.574e-05
2,41.8382,1.1967,84.8464,0.66941,0.0046,0.35103,0.00314,0.0017,0.69824,22.5303,0.27113,0.000182705,0.000182705,0.000182705
3,49.3202,1.03416,10.5262,0.62518,0.01892,0.30556,0.06354,0.04174,0.52638,1.92134,0.2105,0.000276369,0.000276369,0.000276369
4,56.886,0.7337,1.67801,0.44099,0.67543,0.20833,0.17514,0.13265,0.33577,1.97213,0.11025,0.000366731,0.000366731,0.000366731
5,64.4012,0.58235,1.5317,0.38762,0.69745,0.19444,0.26032,0.16395,0.55129,1.39113,0.1668,0.000453793,0.000453793,0.000453793
6,71.9539,0.48612,1.30521,0.21424,0.92516,0.22222,0.4931,0.31623,0.77246,1.04444,0.26319,0.000537554,0.000537554,0.000537554
7,79.5412,0.42476,1.03803,0.20347,0.67702,0.44274,0.52557,0.33117,0.50093,1.14393,0.20548,0.000618014,0.000618014,0.000618014
8,86.9667,0.38623,0.81794,0.20832,0.55821,0.38387,0.44751,0.28613,0.62449,1.08975,0.24742,0.000695173,0.000695173,0.000695173
9,94.0937,0.4765,0.6873,0.23303,0.63043,0.47698,0.49263,0.32927,0.61006,1.24369,0.21578,0.000769031,0.000769031,0.000769031
10,101.277,0.40298,0.84598,0.24902,0.63688,0.08454,0.12035,0.07663,0.9035,1.29114,0.35181,0.000839588,0.000839588,0.000839588
11,108.472,0.37183,0.64972,0.19473,0.77876,0.16383,0.19014,0.11,0.64839,1.65326,0.20673,0.000906843,0.000906843,0.000906843
12,115.718,0.39873,0.64021,0.2299,0.43381,0.09412,0.10429,0.06912,1.14798,1.21163,0.47207,0.000970798,0.000970798,0.000970798
13,122.858,0.35441,0.74741,0.15995,0.73227,0.21975,0.24548,0.15071,0.53743,1.31445,0.17867,0.00103145,0.00103145,0.00103145
14,130.146,0.32438,0.67245,0.14446,0.83689,0.64704,0.73054,0.42997,0.526,0.77518,0.16849,0.00108881,0.00108881,0.00108881
15,137.416,0.29881,0.663,0.1606,0.88624,0.69768,0.77164,0.53311,0.41977,0.79786,0.16919,0.0010989,0.0010989,0.0010989
16,144.812,0.34161,0.65803,0.15979,0.83828,0.76617,0.74493,0.48712,0.38738,0.83863,0.1555,0.00107532,0.00107532,0.00107532
