epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4881,0.79872,2.0706,0.42488,0.23858,0.15963,0.16692,0.1266,0.45737,1.13659,0.15521,0.00017148,0.00017148,0.00017148
2,35.4264,0.60923,1.17694,0.27545,0.89245,0.33333,0.39773,0.2707,0.45962,0.90992,0.13768,0.000353713,0.000353713,0.000353713
3,45.4729,0.44704,1.06786,0.20403,0.64739,0.59323,0.55487,0.37327,0.41712,0.82436,0.11665,0.000532268,0.000532268,0.000532268
4,54.8584,0.4467,0.97686,0.18009,0.70435,0.77207,0.68796,0.46163,0.37346,0.95365,0.10828,0.000707145,0.000707145,0.000707145
5,63.8974,0.43733,0.94842,0.14629,0.64329,0.72508,0.68838,0.47037,0.38958,0.88431,0.11337,0.000878343,0.000878343,0.000878343
6,72.7854,0.3756,0.90511,0.15047,0.92765,0.62637,0.73183,0.49576,0.39655,0.8888,0.10738,0.00104586,0.00104586,0.00104586
7,81.5997,0.37936,0.78447,0.14883,0.85332,0.84129,0.85376,0.59773,0.34902,0.73534,0.10141,0.00120971,0.00120971,0.00120971
8,90.4568,0.43262,0.7565,0.13256,0.88964,0.75493,0.8115,0.53878,0.37195,0.66567,0.11087,0.00132997,0.00132997,0.00132997
9,99.0486,0.34184,0.68934,0.1252,0.90927,0.7387,0.8208,0.55537,0.36687,0.74942,0.10936,0.00131582,0.00131582,0.00131582
10,108.028,0.36499,0.74998,0.14711,0.94121,0.75511,0.81319,0.53636,0.3705,0.90445,0.10782,0.00130168,0.00130168,0.00130168
11,116.747,0.39042,0.7448,0.10068,0.88971,0.77607,0.7966,0.55965,0.34931,0.73651,0.10593,0.00128753,0.00128753,0.00128753
12,125.541,0.31614,0.75271,0.09408,0.91545,0.68205,0.79672,0.51345,0.40358,0.9568,0.1235,0.00127338,0.00127338,0.00127338
13,134.441,0.39664,0.74446,0.12901,0.83204,0.76599,0.77954,0.53384,0.38512,0.75775,0.11999,0.00125923,0.00125923,0.00125923
14,143.207,0.33796,0.58682,0.10722,0.83321,0.68806,0.76291,0.51671,0.36479,1.21978,0.11036,0.00124509,0.00124509,0.00124509
15,151.94,0.37502,0.63085,0.12968,0.83153,0.71804,0.74977,0.50222,0.44403,0.85373,0.13231,0.00123094,0.00123094,0.00123094
16,160.7,0.3313,0.57723,0.11782,0.85904,0.68257,0.76215,0.52527,0.37329,0.86091,0.11581,0.00121679,0.00121679,0.00121679
