epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4674,1.32797,173.515,0.88427,0.10568,0.04129,0.01464,0.00455,0.85601,29.9836,0.33389,0.00017148,0.00017148,0.00017148
2,38.6376,1.16149,13.6815,0.68618,0.00127,0.40944,0.00442,0.0029,0.66552,1.9485,0.25416,0.000351355,0.000351355,0.000351355
3,51.297,0.63626,1.74785,0.35855,0.59266,0.26389,0.13282,0.09206,1.33705,1.18171,0.64204,0.0005251,0.0005251,0.0005251
4,63.3143,0.57254,1.2136,0.31855,0.0008,0.01389,0.00089,0.00036,1.93481,0.48054,1.01684,0.000692715,0.000692715,0.000692715
5,75.1111,0.55059,0.92235,0.27791,0.40065,0.18411,0.18634,0.12814,1.96124,0.26321,1.13126,0.000854199,0.000854199,0.000854199
6,87.2854,0.53204,0.82011,0.25551,0.99274,0.08333,0.0916,0.05627,2.3352,0.20393,1.21015,0.00100955,0.00100955,0.00100955
7,98.9621,0.4616,0.95877,0.22631,0.21928,0.13166,0.10909,0.05929,1.377,0.91724,0.60634,0.00115878,0.00115878,0.00115878
8,110.722,0.45814,1.09116,0.23133,0.47406,0.49734,0.41202,0.24683,0.72519,0.96591,0.29655,0.00126395,0.00126395,0.00126395
9,123.167,0.44529,0.82476,0.25134,0.42289,0.05138,0.01822,0.0105,2.83465,0.31108,2.85982,0.00124037,0.00124037,0.00124037
10,135.11,0.62284,0.75352,0.31174,0.36337,0.14441,0.12506,0.06976,1.80444,0.70677,1.66239,0.00121679,0.00121679,0.00121679
11,146.71,0.49952,0.93178,0.23605,0.79479,0.20395,0.28352,0.14844,0.95848,0.86163,0.57648,0.00119322,0.00119322,0.00119322
12,158.668,0.47103,0.85189,0.20791,0.85586,0.51349,0.65807,0.39332,0.49039,0.74813,0.15814,0.00116964,0.00116964,0.00116964
13,170.982,0.48615,1.00362,0.2373,0.37087,0.20833,0.21201,0.08646,1.74143,0.44655,1.43328,0.00114606,0.00114606,0.00114606
14,182.697,0.4992,0.91074,0.24238,0.38283,0.08708,0.05739,0.03557,1.77766,0.46284,1.03475,0.00112248,0.00112248,0.00112248
15,194.342,0.44149,0.82179,0.21643,0.58969,0.20605,0.19696,0.13058,0.91754,1.06436,0.34385,0.0010989,0.0010989,0.0010989
16,206.29,0.37012,0.78337,0.18676,0.72517,0.54377,0.59087,0.35623,0.61529,0.71295,0.25787,0.00107532,0.00107532,0.00107532
17,218.044,0.39732,0.7706,0.1624,0.81897,0.68162,0.70694,0.43929,0.49361,0.73917,0.18481,0.00105174,0.00105174,0.00105174
18,230.176,0.4043,0.63881,0.16253,0.8312,0.7167,0.75226,0.45348,0.51274,0.70566,0.19328,0.00102817,0.00102817,0.00102817
19,242.246,0.35326,0.76203,0.18176,0.93872,0.82129,0.8796,0.56067,0.38132,0.59842,0.12507,0.00100459,0.00100459,0.00100459
20,254.916,0.37858,0.75392,0.19732,0.87428,0.66158,0.77751,0.52375,0.37627,0.73409,0.11368,0.000981008,0.000981008,0.000981008
21,266.558,0.37052,0.83553,0.20323,0.88464,0.69178,0.80319,0.52802,0.40101,0.85933,0.12303,0.00095743,0.00095743,0.00095743
22,278.291,0.42014,0.76006,0.19723,0.95085,0.66952,0.80822,0.53236,0.36944,0.81148,0.10694,0.000933851,0.000933851,0.000933851
23,289.926,0.32937,0.68849,0.17576,0.75887,0.6153,0.71123,0.41023,0.48783,0.93639,0.14603,0.000910273,0.000910273,0.000910273
24,301.579,0.33568,0.74586,0.14667,0.91051,0.5303,0.63977,0.40691,0.45282,0.94566,0.14131,0.000886694,0.000886694,0.000886694
25,313.387,0.35319,0.6402,0.1838,0.85487,0.51598,0.62737,0.42424,0.48016,1.00184,0.17858,0.000863116,0.000863116,0.000863116
26,325.523,0.33119,0.59777,0.13392,0.86993,0.61303,0.68909,0.45378,0.40604,0.9203,0.12788,0.000839537,0.000839537,0.000839537
27,337.125,0.32979,0.64062,0.15528,0.90458,0.79946,0.87138,0.56852,0.4223,0.663,0.1341,0.000815959,0.000815959,0.000815959
28,349.071,0.32014,0.68815,0.18154,0.5296,0.63584,0.54692,0.35161,0.57555,0.76577,0.20282,0.00079238,0.00079238,0.00079238
29,361.064,0.31694,0.62861,0.15043,0.94348,0.65537,0.76974,0.5086,0.39302,0.70756,0.12223,0.000768802,0.000768802,0.000768802
