image_path,status
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0071.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0006.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/102MEDIA/DSCF0966.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0269.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/3Z/100MEDIA/DSCF0856.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/3Z/103MEDIA/DSCF0253.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/100MEDIA/DSCF0717.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0142.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/3Z/110MEDIA/DSCF0456.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0145.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0637.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0115.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0053.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0927.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/6R/101MEDIA/DSCF0704.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0908.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0948.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/100MEDIA/DSCF0002.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0326.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/4Z/106MEDIA/DSCF0452.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/3Z/108MEDIA/DSCF0581.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0920.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0127.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/6R/104MEDIA/DSCF0396.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/6Z/109MEDIA/DSCF0858.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0065.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/29.09.06.10.2025/3Z/108MEDIA/DSCF0996.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0027.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0331.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/5R/104MEDIA/DSCF0524.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0030.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0190.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0340.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0893.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0786.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0197.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/102MEDIA/DSCF0869.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras-Master Data/6R/101MEDIA/DSCF0701.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0031.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/5R/104MEDIA/DSCF0580.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0049.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0270.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0677.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/3Z/101MEDIA/DSCF0744.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0113.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0702.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/3Z/101MEDIA/DSCF0366.JPG,To annotate
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/101MEDIA/6r-101 (936).JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/09.09.15.09.2025/3Z/101MEDIA/DSCF0281.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0327.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/3Z/104MEDIA/DSCF0332.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0967.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0025.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/102MEDIA/DSCF0923.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/104MEDIA/DSCF0043.JPG,To annotate
/srv/shared_leopard_toad/2024/02.10.2024/6Z/102MEDIA/DSCF0823.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0181.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0012.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0589.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0361.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0626.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/102MEDIA/DSCF0932.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0784.JPG,To annotate
/srv/shared_leopard_toad/2024/23.08.2024/6R/108MEDIA/DSCF0891.JPG,To annotate
/srv/shared_leopard_toad/2024/02.09.2024/6R/101MEDIA/DSCF0398.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0381.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/3Z/102MEDIA/DSCF0961.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/104MEDIA/DSCF0071.JPG,To annotate
/srv/shared_leopard_toad/2024/18.11.2024/6Z/108MEDIA/DSCF0471.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0098.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/104MEDIA/DSCF0032.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0107.JPG,To annotate
/srv/shared_leopard_toad/2024/26.09.2024/3Z/105MEDIA/DSCF0868.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/4Z/101MEDIA/DSCF0700.JPG,To annotate
/srv/shared_leopard_toad/2024/28.08.2024/6R/100MEDIA/DSCF0319.JPG,To annotate
/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/3R/103MEDIA/DSCF0587.JPG,To annotate
