epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4688,1.26798,23.719,0.00638,0.02437,0.28919,0.02229,0.01817,1.26074,9.79925,0.00625,0.00017148,0.00017148,0.00017148
2,50.2577,1.18256,12.4692,0.00659,0.55201,0.26243,0.36039,0.25893,1.14236,3.43408,0.0058,0.000351355,0.000351355,0.000351355
3,57.4757,1.26218,5.89166,0.00874,0.46496,0.35978,0.35807,0.2374,1.34367,2.5251,0.00683,0.0005251,0.0005251,0.0005251
4,64.279,1.4077,3.4019,0.01037,0.03857,0.21385,0.10975,0.05576,2.16164,4.80489,0.01226,0.000692715,0.000692715,0.000692715
5,70.8299,1.46432,2.84281,0.00949,0.41329,0.27527,0.30817,0.19509,1.73744,3.28653,0.0087,0.000854199,0.000854199,0.000854199
6,77.3842,1.38187,2.38049,0.00872,0.32793,0.07973,0.08454,0.04469,2.92663,8.91655,0.01956,0.00100955,0.00100955,0.00100955
7,84.1987,1.36666,2.2323,0.00765,0.81948,0.49453,0.53901,0.33846,1.55674,2.81994,0.008,0.00115878,0.00115878,0.00115878
8,91.0724,1.57931,2.23247,0.01174,0.40773,0.30692,0.31051,0.19904,1.73317,3.0426,0.00944,0.00126395,0.00126395,0.00126395
9,97.5961,1.571,2.09355,0.01056,0.27549,0.1538,0.15304,0.08219,2.10385,10.2236,0.01132,0.00124037,0.00124037,0.00124037
10,104.18,1.57787,1.84092,0.01032,0.40144,0.23573,0.24275,0.10672,2.31956,5.91211,0.01238,0.00121679,0.00121679,0.00121679
11,110.731,1.57228,1.70677,0.00977,0.39068,0.28539,0.31287,0.13683,2.01401,3.93013,0.01136,0.00119322,0.00119322,0.00119322
12,117.315,1.50063,1.81609,0.01043,0.74343,0.28204,0.32394,0.13841,2.3469,6.64775,0.01276,0.00116964,0.00116964,0.00116964
13,124.072,1.42534,1.56231,0.00897,0.61589,0.46591,0.51769,0.30234,1.72548,2.27251,0.00964,0.00114606,0.00114606,0.00114606
14,130.635,1.49004,1.63329,0.0099,0.31265,0.27549,0.18318,0.09289,2.03353,3.43959,0.01134,0.00112248,0.00112248,0.00112248
15,137.157,1.39702,1.38333,0.00986,0.59582,0.64174,0.65511,0.40125,1.45064,2.19011,0.00795,0.0010989,0.0010989,0.0010989
16,143.762,1.50608,1.53888,0.01285,0.83425,0.55458,0.66912,0.41519,1.45881,1.9678,0.00803,0.00107532,0.00107532,0.00107532
17,150.429,1.39049,1.31988,0.00883,0.63601,0.21578,0.34161,0.18935,1.9911,3.89061,0.01132,0.00105174,0.00105174,0.00105174
18,156.968,1.44295,1.34582,0.01038,0.73648,0.48154,0.50959,0.29491,1.54397,3.19123,0.00824,0.00102817,0.00102817,0.00102817
19,163.799,1.3133,1.25421,0.01001,0.67885,0.68284,0.7128,0.44288,1.47176,1.40193,0.0075,0.00100459,0.00100459,0.00100459
20,170.463,1.28629,1.1476,0.00924,0.69633,0.72412,0.78757,0.51202,1.36663,1.61534,0.00731,0.000981008,0.000981008,0.000981008
21,177.077,1.27513,1.29624,0.00816,0.78944,0.51609,0.57322,0.36709,1.31346,1.437,0.00688,0.00095743,0.00095743,0.00095743
22,183.779,1.26757,1.19517,0.00918,0.75388,0.6269,0.68698,0.44169,1.31825,1.14052,0.00671,0.000933851,0.000933851,0.000933851
23,190.287,1.25661,1.0746,0.00875,0.61102,0.56619,0.58225,0.35813,1.49663,1.79636,0.00773,0.000910273,0.000910273,0.000910273
24,197.292,1.39645,1.0664,0.01061,0.71681,0.73282,0.79935,0.52694,1.31348,1.12323,0.0068,0.000886694,0.000886694,0.000886694
25,203.934,1.26641,1.01484,0.01034,0.88769,0.61396,0.76587,0.52457,1.35201,1.70778,0.00704,0.000863116,0.000863116,0.000863116
26,210.792,1.31665,1.03845,0.00959,0.52646,0.64155,0.65918,0.37532,1.6248,1.57394,0.00854,0.000839537,0.000839537,0.000839537
27,217.528,1.24588,1.16649,0.00868,0.79694,0.58237,0.70801,0.4157,1.53864,1.60834,0.00823,0.000815959,0.000815959,0.000815959
28,224.117,1.20257,0.93617,0.00747,0.74924,0.52174,0.70845,0.46664,1.34754,1.28586,0.00695,0.00079238,0.00079238,0.00079238
29,230.678,1.16963,0.98935,0.00834,0.87971,0.61124,0.75572,0.47167,1.38397,1.31894,0.00729,0.000768802,0.000768802,0.000768802
30,237.295,1.21812,0.92489,0.00949,0.7309,0.68246,0.74117,0.50241,1.3139,1.44575,0.00677,0.000745223,0.000745223,0.000745223
31,243.853,1.21078,1.00367,0.00803,0.75321,0.78961,0.83128,0.56805,1.26726,1.02401,0.00684,0.000721645,0.000721645,0.000721645
32,250.782,1.19188,0.8779,0.00873,0.66444,0.53292,0.68219,0.47655,1.29373,2.08194,0.00675,0.000698066,0.000698066,0.000698066
33,257.587,1.10287,0.8052,0.00791,0.69461,0.67963,0.73957,0.50935,1.30056,1.66166,0.00671,0.000674488,0.000674488,0.000674488
34,264.423,1.04071,0.75471,0.00704,0.66773,0.60717,0.752,0.53544,1.26305,1.44106,0.00633,0.000650909,0.000650909,0.000650909
35,270.955,1.12759,0.70449,0.00842,0.79409,0.68266,0.79843,0.55553,1.29673,1.37267,0.00669,0.000627331,0.000627331,0.000627331
36,277.519,1.08591,0.72996,0.00809,0.93653,0.66914,0.79913,0.55097,1.26106,1.44237,0.00659,0.000603752,0.000603752,0.000603752
37,284.258,1.0032,0.72228,0.00672,0.79395,0.67282,0.81602,0.56143,1.25242,1.33371,0.00665,0.000580174,0.000580174,0.000580174
38,290.764,1.0077,0.7536,0.00609,0.86883,0.71709,0.84958,0.59505,1.25128,1.24565,0.00638,0.000556595,0.000556595,0.000556595
39,297.955,0.9825,0.64026,0.00569,0.7758,0.7054,0.80172,0.5459,1.30228,1.05902,0.0067,0.000533017,0.000533017,0.000533017
40,304.866,0.92841,0.61434,0.00658,0.80604,0.73782,0.84858,0.58134,1.20186,0.87575,0.00639,0.000509438,0.000509438,0.000509438
41,311.446,1.00237,0.69614,0.00629,0.95959,0.65834,0.83184,0.58249,1.17234,1.08489,0.00628,0.00048586,0.00048586,0.00048586
42,318.077,0.94408,0.61439,0.0062,0.71024,0.76527,0.83639,0.58686,1.16203,1.01855,0.0061,0.000462281,0.000462281,0.000462281
43,324.782,0.89967,0.54679,0.00547,0.70352,0.77278,0.80036,0.55111,1.22768,1.04052,0.00655,0.000438703,0.000438703,0.000438703
44,331.418,0.89315,0.57087,0.00531,0.85734,0.64022,0.81475,0.57113,1.18157,1.04885,0.00588,0.000415124,0.000415124,0.000415124
45,338.057,0.8725,0.50651,0.00597,0.90341,0.67417,0.85508,0.58685,1.27381,1.05914,0.00644,0.000391546,0.000391546,0.000391546
46,345.251,0.82676,0.48333,0.00462,0.80922,0.66914,0.8245,0.58083,1.28677,1.35254,0.00652,0.000367967,0.000367967,0.000367967
47,351.829,0.89624,0.58795,0.00622,0.80721,0.68059,0.81752,0.5837,1.22565,1.28964,0.00635,0.000344389,0.000344389,0.000344389
48,358.648,0.77492,0.50888,0.0047,0.66291,0.69616,0.78375,0.56297,1.18257,1.30802,0.00599,0.00032081,0.00032081,0.00032081
49,365.224,0.82257,0.46694,0.00638,0.69287,0.71453,0.79943,0.57833,1.12657,1.26352,0.00555,0.000297232,0.000297232,0.000297232
50,371.805,0.78765,0.55418,0.00554,0.77176,0.72063,0.81868,0.59725,1.13704,1.35741,0.00566,0.000273654,0.000273654,0.000273654
51,383.124,0.77864,0.43819,0.00666,0.80994,0.74649,0.85431,0.62758,1.17114,1.25268,0.00591,0.000250075,0.000250075,0.000250075
52,390.206,0.75871,0.40382,0.00588,0.84684,0.74483,0.84384,0.60253,1.19853,1.25488,0.00614,0.000226497,0.000226497,0.000226497
53,396.745,0.74311,0.41712,0.00619,0.78905,0.72202,0.82174,0.57875,1.23947,1.32455,0.00659,0.000202918,0.000202918,0.000202918
54,403.441,0.76485,0.48255,0.00605,0.77843,0.74988,0.80516,0.58663,1.15544,1.25317,0.006,0.00017934,0.00017934,0.00017934
55,409.951,0.71159,0.36912,0.00594,0.84368,0.70616,0.83177,0.60014,1.13535,1.10168,0.00574,0.000155761,0.000155761,0.000155761
56,416.482,0.75612,0.38859,0.00568,0.94624,0.68232,0.85377,0.61612,1.17764,1.11099,0.00592,0.000132183,0.000132183,0.000132183
57,423.061,0.75032,0.47248,0.00513,0.93557,0.6426,0.85232,0.60746,1.1783,1.16865,0.00597,0.000108604,0.000108604,0.000108604
58,429.546,0.70509,0.46906,0.00527,0.75299,0.75856,0.85105,0.61249,1.15491,1.1493,0.00587,8.50255e-05,8.50255e-05,8.50255e-05
59,436.018,0.66279,0.34231,0.00528,0.74521,0.75856,0.84723,0.6144,1.13586,1.139,0.00577,6.1447e-05,6.1447e-05,6.1447e-05
60,442.73,0.72867,0.41072,0.00588,0.77259,0.75171,0.83816,0.60787,1.16787,1.11717,0.00598,3.78685e-05,3.78685e-05,3.78685e-05
