epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0497,0.83158,0.75024,0.00348,0.8856,0.74921,0.8548,0.6316,1.16598,1.30341,0.00582,0.00022864,0.00022864,0.00022864
2,31.2975,0.83667,0.59361,0.00446,0.70935,0.71138,0.77696,0.58302,1.19637,1.59059,0.00577,0.000456008,0.000456008,0.000456008
3,41.408,0.88699,0.70977,0.00512,0.7245,0.57045,0.7354,0.54192,1.21693,1.99112,0.00589,0.000667343,0.000667343,0.000667343
4,49.5059,0.96323,0.81159,0.00536,0.88114,0.72627,0.84705,0.60602,1.1329,1.13281,0.00559,0.000862644,0.000862644,0.000862644
5,57.3487,0.9729,0.81283,0.00482,0.76163,0.5723,0.6635,0.47024,1.23303,1.80126,0.00627,0.00104191,0.00104191,0.00104191
6,65.4293,1.07965,0.90987,0.00613,0.75179,0.69018,0.74065,0.53323,1.33793,1.71748,0.00666,0.00119322,0.00119322,0.00119322
7,73.4977,1.1444,0.85871,0.00619,0.82779,0.62196,0.71208,0.5176,1.21107,2.06847,0.00606,0.00114606,0.00114606,0.00114606
8,81.4263,1.16897,0.96627,0.00674,0.75542,0.69785,0.78202,0.55093,1.30244,1.42888,0.00641,0.0010989,0.0010989,0.0010989
9,89.679,1.11574,0.90164,0.00512,0.86434,0.67184,0.77342,0.56853,1.28628,1.55873,0.00631,0.00105174,0.00105174,0.00105174
10,97.7913,1.01335,0.77996,0.00524,0.85896,0.7285,0.8182,0.5813,1.33602,1.31715,0.00656,0.00100459,0.00100459,0.00100459
11,105.665,1.10152,0.73351,0.00653,0.86068,0.70236,0.79768,0.58497,1.21191,1.48675,0.00599,0.00095743,0.00095743,0.00095743
12,113.698,1.04002,0.64866,0.00497,0.84662,0.71736,0.79989,0.57869,1.32026,1.55507,0.0062,0.000910273,0.000910273,0.000910273
13,121.645,0.94761,0.6231,0.0056,0.88036,0.74553,0.80785,0.60469,1.20929,nan,0.00582,0.000863116,0.000863116,0.000863116
14,129.697,1.03218,0.72473,0.00628,0.82257,0.55603,0.72232,0.56352,1.18104,2.13739,0.00591,0.000815959,0.000815959,0.000815959
15,137.872,0.97708,0.72372,0.00522,0.82601,0.6424,0.73538,0.56309,1.24554,1.73057,0.00579,0.000768802,0.000768802,0.000768802
16,145.869,0.97192,0.57722,0.00533,0.90012,0.72803,0.79463,0.62168,1.17634,1.39983,0.0055,0.000721645,0.000721645,0.000721645
17,153.864,0.9661,0.65448,0.00517,0.80411,0.68783,0.77563,0.58833,1.23983,1.66759,0.00602,0.000674488,0.000674488,0.000674488
18,161.872,1.02464,0.62558,0.00562,0.88915,0.69007,0.8158,0.61754,1.1797,1.3705,0.00574,0.000627331,0.000627331,0.000627331
19,169.731,0.96108,0.67416,0.0042,0.79511,0.64514,0.77896,0.62094,1.19961,1.8359,0.00588,0.000580174,0.000580174,0.000580174
20,177.717,0.89567,0.60335,0.00486,0.78799,0.67924,0.76585,0.61303,1.13896,1.74365,0.0054,0.000533017,0.000533017,0.000533017
21,189.747,0.7747,0.53114,0.00457,0.68056,0.73877,0.75186,0.58588,1.25438,2.3607,0.00629,0.00048586,0.00048586,0.00048586
22,197.898,0.78377,0.49966,0.00534,0.6143,0.8008,0.76234,0.5886,1.23067,1.85498,0.00604,0.000438703,0.000438703,0.000438703
23,205.906,0.74021,0.39929,0.00422,0.83696,0.68896,0.78128,0.62376,1.16356,1.65027,0.00558,0.000391546,0.000391546,0.000391546
24,213.911,0.797,0.449,0.00457,0.84257,0.72759,0.80187,0.64363,1.09677,1.55763,0.00516,0.000344389,0.000344389,0.000344389
25,221.923,0.77634,0.37009,0.00469,0.84251,0.70065,0.79705,0.63267,1.13827,1.80702,0.00538,0.000297232,0.000297232,0.000297232
26,229.715,0.70513,0.44508,0.00447,0.78719,0.69173,0.79009,0.64049,1.10247,1.88447,0.00521,0.000250075,0.000250075,0.000250075
27,237.716,0.70793,0.37776,0.00391,0.81107,0.67047,0.80023,0.65011,1.08176,1.82074,0.00517,0.000202918,0.000202918,0.000202918
28,245.776,0.77415,0.40938,0.00422,0.82437,0.67353,0.8088,0.65804,1.10158,1.79896,0.00516,0.000155761,0.000155761,0.000155761
29,253.76,0.6195,0.31499,0.00363,0.80928,0.66871,0.80348,0.64628,1.10439,1.76521,0.00516,0.000108604,0.000108604,0.000108604
30,261.786,0.67526,0.32817,0.00443,0.78583,0.71268,0.8014,0.645,1.10344,1.80983,0.00518,6.1447e-05,6.1447e-05,6.1447e-05
