epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82378,1.36635,14.3562,0.00668,0.12153,0.0274,0.0207,0.012,1.22248,9.07526,0.00613,4.287e-05,4.287e-05,4.287e-05
2,13.6013,1.34003,14.2739,0.00618,0.07235,0.02055,0.02129,0.01266,1.25582,9.24438,0.00635,9.83795e-05,9.83795e-05,9.83795e-05
3,17.8856,1.32187,11.7852,0.0065,0.47605,0.15887,0.18986,0.13029,1.19359,9.61101,0.00615,0.000152003,0.000152003,0.000152003
4,25.2646,1.0708,10.1645,0.00523,0.27625,0.18037,0.16847,0.1167,1.21125,9.3915,0.00603,0.00020374,0.00020374,0.00020374
5,29.2089,1.06853,8.25416,0.00579,0.43132,0.35274,0.40561,0.28683,1.18534,5.75354,0.006,0.00025359,0.00025359,0.00025359
6,33.0759,1.1004,5.98456,0.00561,0.56658,0.30346,0.4053,0.28403,1.06895,4.05398,0.00542,0.000301555,0.000301555,0.000301555
7,36.7465,1.02728,5.05238,0.0042,0.54715,0.48285,0.50132,0.3534,1.17976,2.59554,0.00604,0.000347633,0.000347633,0.000347633
8,40.2711,1.07611,3.81653,0.00632,0.45475,0.29566,0.35158,0.24431,1.26786,2.34945,0.00661,0.000391825,0.000391825,0.000391825
9,43.2252,1.04756,3.03923,0.0062,0.60516,0.15183,0.35404,0.20867,1.38196,2.7602,0.00736,0.00043413,0.00043413,0.00043413
10,46.3553,1.07848,2.3514,0.00754,0.68492,0.48269,0.54311,0.33104,1.45132,2.10936,0.00732,0.000474549,0.000474549,0.000474549
11,49.3186,1.0357,1.93169,0.00602,0.71169,0.47481,0.538,0.31693,1.44931,2.25205,0.00745,0.000513082,0.000513082,0.000513082
12,52.2961,1.13345,1.85334,0.00653,0.94403,0.46544,0.6481,0.39065,1.39586,3.58948,0.00688,0.000549729,0.000549729,0.000549729
13,55.3806,1.08565,1.51145,0.00719,0.85796,0.5972,0.72802,0.47504,1.36723,2.66633,0.00732,0.00058449,0.00058449,0.00058449
14,58.323,1.18249,1.46143,0.00605,0.75994,0.59989,0.66824,0.4544,1.22712,2.33004,0.00638,0.000617364,0.000617364,0.000617364
15,61.3981,1.07395,1.41779,0.00602,0.64659,0.53139,0.59445,0.39883,1.28174,2.54386,0.00691,0.000648352,0.000648352,0.000648352
16,64.2847,1.14807,1.46512,0.00652,0.82412,0.59399,0.71378,0.45089,1.47151,2.03502,0.00793,0.000677453,0.000677453,0.000677453
17,67.142,1.13777,1.20719,0.00573,0.93633,0.65546,0.75816,0.48438,1.37161,2.5851,0.00714,0.000704668,0.000704668,0.000704668
18,70.1328,1.01872,1.06458,0.00513,0.85177,0.6075,0.72297,0.46194,1.39994,1.75313,0.00735,0.000729998,0.000729998,0.000729998
19,73.2037,0.97968,1.10724,0.00508,0.90997,0.55544,0.67371,0.42351,1.4276,1.88589,0.00789,0.00075344,0.00075344,0.00075344
20,76.0574,1.01438,1.13133,0.00583,0.80213,0.63573,0.71356,0.46668,1.40604,2.06085,0.00759,0.000774997,0.000774997,0.000774997
21,78.9154,0.99764,0.83794,0.00598,0.88373,0.55779,0.72167,0.49568,1.23847,1.55656,0.00664,0.000794667,0.000794667,0.000794667
22,81.85,0.93345,0.8239,0.00495,0.81252,0.54521,0.70409,0.48853,1.23861,1.63615,0.00657,0.000812451,0.000812451,0.000812451
23,84.7339,1.05415,0.98955,0.00623,0.76184,0.71286,0.79596,0.53784,1.27661,1.21848,0.00675,0.000828348,0.000828348,0.000828348
24,87.7157,1.07761,0.83925,0.0065,0.78361,0.69402,0.79229,0.55102,1.26782,1.31845,0.00656,0.00084236,0.00084236,0.00084236
