epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5851,1.69998,5.83968,0.0113,0.09468,0.55936,0.11437,0.06641,1.6033,4.00344,0.00818,0.00022864,0.00022864,0.00022864
2,35.7083,1.56466,3.33288,0.00884,0.74372,0.36111,0.3481,0.22374,1.44353,2.63836,0.00728,0.000466901,0.000466901,0.000466901
3,41.9316,1.44518,2.38504,0.00792,0.8226,0.41667,0.4426,0.27896,1.28588,2.1161,0.00671,0.000700353,0.000700353,0.000700353
4,47.5811,1.42628,2.02855,0.00682,0.83693,0.40177,0.46468,0.3183,1.2249,1.89719,0.00648,0.000928994,0.000928994,0.000928994
5,53.2431,1.308,1.76978,0.00664,0.40398,0.56069,0.53743,0.33994,1.28892,1.77241,0.0068,0.00115283,0.00115283,0.00115283
6,58.9406,1.45733,1.77291,0.00809,0.50065,0.6056,0.65602,0.41943,1.31196,1.78577,0.00665,0.00135826,0.00135826,0.00135826
7,64.5215,1.4091,1.5355,0.00682,0.59066,0.64326,0.68749,0.4664,1.2076,1.79346,0.00617,0.00134412,0.00134412,0.00134412
8,70.1803,1.55837,1.53825,0.00814,0.44857,0.6503,0.64756,0.40382,1.30774,1.70361,0.00708,0.00132997,0.00132997,0.00132997
9,76.788,1.34978,1.45234,0.00641,0.69339,0.56418,0.69234,0.43423,1.32295,1.59837,0.0071,0.00131582,0.00131582,0.00131582
10,82.7389,1.36461,1.33252,0.00727,0.58109,0.70472,0.69735,0.43491,1.39874,1.7619,0.0069,0.00130168,0.00130168,0.00130168
11,88.2979,1.36737,1.13636,0.0078,0.71187,0.63618,0.73973,0.50294,1.23017,1.69015,0.00619,0.00128753,0.00128753,0.00128753
12,94.0645,1.36404,1.12719,0.00643,0.8356,0.67009,0.7777,0.49677,1.26447,1.48903,0.00666,0.00127338,0.00127338,0.00127338
13,99.5915,1.26325,1.13927,0.00698,0.75992,0.70421,0.76715,0.48846,1.33205,1.64475,0.00686,0.00125923,0.00125923,0.00125923
14,105.235,1.31441,1.20279,0.00784,0.73262,0.6777,0.73806,0.50876,1.20681,1.59237,0.00601,0.00124509,0.00124509,0.00124509
15,111.064,1.23832,1.13234,0.00593,0.783,0.59475,0.73021,0.51601,1.17774,1.44059,0.0058,0.00123094,0.00123094,0.00123094
16,116.723,1.2128,1.05651,0.00632,0.84622,0.70118,0.8075,0.54882,1.25568,1.37527,0.00613,0.00121679,0.00121679,0.00121679
17,122.321,1.25128,1.07327,0.0064,0.85797,0.68358,0.77849,0.53655,1.29028,1.54907,0.00647,0.00120265,0.00120265,0.00120265
