model,processing,cycle,variant,dataset,recall_0.1,specificity_0.1,precision_0.1,f1_0.1
faster_rcnn,clahe,0,pretrained,test,0.7692307692307693,0.9215077006214537,0.01692047377326565,0.033112582781456956
faster_rcnn,clahe,0,pretrained,val,0.1,0.9290798169801728,0.0035714285714285713,0.006896551724137931
faster_rcnn,clahe,0,scratch,test,0.9230769230769231,0.5948392326398271,0.003985386914646297,0.007936507936507936
faster_rcnn,clahe,0,scratch,val,0.8,0.6095577020843925,0.0051813471502590676,0.010296010296010297
faster_rcnn,clahe,1,pretrained,test,0.9230769230769231,0.779113753039719,0.007285974499089253,0.014457831325301203
faster_rcnn,clahe,1,pretrained,val,0.1,0.8721403152008135,0.001984126984126984,0.0038910505836575876
faster_rcnn,clahe,1,scratch,test,0.9230769230769231,0.9267765468792218,0.021660649819494584,0.042328042328042326
faster_rcnn,clahe,1,scratch,val,1.0,0.699288256227758,0.008382229673093043,0.01662510390689942
faster_rcnn,clahe,2,pretrained,test,0.8461538461538461,0.9458254525803836,0.02669902912621359,0.05176470588235294
faster_rcnn,clahe,2,pretrained,val,0.1,0.971021860701576,0.008695652173913044,0.016
faster_rcnn,clahe,2,scratch,test,0.9230769230769231,0.9306944069170494,0.022857142857142857,0.04460966542750929
faster_rcnn,clahe,2,scratch,val,0.8,0.9844941535332994,0.11594202898550725,0.20253164556962025
faster_rcnn,clahe,3,pretrained,test,0.8461538461538461,0.9358281545528235,0.02263374485596708,0.04408817635270541
faster_rcnn,clahe,3,pretrained,val,0.7,0.6306558210472801,0.004794520547945206,0.009523809523809525
faster_rcnn,clahe,3,scratch,test,0.8461538461538461,0.9925695757903269,0.16666666666666666,0.27848101265822783
faster_rcnn,clahe,3,scratch,val,0.4,0.936451448906965,0.015748031496062992,0.030303030303030304
faster_rcnn,clahe,4,pretrained,test,0.8461538461538461,0.8817887057552013,0.012415349887133182,0.02447163515016685
faster_rcnn,clahe,4,pretrained,val,0.0,0.885866802236909,0.0,0.0
faster_rcnn,clahe,4,scratch,test,0.9230769230769231,0.9968927316941367,0.34285714285714286,0.5000000000000001
faster_rcnn,clahe,4,scratch,val,0.1,0.9959328927300457,0.058823529411764705,0.07407407407407408
faster_rcnn,plain,0,pretrained,test,0.9230769230769231,0.7094028640907862,0.005547850208044383,0.011029411764705883
faster_rcnn,plain,0,pretrained,val,0.3,0.7460599898322319,0.0029940119760479044,0.005928853754940711
faster_rcnn,plain,0,scratch,test,0.8461538461538461,0.8077546609024588,0.007670850767085077,0.01520387007601935
faster_rcnn,plain,0,scratch,val,1.0,0.7539400101677681,0.010224948875255624,0.020242914979757085
faster_rcnn,plain,1,pretrained,test,0.8461538461538461,0.9625776817076466,0.03819444444444445,0.07308970099667775
faster_rcnn,plain,1,pretrained,val,0.0,0.9916115912557194,0.0,0.0
faster_rcnn,plain,1,scratch,test,0.9230769230769231,0.8611186165901108,0.011538461538461539,0.022792022792022797
faster_rcnn,plain,1,scratch,val,0.8,0.9476359938993391,0.037383177570093455,0.07142857142857142
faster_rcnn,plain,2,pretrained,test,0.8461538461538461,0.8428803026209133,0.009369676320272573,0.01853411962931761
faster_rcnn,plain,2,pretrained,val,0.0,0.9547534316217591,0.0,0.0
faster_rcnn,plain,2,scratch,test,0.9230769230769231,0.9073223453120778,0.017191977077363897,0.03375527426160338
faster_rcnn,plain,2,scratch,val,0.7,0.9847483477376716,0.1044776119402985,0.18181818181818182
faster_rcnn,plain,3,pretrained,test,0.8461538461538461,0.9352877600648474,0.022448979591836733,0.043737574552683886
faster_rcnn,plain,3,pretrained,val,0.0,0.9725470259278088,0.0,0.0
faster_rcnn,plain,3,scratch,test,0.9230769230769231,0.8277492569575791,0.009324009324009324,0.018461538461538463
faster_rcnn,plain,3,scratch,val,0.7,0.9428063040162684,0.03017241379310345,0.057851239669421496
faster_rcnn,plain,4,pretrained,test,0.7692307692307693,0.9790597135909214,0.06060606060606061,0.11235955056179775
faster_rcnn,plain,4,pretrained,val,0.0,0.9201830198271479,0.0,0.0
faster_rcnn,plain,4,scratch,test,0.8461538461538461,0.995271548230208,0.2391304347826087,0.3728813559322034
faster_rcnn,plain,4,scratch,val,0.6,0.994661921708185,0.2222222222222222,0.32432432432432434
rtdetr,clahe,0,pretrained,test,1.0,0.4817616860308025,0.0033775006495193557,0.006732263076126359
rtdetr,clahe,0,pretrained,val,1.0,0.38866293848500255,0.004140786749482402,0.008247422680412371
rtdetr,clahe,0,scratch,test,1.0,0.35747095379627125,0.002725938351855735,0.005437055625261397
rtdetr,clahe,0,scratch,val,0.9,0.25444839857651247,0.0030591434398368456,0.006097560975609756
rtdetr,clahe,1,pretrained,test,1.0,0.7026479329910835,0.005871725383920506,0.011674898967220477
rtdetr,clahe,1,pretrained,val,0.8,0.6652262328418912,0.0060377358490566035,0.011985018726591759
rtdetr,clahe,1,scratch,test,0.8461538461538461,0.800999729802756,0.007412398921832884,0.014696058784235138
rtdetr,clahe,1,scratch,val,0.3,0.8197763091001525,0.004213483146067416,0.008310249307479225
rtdetr,clahe,2,pretrained,test,0.8461538461538461,0.8526074034044853,0.009981851179673321,0.019730941704035873
rtdetr,clahe,2,pretrained,val,1.0,0.7295373665480427,0.00931098696461825,0.018450184501845022
rtdetr,clahe,2,scratch,test,1.0,0.7406106457714131,0.006725297465080186,0.013360739979445015
rtdetr,clahe,2,scratch,val,0.2,0.8111337061514997,0.0026845637583892616,0.005298013245033112
rtdetr,clahe,3,pretrained,test,0.9230769230769231,0.8685490407997838,0.012182741116751269,0.02404809619238477
rtdetr,clahe,3,pretrained,val,1.0,0.8091001525165227,0.013140604467805518,0.025940337224383915
rtdetr,clahe,3,scratch,test,0.8461538461538461,0.8780059443393677,0.012035010940919038,0.023732470334412083
rtdetr,clahe,3,scratch,val,0.9,0.8693441789527199,0.017208413001912046,0.03377110694183865
rtdetr,clahe,4,pretrained,test,1.0,0.730748446365847,0.006480558325024925,0.012877662209014365
rtdetr,clahe,4,pretrained,val,1.0,0.5833756990340621,0.006064281382656155,0.012055455093429777
rtdetr,clahe,4,scratch,test,1.0,0.40502566873817886,0.0029431741000679195,0.005869074492099323
rtdetr,clahe,4,scratch,val,0.9,0.6380274529740722,0.00628053035589672,0.012474012474012475
rtdetr,plain,0,pretrained,test,1.0,0.3116725209402864,0.0025450274079874707,0.0050771333723882055
rtdetr,plain,0,pretrained,val,1.0,0.21581087951194713,0.0032310177705977385,0.006441223832528181
rtdetr,plain,0,scratch,test,1.0,0.34261010537692516,0.0026644804263168684,0.005314799672935405
rtdetr,plain,0,scratch,val,1.0,0.4178952719877987,0.004347826086956522,0.008658008658008658
rtdetr,plain,1,pretrained,test,0.9230769230769231,0.7361523912456093,0.0061068702290076335,0.012133468149646106
rtdetr,plain,1,pretrained,val,1.0,0.5414336553126589,0.005512679162072767,0.010964912280701754
rtdetr,plain,1,scratch,test,1.0,0.7449338016752229,0.006838506049447659,0.013584117032392895
rtdetr,plain,1,scratch,val,0.6,0.7648703609557702,0.00644468313641246,0.01275239107332625
rtdetr,plain,2,pretrained,test,1.0,0.6209132666846798,0.0046115643845335225,0.009180790960451978
rtdetr,plain,2,pretrained,val,1.0,0.7737671581087952,0.011111111111111112,0.02197802197802198
rtdetr,plain,2,scratch,test,1.0,0.6813023507160227,0.0054806070826306915,0.01090146750524109
rtdetr,plain,2,scratch,val,1.0,0.5061006609049313,0.005120327700972862,0.010188487009679063
rtdetr,plain,3,pretrained,test,0.9230769230769231,0.9436638746284788,0.027972027972027972,0.054298642533936646
rtdetr,plain,3,pretrained,val,1.0,0.7951194712760549,0.012254901960784314,0.024213075060532687
rtdetr,plain,3,scratch,test,0.9230769230769231,0.7904620372872196,0.007677543186180422,0.015228426395939087
rtdetr,plain,3,scratch,val,0.9,0.7778342653787493,0.010192525481313703,0.020156774916013438
rtdetr,plain,4,pretrained,test,1.0,0.5285058092407457,0.003711104767342278,0.007394766780432309
rtdetr,plain,4,pretrained,val,1.0,0.3274021352313167,0.0037650602409638554,0.0075018754688672175
