threshold,tp,fp,tn,fn,recall,specificity,precision,f1_score,model,processing,cycle,variant,dataset
0.01,12,2193,5209,1,0.9230769230769231,0.703728721967036,0.005442176870748299,0.010820559062218214,faster_rcnn,clahe,0,pretrained,test
0.04,11,1021,6381,2,0.8461538461538461,0.8620643069440692,0.01065891472868217,0.021052631578947364,faster_rcnn,clahe,0,pretrained,test
0.07,11,739,6663,2,0.8461538461538461,0.9001621183463928,0.014666666666666666,0.028833551769331583,faster_rcnn,clahe,0,pretrained,test
0.11,10,581,6821,3,0.7692307692307693,0.9215077006214537,0.01692047377326565,0.033112582781456956,faster_rcnn,clahe,0,pretrained,test
0.14,10,523,6879,3,0.7692307692307693,0.9293434206971088,0.01876172607879925,0.03663003663003663,faster_rcnn,clahe,0,pretrained,test
0.17,10,481,6921,3,0.7692307692307693,0.9350175628208592,0.020366598778004074,0.03968253968253968,faster_rcnn,clahe,0,pretrained,test
0.2,10,457,6945,3,0.7692307692307693,0.9382599297487165,0.021413276231263382,0.041666666666666664,faster_rcnn,clahe,0,pretrained,test
0.24,10,416,6986,3,0.7692307692307693,0.9437989732504728,0.023474178403755867,0.04555808656036447,faster_rcnn,clahe,0,pretrained,test
0.27,10,389,7013,3,0.7692307692307693,0.9474466360443123,0.02506265664160401,0.04854368932038835,faster_rcnn,clahe,0,pretrained,test
0.3,10,366,7036,3,0.7692307692307693,0.9505539043501756,0.026595744680851064,0.05141388174807198,faster_rcnn,clahe,0,pretrained,test
0.33,10,351,7051,3,0.7692307692307693,0.9525803836800865,0.027700831024930747,0.05347593582887701,faster_rcnn,clahe,0,pretrained,test
0.37,10,336,7066,3,0.7692307692307693,0.9546068630099973,0.028901734104046242,0.055710306406685235,faster_rcnn,clahe,0,pretrained,test
0.4,10,318,7084,3,0.7692307692307693,0.9570386382058903,0.03048780487804878,0.05865102639296188,faster_rcnn,clahe,0,pretrained,test
0.43,10,301,7101,3,0.7692307692307693,0.9593353147797893,0.03215434083601286,0.06172839506172839,faster_rcnn,clahe,0,pretrained,test
0.46,10,279,7123,3,0.7692307692307693,0.9623074844636584,0.03460207612456748,0.06622516556291391,faster_rcnn,clahe,0,pretrained,test
0.5,10,256,7146,3,0.7692307692307693,0.9654147527695217,0.03759398496240601,0.07168458781362007,faster_rcnn,clahe,0,pretrained,test
0.53,10,242,7160,3,0.7692307692307693,0.9673061334774385,0.03968253968253968,0.07547169811320754,faster_rcnn,clahe,0,pretrained,test
0.56,10,219,7183,3,0.7692307692307693,0.9704134017833018,0.043668122270742356,0.08264462809917354,faster_rcnn,clahe,0,pretrained,test
0.59,10,195,7207,3,0.7692307692307693,0.9736557687111591,0.04878048780487805,0.09174311926605505,faster_rcnn,clahe,0,pretrained,test
0.63,10,173,7229,3,0.7692307692307693,0.9766279383950284,0.0546448087431694,0.10204081632653063,faster_rcnn,clahe,0,pretrained,test
0.66,10,150,7252,3,0.7692307692307693,0.9797352067008916,0.0625,0.11560693641618497,faster_rcnn,clahe,0,pretrained,test
0.69,10,127,7275,3,0.7692307692307693,0.9828424750067549,0.072992700729927,0.13333333333333333,faster_rcnn,clahe,0,pretrained,test
0.72,9,100,7302,4,0.6923076923076923,0.9864901378005945,0.08256880733944955,0.1475409836065574,faster_rcnn,clahe,0,pretrained,test
0.76,9,72,7330,4,0.6923076923076923,0.990272899216428,0.1111111111111111,0.19148936170212763,faster_rcnn,clahe,0,pretrained,test
0.79,9,50,7352,4,0.6923076923076923,0.9932450689002972,0.15254237288135594,0.25,faster_rcnn,clahe,0,pretrained,test
0.82,9,26,7376,4,0.6923076923076923,0.9964874358281546,0.2571428571428571,0.37499999999999994,faster_rcnn,clahe,0,pretrained,test
0.85,9,14,7388,4,0.6923076923076923,0.9981086192920832,0.391304347826087,0.5,faster_rcnn,clahe,0,pretrained,test
0.89,9,4,7398,4,0.6923076923076923,0.9994596055120237,0.6923076923076923,0.6923076923076923,faster_rcnn,clahe,0,pretrained,test
0.92,9,1,7401,4,0.6923076923076923,0.999864901378006,0.9,0.7826086956521738,faster_rcnn,clahe,0,pretrained,test
0.95,9,0,7402,4,0.6923076923076923,1.0,1.0,0.8181818181818181,faster_rcnn,clahe,0,pretrained,test
0.01,7,1546,2388,3,0.7,0.607015760040671,0.004507405022537025,0.008957133717210493,faster_rcnn,clahe,0,pretrained,val
0.04,3,667,3267,7,0.3,0.8304524656837824,0.004477611940298508,0.008823529411764707,faster_rcnn,clahe,0,pretrained,val
0.07,2,394,3540,8,0.2,0.8998474834773768,0.005050505050505051,0.009852216748768475,faster_rcnn,clahe,0,pretrained,val
0.11,1,279,3655,9,0.1,0.9290798169801728,0.0035714285714285713,0.006896551724137931,faster_rcnn,clahe,0,pretrained,val
0.14,0,234,3700,10,0.0,0.9405185561769192,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.17,0,204,3730,10,0.0,0.9481443823080834,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.2,0,184,3750,10,0.0,0.9532282663955262,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.24,0,169,3765,10,0.0,0.9570411794611083,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.27,0,157,3777,10,0.0,0.960091509913574,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.3,0,147,3787,10,0.0,0.9626334519572953,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.33,0,141,3793,10,0.0,0.9641586171835282,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.37,0,131,3803,10,0.0,0.9667005592272496,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.4,0,127,3807,10,0.0,0.9677173360447382,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.43,0,121,3813,10,0.0,0.969242501270971,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.46,0,110,3824,10,0.0,0.9720386375190646,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.5,0,101,3833,10,0.0,0.9743263853584139,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.53,0,98,3836,10,0.0,0.9750889679715302,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.56,0,89,3845,10,0.0,0.9773767158108795,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.59,0,80,3854,10,0.0,0.9796644636502287,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.63,0,65,3869,10,0.0,0.9834773767158109,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.66,0,54,3880,10,0.0,0.9862735129639044,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.69,0,45,3889,10,0.0,0.9885612608032537,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.72,0,36,3898,10,0.0,0.990849008642603,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.76,0,18,3916,10,0.0,0.9954245043213015,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.79,0,11,3923,10,0.0,0.9972038637519065,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.82,0,6,3928,10,0.0,0.9984748347737672,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.85,0,3,3931,10,0.0,0.9992374173868835,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.89,0,2,3932,10,0.0,0.9994916115912558,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.92,0,0,3934,10,0.0,1.0,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.95,0,0,3934,10,0.0,1.0,0.0,0.0,faster_rcnn,clahe,0,pretrained,val
0.01,12,5725,1677,1,0.9230769230769231,0.22656038908403134,0.0020916855499389926,0.004173913043478261,faster_rcnn,clahe,0,scratch,test
0.04,12,4282,3120,1,0.9230769230769231,0.42150770062145365,0.0027945971122496508,0.0055723241235198515,faster_rcnn,clahe,0,scratch,test
0.07,12,3581,3821,1,0.9230769230769231,0.5162118346392867,0.003339827442248817,0.0066555740432612314,faster_rcnn,clahe,0,scratch,test
0.11,12,2999,4403,1,0.9230769230769231,0.5948392326398271,0.003985386914646297,0.007936507936507936,faster_rcnn,clahe,0,scratch,test
0.14,12,2723,4679,1,0.9230769230769231,0.6321264523101864,0.0043875685557586835,0.008733624454148471,faster_rcnn,clahe,0,scratch,test
0.17,12,2473,4929,1,0.9230769230769231,0.6659011078087004,0.00482897384305835,0.009607686148919135,faster_rcnn,clahe,0,scratch,test
0.2,12,2254,5148,1,0.9230769230769231,0.6954877060253986,0.00529567519858782,0.010530934620447565,faster_rcnn,clahe,0,scratch,test
0.24,12,1991,5411,1,0.9230769230769231,0.7310186436098352,0.005991013479780329,0.011904761904761904,faster_rcnn,clahe,0,scratch,test
0.27,12,1802,5600,1,0.9230769230769231,0.7565522831667117,0.006615214994487321,0.013136288998357963,faster_rcnn,clahe,0,scratch,test
0.3,12,1631,5771,1,0.9230769230769231,0.7796541475276952,0.007303712720632989,0.014492753623188406,faster_rcnn,clahe,0,scratch,test
0.33,12,1472,5930,1,0.9230769230769231,0.80113482842475,0.008086253369272238,0.01603206412825651,faster_rcnn,clahe,0,scratch,test
0.37,12,1326,6076,1,0.9230769230769231,0.8208592272358822,0.008968609865470852,0.01776461880088823,faster_rcnn,clahe,0,scratch,test
0.4,12,1213,6189,1,0.9230769230769231,0.8361253715212105,0.009795918367346938,0.01938610662358643,faster_rcnn,clahe,0,scratch,test
0.43,12,1129,6273,1,0.9230769230769231,0.8474736557687111,0.010517090271691499,0.02079722703639515,faster_rcnn,clahe,0,scratch,test
0.46,12,1059,6343,1,0.9230769230769231,0.8569305593082951,0.011204481792717087,0.022140221402214024,faster_rcnn,clahe,0,scratch,test
0.5,12,980,6422,1,0.9230769230769231,0.8676033504458255,0.012096774193548387,0.02388059701492537,faster_rcnn,clahe,0,scratch,test
0.53,12,918,6484,1,0.9230769230769231,0.8759794650094569,0.012903225806451613,0.025450689289501588,faster_rcnn,clahe,0,scratch,test
0.56,11,836,6566,2,0.8461538461538461,0.8870575520129694,0.012987012987012988,0.025581395348837212,faster_rcnn,clahe,0,scratch,test
0.59,10,757,6645,3,0.7692307692307693,0.8977303431504998,0.01303780964797914,0.02564102564102564,faster_rcnn,clahe,0,scratch,test
0.63,10,646,6756,3,0.7692307692307693,0.91272629019184,0.01524390243902439,0.029895366218236175,faster_rcnn,clahe,0,scratch,test
0.66,10,568,6834,3,0.7692307692307693,0.9232639827073764,0.01730103806228374,0.0338409475465313,faster_rcnn,clahe,0,scratch,test
0.69,10,494,6908,3,0.7692307692307693,0.9332612807349365,0.01984126984126984,0.03868471953578336,faster_rcnn,clahe,0,scratch,test
0.72,10,427,6975,3,0.7692307692307693,0.9423128884085382,0.02288329519450801,0.044444444444444446,faster_rcnn,clahe,0,scratch,test
