model,processing,cycle,variant,dataset,mAP,mAR,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_ar,Other_Amphibian_f1_default,Other_Amphibian_recall_default,Other_Amphibian_precision_default,Other_Amphibian_f1_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_precision_optimal,Other_Amphibian_specificity_optimal,Other_Amphibian_optimal_threshold,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_ar,Small_Mammal_f1_default,Small_Mammal_recall_default,Small_Mammal_precision_default,Small_Mammal_f1_optimal,Small_Mammal_recall_optimal,Small_Mammal_precision_optimal,Small_Mammal_specificity_optimal,Small_Mammal_optimal_threshold,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_ar,Western_Leopard_Toad_f1_default,Western_Leopard_Toad_recall_default,Western_Leopard_Toad_precision_default,Western_Leopard_Toad_f1_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_specificity_optimal,Western_Leopard_Toad_optimal_threshold
faster_rcnn,clahe,0,pretrained,val,0.06705609544703318,0.3506944444444445,,,,,,0.020316014166755235,0.24048913043478262,,,,0.058510638297872335,0.059782608695652176,0.057291666666666664,0.25806451612903225,0.0686,,0.0,0.0,,,,0.0,0.0,0.0,0.9986910994764397,0.0243,,0.18085227217434433,0.8115942028985508,,,,0.3310344827586207,0.34782608695652173,0.3157894736842105,0.9439655172413793,0.2213
faster_rcnn,clahe,0,scratch,val,0.39736662354638863,0.706219806763285,,,,,,0.1160361971686875,0.39402173913043476,,,,0.22504230118443314,0.18070652173913043,0.2982062780269058,0.45161290322580644,0.0566,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.2864,,0.07606367347047838,0.7246376811594203,,,,0.20105820105820105,0.2753623188405797,0.15833333333333333,0.8994252873563219,0.1679
faster_rcnn,clahe,1,pretrained,val,0.056973002337018526,0.25271739130434784,,,,,,0.0149980817943993,0.14945652173913043,,,,0.06142322097378277,0.05570652173913043,0.06844741235392321,0.20967741935483872,0.0299,,0.0,0.0,,,,0.0,0.0,0.0,0.9986910994764397,0.0186,,0.1559209252166563,0.6086956521739131,,,,0.31343283582089554,0.30434782608695654,0.3230769230769231,0.9511494252873564,0.2074
faster_rcnn,clahe,1,scratch,val,0.46651043738733905,0.7178442028985508,,,,,,0.2019848780003975,0.4578804347826087,,,,0.33395176252319114,0.24456521739130435,0.5263157894736842,0.46774193548387094,0.149,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.2087,,0.19754643416161977,0.6956521739130435,,,,0.34313725490196073,0.5072463768115942,0.25925925925925924,0.8649425287356322,0.0467
faster_rcnn,clahe,2,pretrained,val,0.08645815366163141,0.29030797101449274,,,,,,0.0396522867738689,0.17527173913043478,,,,0.099601593625498,0.06793478260869565,0.1865671641791045,0.4838709677419355,0.0402,,0.0,0.0,,,,0.0,0.0,0.0,0.9986910994764397,0.0172,,0.21972217421102536,0.6956521739130435,,,,0.4126984126984127,0.37681159420289856,0.45614035087719296,0.9583333333333334,0.1941
faster_rcnn,clahe,2,scratch,val,0.097955207174804,0.6449275362318839,,,,,,0.19646087933577805,0.3695652173913043,,,,0.3303121852970795,0.22282608695652173,0.6381322957198443,0.5806451612903226,0.1365,,0.0024691358024691358,1.0,,,,0.0049261083743842365,1.0,0.0024691358024691358,0.7630890052356021,0.006,,0.09493560638616481,0.5652173913043478,,,,0.23129251700680273,0.2463768115942029,0.21794871794871795,0.9224137931034483,0.1216
faster_rcnn,clahe,3,pretrained,val,0.04197468343249481,0.33786231884057966,,,,,,0.044977715130603245,0.27445652173913043,,,,0.10099188458070334,0.07608695652173914,0.15013404825737264,0.3225806451612903,0.0465,,0.0,0.0,,,,0.0,0.0,0.0,0.9986910994764397,0.016,,0.0809463351668812,0.7391304347826086,,,,0.22077922077922077,0.2463768115942029,0.2,0.9410919540229885,0.3153
faster_rcnn,clahe,3,scratch,val,0.2588229239316823,0.6659118357487922,,,,,,0.194685900224658,0.4470108695652174,,,,0.3002944062806673,0.2078804347826087,0.5406360424028268,0.5161290322580645,0.1294,,0.5,1.0,,,,0.6666666666666666,1.0,0.5,0.9986910994764397,0.0301,,0.08178287157038898,0.5507246376811594,,,,0.21132075471698114,0.4057971014492754,0.14285714285714285,0.8433908045977011,0.0076
faster_rcnn,clahe,4,pretrained,val,0.017325525835103234,0.26222826086956524,,,,,,0.007099912832265297,0.13451086956521738,,,,0.03642987249544627,0.02717391304347826,0.055248618784530384,0.4032258064516129,0.1054,,0.0,0.0,,,,0.0,0.0,0.0,0.9986910994764397,0.0145,,0.0448766646730444,0.6521739130434783,,,,0.1592920353982301,0.2608695652173913,0.11464968152866242,0.8290229885057471,0.0671
faster_rcnn,clahe,4,scratch,val,0.42914747088821364,0.607487922705314,,,,,,0.10795169921576095,0.31521739130434784,,,,0.21455938697318008,0.15217391304347827,0.36363636363636365,0.5483870967741935,0.032,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.5327,,0.17949071344887993,0.5072463768115942,,,,0.3709677419354838,0.3333333333333333,0.41818181818181815,0.9597701149425287,0.0415
