model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
yolo,plain,0,pretrained,test,0.6375920945426014,0.50325534078264,0.614942428198665,0.6263712798848369,0.614942428198665,0.7525891520614203,0.5901814300960512,0.755464480874317,0.0102,0.95,0.29,0.0,0.0,0.5744,0.95,0.8701871315663835,0.8835616438356164,0.7588235294117647,0.551,0.95
yolo,plain,0,pretrained,val,0.719734931576184,0.5337549751507041,0.6056974188445745,0.663227293251633,0.6056974188445745,0.5456769441591375,0.5980066445182725,0.4768211920529801,0.0102,0.95,0.995,1.0,1.0,0.5744,0.95,0.6185278505694143,0.8108108108108109,0.39473684210526316,0.551,0.95
yolo,plain,0,scratch,test,0.5354840170004849,0.4066585810282337,0.392523284210049,0.4886182909172521,0.392523284210049,0.6370807856285499,0.8199052132701422,0.4726775956284153,0.01,0.95,0.1665454545454545,0.3333333333333333,0.5,0.0633,0.95,0.8028258108274503,0.6716417910447762,0.7941176470588235,0.0457,0.95
yolo,plain,0,scratch,val,0.6020205526889403,0.466153566737764,0.5591169546143697,0.6231128592098323,0.5591169546143697,0.6242428457198405,0.9033816425120773,0.247682119205298,0.01,0.95,0.4975,0.0,0.0,0.0633,0.95,0.6843188123469804,0.5957446808510638,0.7368421052631579,0.0457,0.95
yolo,plain,1,pretrained,test,0.7309476849312552,0.4671085554234552,0.5186656415218197,0.7193856666296258,0.5186656415218197,0.689251174772949,0.6788685524126455,0.5573770491803278,0.0101,0.95,0.6199999999999999,0.0,0.0,0.3964,0.95,0.8835918800208168,0.8794326241134752,0.7294117647058823,0.1327,0.95
yolo,plain,1,pretrained,val,0.7142607045209756,0.4696119506440432,0.5512413090794633,0.8357169870067866,0.5512413090794633,0.58100472027963,0.7486338797814208,0.3629139072847682,0.0101,0.95,0.995,1.0,1.0,0.3964,0.95,0.5667773932832965,0.5764705882352941,0.6447368421052632,0.1327,0.95
yolo,plain,1,scratch,test,0.6164684772516894,0.4490308992301679,0.5897503298325936,0.5633863758476202,0.5897503298325936,0.7310040889380376,0.8133874239350912,0.5478142076502732,0.0103,0.95,0.3316666666666666,0.3333333333333333,0.5,0.0742,0.95,0.7867346761503639,0.7062146892655368,0.7352941176470589,0.3929,0.95
yolo,plain,1,scratch,val,0.7022658092675903,0.4021802963693782,0.5985039383799993,0.6224120854508368,0.5985039383799993,0.6962222978054927,0.9161290322580645,0.376158940397351,0.0103,0.95,0.995,0.5,1.0,0.0742,0.95,0.4155751299972781,0.48,0.631578947368421,0.3929,0.95
yolo,plain,2,pretrained,test,0.7009509814598692,0.5894992679373604,0.4559438123984212,0.8397455508828572,0.4559438123984212,0.76307151401225,0.7051630434782609,0.7090163934426229,0.0102,0.95,0.51,0.0,0.0,0.6509,0.95,0.8297814303673577,0.9327731092436975,0.6529411764705882,0.2376,0.95
yolo,plain,2,pretrained,val,0.6738756845894865,0.4883222994382135,0.5289490482113427,0.7407958486588662,0.5289490482113427,0.6348746292202319,0.6811594202898551,0.5602649006622517,0.0102,0.95,0.995,1.0,1.0,0.6509,0.95,0.3917524245482274,0.3282442748091603,0.5657894736842105,0.2376,0.95
yolo,plain,2,scratch,test,0.5400300894660256,0.4399739926316338,0.4141381239812136,0.5985483029522887,0.4141381239812136,0.7646087321239841,0.7661016949152543,0.6174863387978142,0.0101,0.95,0.0,0.0,0.0,0.0252,0.95,0.8554815362740926,0.6666666666666666,0.8352941176470589,0.0152,0.95
yolo,plain,2,scratch,val,0.5965194984434249,0.4432501426910911,0.8425422705314011,0.370145477545857,0.8425422705314011,0.6959322272192967,0.8355855855855856,0.4913907284768212,0.0101,0.95,0.3316666666666666,0.5,1.0,0.0252,0.95,0.7619596014443114,0.6888888888888889,0.8157894736842105,0.0152,0.95
yolo,plain,3,pretrained,test,0.7404082486922884,0.5141538820560579,0.551986095238948,0.9349046078268668,0.551986095238948,0.8460522311669566,0.6840277777777778,0.8073770491803278,0.0106,0.95,0.4958833922261484,0.0,0.0,0.7633,0.95,0.8792891226837601,0.8157894736842105,0.7294117647058823,0.0861,0.95
yolo,plain,3,pretrained,val,0.7998485671440706,0.628603043696614,0.59287147297666,0.6530448152984569,0.59287147297666,0.7654825658769322,0.7521367521367521,0.6993377483443709,0.0106,0.95,0.995,1.0,1.0,0.7633,0.95,0.6390631355552794,0.5643564356435643,0.75,0.0861,0.95
