threshold,tp,fp,tn,fn,recall,specificity,precision,f1_score,model,processing,cycle,variant,dataset
0.01,790,128821,17703,37,0.9552599758162031,0.12081979743932734,0.006095161676092307,0.012113034545147887,faster_rcnn,clahe,0,pretrained,test_full_seq
0.04,658,84153,62371,169,0.7956469165659008,0.4256708798558598,0.007758427562462416,0.0153670099722086,faster_rcnn,clahe,0,pretrained,test_full_seq
0.07,579,61859,84665,248,0.7001209189842805,0.5778234282438371,0.009273199013421314,0.018303959535288072,faster_rcnn,clahe,0,pretrained,test_full_seq
0.11,482,44332,102192,345,0.5828295042321644,0.6974420572738937,0.010755567456598385,0.02112136018053943,faster_rcnn,clahe,0,pretrained,test_full_seq
0.14,433,35783,110741,394,0.5235792019347038,0.7557874477901231,0.01195604152860614,0.023378236103987256,faster_rcnn,clahe,0,pretrained,test_full_seq
0.17,388,29411,117113,439,0.46916565900846435,0.7992752040621331,0.013020571160106045,0.025337948148631884,faster_rcnn,clahe,0,pretrained,test_full_seq
0.2,359,24466,122058,468,0.43409915356711004,0.8330239414703393,0.01446122860020141,0.027990020271323874,faster_rcnn,clahe,0,pretrained,test_full_seq
0.24,312,19454,127070,515,0.37726723095526,0.8672299418525293,0.015784680764949915,0.030301558782110424,faster_rcnn,clahe,0,pretrained,test_full_seq
0.27,300,16616,129908,527,0.36275695284159615,0.8865987824520215,0.017734689051785293,0.033816152849010885,faster_rcnn,clahe,0,pretrained,test_full_seq
0.3,277,14266,132258,550,0.3349455864570738,0.9026371106439901,0.019046964175204566,0.03604424202992843,faster_rcnn,clahe,0,pretrained,test_full_seq
0.33,261,12370,134154,566,0.31559854897218864,0.9155769703256804,0.020663447074657587,0.03878733838609005,faster_rcnn,clahe,0,pretrained,test_full_seq
0.37,247,10310,136214,580,0.29866989117291415,0.929636100570555,0.023396798332859715,0.043394237526352776,faster_rcnn,clahe,0,pretrained,test_full_seq
0.4,229,8967,137557,598,0.27690447400241835,0.9388018345117524,0.024902131361461504,0.04569490172603012,faster_rcnn,clahe,0,pretrained,test_full_seq
0.43,218,7734,138790,609,0.26360338573155984,0.9472168381971554,0.027414486921529174,0.049663970839503364,faster_rcnn,clahe,0,pretrained,test_full_seq
0.46,210,6689,139835,617,0.2539298669891173,0.954348775627201,0.030439194086099436,0.05436189490033652,faster_rcnn,clahe,0,pretrained,test_full_seq
0.5,189,5433,141091,638,0.22853688029020555,0.9629207501842701,0.0336179295624333,0.05861373856411847,faster_rcnn,clahe,0,pretrained,test_full_seq
0.53,182,4574,141950,645,0.22007255139056833,0.9687832709999727,0.038267451640033645,0.06519792226401576,faster_rcnn,clahe,0,pretrained,test_full_seq
0.56,167,3845,142679,660,0.20193470374848851,0.9737585651497366,0.04162512462612163,0.06902252531514776,faster_rcnn,clahe,0,pretrained,test_full_seq
0.59,159,3244,143280,668,0.19226118500604594,0.9778602822745762,0.0467234792829856,0.075177304964539,faster_rcnn,clahe,0,pretrained,test_full_seq
0.63,147,2566,143958,680,0.1777509068923821,0.9824875105784718,0.054183560633984516,0.08305084745762711,faster_rcnn,clahe,0,pretrained,test_full_seq
0.66,143,2167,144357,684,0.17291414752116083,0.9852106139608529,0.06190476190476191,0.09116990755498884,faster_rcnn,clahe,0,pretrained,test_full_seq
0.69,139,1792,144732,688,0.16807738814993953,0.9877699216510606,0.07198342827550493,0.10079767947788253,faster_rcnn,clahe,0,pretrained,test_full_seq
0.72,124,1499,145025,703,0.14993954050785974,0.9897695940596762,0.07640172520024646,0.10122448979591837,faster_rcnn,clahe,0,pretrained,test_full_seq
0.76,116,1143,145381,711,0.14026602176541716,0.9921992301602468,0.09213661636219221,0.1112176414189837,faster_rcnn,clahe,0,pretrained,test_full_seq
0.79,110,901,145623,717,0.13301088270858524,0.9938508367229942,0.10880316518298715,0.11969532100108814,faster_rcnn,clahe,0,pretrained,test_full_seq
0.82,94,662,145862,733,0.11366384522370013,0.9954819688242199,0.12433862433862433,0.11876184459886291,faster_rcnn,clahe,0,pretrained,test_full_seq
0.85,87,490,146034,740,0.10519951632406288,0.9966558379514618,0.15077989601386482,0.12393162393162394,faster_rcnn,clahe,0,pretrained,test_full_seq
0.89,75,286,146238,752,0.09068923821039904,0.9980481013349349,0.2077562326869806,0.12626262626262627,faster_rcnn,clahe,0,pretrained,test_full_seq
0.92,62,171,146353,765,0.07496977025392987,0.9988329556932652,0.26609442060085836,0.11698113207547171,faster_rcnn,clahe,0,pretrained,test_full_seq
0.95,55,68,146456,772,0.06650544135429262,0.999535912205509,0.44715447154471544,0.11578947368421053,faster_rcnn,clahe,0,pretrained,test_full_seq
0.01,677,119887,34623,88,0.8849673202614379,0.2240825836515436,0.005615274874755317,0.011159739221455712,faster_rcnn,clahe,0,pretrained,val_full_seq
0.04,539,96515,57995,226,0.7045751633986929,0.37534787392401786,0.0055536093308879595,0.011020353918972797,faster_rcnn,clahe,0,pretrained,val_full_seq
0.07,454,79553,74957,311,0.5934640522875817,0.48512717623454793,0.005674503480945417,0.011241519338384588,faster_rcnn,clahe,0,pretrained,val_full_seq
0.11,375,62592,91918,390,0.49019607843137253,0.594900006472073,0.005955500500262042,0.011768028619845603,faster_rcnn,clahe,0,pretrained,val_full_seq
0.14,323,52775,101735,442,0.4222222222222222,0.658436347161996,0.006083091641869751,0.011993390639214303,faster_rcnn,clahe,0,pretrained,val_full_seq
0.17,280,45173,109337,485,0.3660130718954248,0.7076370461458805,0.006160209447121202,0.012116491410273053,faster_rcnn,clahe,0,pretrained,val_full_seq
0.2,248,39465,115045,517,0.3241830065359477,0.7445796388583263,0.006244806486540931,0.012253569840407135,faster_rcnn,clahe,0,pretrained,val_full_seq
0.24,221,33602,120908,544,0.28888888888888886,0.7825254028865446,0.006534015315022322,0.01277899849658841,faster_rcnn,clahe,0,pretrained,val_full_seq
0.27,196,30009,124501,569,0.25620915032679736,0.8057795611934503,0.006488991888760139,0.012657410397158541,faster_rcnn,clahe,0,pretrained,val_full_seq
0.3,171,26739,127771,594,0.2235294117647059,0.8269432399197463,0.006354515050167224,0.012357723577235772,faster_rcnn,clahe,0,pretrained,val_full_seq
0.33,157,23755,130755,608,0.20522875816993463,0.846255905766617,0.006565741050518568,0.012724399238156988,faster_rcnn,clahe,0,pretrained,val_full_seq
