model,processing,cycle,variant,dataset,roc_auc
yolo,clahe,0,scratch,val,0.5450305033045246
yolo,clahe,4,pretrained,test,0.9561241244570077
yolo,clahe,1,scratch,val,0.539463650228775
yolo,clahe,3,pretrained,val,0.8877732587697
yolo,clahe,2,scratch,val,0.6454626334519573
yolo,clahe,0,pretrained,test,0.9438509342589323
yolo,clahe,3,scratch,val,0.6444966954753433
yolo,clahe,2,scratch,test,0.9176106249870097
yolo,clahe,0,pretrained,val,0.8232714794102693
yolo,clahe,4,scratch,val,0.7141967463141841
yolo,clahe,1,pretrained,val,0.5342399593289273
yolo,clahe,1,pretrained,test,0.9507981210899342
yolo,clahe,4,pretrained,val,0.8871886120996442
yolo,clahe,3,pretrained,test,0.9572412861388815
yolo,clahe,2,pretrained,val,0.6844178952719877
yolo,clahe,1,scratch,test,0.9185874919460437
yolo,clahe,2,pretrained,test,0.9543314696651635
yolo,clahe,0,scratch,test,0.9122794255190906
yolo,clahe,3,scratch,test,0.961174734479247
yolo,clahe,4,scratch,test,0.9588468813002724
rtdetr,plain,0,scratch,val,0.9434290798169802
rtdetr,plain,4,pretrained,test,0.9870045517843411
rtdetr,plain,1,scratch,val,0.7578673106253178
rtdetr,plain,3,pretrained,val,0.9788256227758007
rtdetr,plain,2,scratch,val,0.8834011184544992
rtdetr,plain,0,pretrained,test,0.9699873215139361
rtdetr,plain,3,scratch,val,0.8944839857651246
rtdetr,plain,2,scratch,test,0.9866408247251263
rtdetr,plain,0,pretrained,val,0.8423106253177428
rtdetr,plain,4,scratch,val,0.9250889679715303
rtdetr,plain,1,pretrained,val,0.9386120996441282
rtdetr,plain,1,pretrained,test,0.9554018664394239
rtdetr,plain,4,pretrained,val,0.9881164209456025
rtdetr,plain,3,pretrained,test,0.9905482925612621
rtdetr,plain,2,pretrained,val,0.8602058973055414
rtdetr,plain,1,scratch,test,0.9866823935318937
rtdetr,plain,2,pretrained,test,0.9931827156901462
rtdetr,plain,0,scratch,test,0.9965342007357678
rtdetr,plain,3,scratch,test,0.9688493754286784
rtdetr,plain,4,scratch,test,0.9942738968677904
faster_rcnn,clahe,0,scratch,val,0.7805414336553127
faster_rcnn,clahe,4,pretrained,test,0.9038513499469999
faster_rcnn,clahe,1,scratch,val,0.9262455516014235
faster_rcnn,clahe,3,pretrained,val,0.656532791052364
faster_rcnn,clahe,2,scratch,val,0.9422979156075241
faster_rcnn,clahe,0,pretrained,test,0.9254047762558977
faster_rcnn,clahe,3,scratch,val,0.7942425012709711
faster_rcnn,clahe,2,scratch,test,0.955536965061418
faster_rcnn,clahe,0,pretrained,val,0.6499872902897814
faster_rcnn,clahe,4,scratch,val,0.7672470767666497
faster_rcnn,clahe,1,pretrained,val,0.5910650737163193
faster_rcnn,clahe,1,pretrained,test,0.94788310851537
faster_rcnn,clahe,4,pretrained,val,0.5180096593797662
faster_rcnn,clahe,3,pretrained,test,0.9664695612412446
faster_rcnn,clahe,2,pretrained,val,0.5240849008642602
faster_rcnn,clahe,1,scratch,test,0.9517438114438928
faster_rcnn,clahe,2,pretrained,test,0.948797622264253
faster_rcnn,clahe,0,scratch,test,0.9131991353688194
faster_rcnn,clahe,3,scratch,test,0.9588988423087317
faster_rcnn,clahe,4,scratch,test,0.9589196267121153
yolo,plain,0,scratch,val,0.6668022369089984
yolo,plain,4,pretrained,test,0.9568723629788208
yolo,plain,1,scratch,val,0.6894763599389934
yolo,plain,3,pretrained,val,0.9098373157092019
yolo,plain,2,scratch,val,0.6970640569395018
yolo,plain,0,pretrained,test,0.98666160912851
yolo,plain,3,scratch,val,0.5957676664972039
yolo,plain,2,scratch,test,0.920312597426891
yolo,plain,0,pretrained,val,0.8265887137773258
yolo,plain,4,scratch,val,0.5850660904931367
yolo,plain,1,pretrained,val,0.5925394001016777
yolo,plain,1,pretrained,test,0.9164259139941389
yolo,plain,4,pretrained,val,0.7463523131672599
yolo,plain,3,pretrained,test,0.9313127429177146
yolo,plain,2,pretrained,val,0.6465429588205388
yolo,plain,1,scratch,test,0.920795834805562
yolo,plain,2,pretrained,test,0.9184731777274333
yolo,plain,0,scratch,test,0.9030615426184192
yolo,plain,3,scratch,test,0.9216531914451397
yolo,plain,4,scratch,test,0.9209465217300937
faster_rcnn,plain,0,scratch,val,0.9453101169293341
faster_rcnn,plain,4,pretrained,test,0.9158855195061626
faster_rcnn,plain,1,scratch,val,0.9050965937976614
faster_rcnn,plain,3,pretrained,val,0.7230299949161159
faster_rcnn,plain,2,scratch,val,0.9039781392984241
faster_rcnn,plain,0,pretrained,test,0.9473946750358531
faster_rcnn,plain,3,scratch,val,0.9459710218607016
faster_rcnn,plain,2,scratch,test,0.9414503356681149
faster_rcnn,plain,0,pretrained,val,0.6467971530249109
faster_rcnn,plain,4,scratch,val,0.8800584646670055
faster_rcnn,plain,1,pretrained,val,0.4052618200305033
faster_rcnn,plain,1,pretrained,test,0.8999386860100181
faster_rcnn,plain,4,pretrained,val,0.4605744789018811
faster_rcnn,plain,3,pretrained,test,0.9250618336000666
faster_rcnn,plain,2,pretrained,val,0.5885358413828163
faster_rcnn,plain,1,scratch,test,0.9415854342901089
faster_rcnn,plain,2,pretrained,test,0.9308295055390435
faster_rcnn,plain,0,scratch,test,0.9416581797019518
faster_rcnn,plain,3,scratch,test,0.9828164945025254
faster_rcnn,plain,4,scratch,test,0.9207698543013323
rtdetr,clahe,0,scratch,val,0.7040289781392984
rtdetr,clahe,4,pretrained,test,0.9938582088001164
rtdetr,clahe,1,scratch,val,0.6706786985256736
rtdetr,clahe,3,pretrained,val,0.9768810371123537
rtdetr,clahe,2,scratch,val,0.7059862735129638
rtdetr,clahe,0,pretrained,test,0.9548874524556773
rtdetr,clahe,3,scratch,val,0.9141077783426539
rtdetr,clahe,2,scratch,test,0.9808419761810737
rtdetr,clahe,0,pretrained,val,0.8855363497712252
rtdetr,clahe,4,scratch,val,0.9098373157092019
rtdetr,clahe,1,pretrained,val,0.8501906456532791
rtdetr,clahe,1,pretrained,test,0.9953650780454347
rtdetr,clahe,4,pretrained,val,0.9947635993899339
rtdetr,clahe,3,pretrained,test,0.9707199717332115
rtdetr,clahe,2,pretrained,val,0.9110066090493136
rtdetr,clahe,1,scratch,test,0.9444692702595971
rtdetr,clahe,2,pretrained,test,0.9659603433583439
rtdetr,clahe,0,scratch,test,0.9820162949722528
rtdetr,clahe,3,scratch,test,0.9313906844304035
rtdetr,clahe,4,scratch,test,0.9833413006879638
