model,processing,cycle,variant,dataset,class_id,class_name,roc_auc
faster_rcnn,clahe,0,pretrained,test,0,Other_Amphibian,0.8700755531570427
faster_rcnn,clahe,0,pretrained,test,1,Small_Mammal,0.486311530681052
faster_rcnn,clahe,0,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
faster_rcnn,clahe,0,pretrained,val,0,Other_Amphibian,0.3159229208924949
faster_rcnn,clahe,0,pretrained,val,1,Small_Mammal,0.4637423935091278
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.3747464503042596
faster_rcnn,clahe,0,scratch,test,0,Other_Amphibian,0.5510883252383522
faster_rcnn,clahe,0,scratch,test,1,Small_Mammal,0.3289278489548213
faster_rcnn,clahe,0,scratch,test,2,Western_Leopard_Toad,0.998988400323712
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.1598630831643002
faster_rcnn,clahe,0,scratch,val,1,Small_Mammal,0.3553498985801217
faster_rcnn,clahe,0,scratch,val,2,Western_Leopard_Toad,0.13197261663285997
faster_rcnn,clahe,1,pretrained,test,0,Other_Amphibian,0.890650296815974
faster_rcnn,clahe,1,pretrained,test,1,Small_Mammal,0.4996628455832771
faster_rcnn,clahe,1,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
faster_rcnn,clahe,1,pretrained,val,0,Other_Amphibian,0.4035243407707911
faster_rcnn,clahe,1,pretrained,val,1,Small_Mammal,0.4769269776876268
faster_rcnn,clahe,1,pretrained,val,2,Western_Leopard_Toad,0.23998478701825554
faster_rcnn,clahe,1,scratch,test,0,Other_Amphibian,0.8608787551717935
faster_rcnn,clahe,1,scratch,test,1,Small_Mammal,0.4647336480107889
faster_rcnn,clahe,1,scratch,test,2,Western_Leopard_Toad,0.999662800107904
faster_rcnn,clahe,1,scratch,val,0,Other_Amphibian,0.24809837728194728
faster_rcnn,clahe,1,scratch,val,1,Small_Mammal,0.35788539553752535
faster_rcnn,clahe,1,scratch,val,2,Western_Leopard_Toad,0.2210953346855984
faster_rcnn,clahe,2,pretrained,test,0,Other_Amphibian,0.7929933441266415
faster_rcnn,clahe,2,pretrained,test,1,Small_Mammal,0.5
faster_rcnn,clahe,2,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
faster_rcnn,clahe,2,pretrained,val,0,Other_Amphibian,0.44967038539553755
faster_rcnn,clahe,2,pretrained,val,1,Small_Mammal,0.4948022312373226
