epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1983.21,0.27441,2.16408,0.28915,0.89919,0.8188,0.89296,0.77647,0.11497,0.26847,0.18626,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146
2,3730.82,0.24517,0.45944,0.24456,0.76221,0.75988,0.74203,0.63154,0.13326,0.33826,0.19315,0.0197964,0.00659881,0.0197964,0.00659881,0.0197964,0.00659881,0.0197964,0.00659881
3,5144.76,0.31404,0.50161,0.27842,0.8118,0.704,0.77102,0.60822,0.1679,0.37452,0.2102,0.0294005,0.00980016,0.0294005,0.00980016,0.0294005,0.00980016,0.0294005,0.00980016
4,6691.4,0.35411,0.52406,0.30611,0.80791,0.77838,0.81883,0.65116,0.15251,0.34372,0.20202,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,8238.09,0.34937,0.50927,0.29682,0.86171,0.80871,0.8567,0.67405,0.15705,0.33338,0.19269,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,9665.34,0.35197,0.50079,0.30007,0.83556,0.82019,0.87162,0.7076,0.14328,0.30641,0.19795,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,11222.8,0.33925,0.49,0.28807,0.86501,0.84884,0.87444,0.7166,0.15247,0.31527,0.18763,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,12774.8,0.34069,0.48155,0.28807,0.8812,0.83424,0.8871,0.7154,0.16625,0.31805,0.19269,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,14207.3,0.33443,0.483,0.28084,0.89333,0.84241,0.9011,0.73996,0.14032,0.28577,0.1796,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,15756.4,0.33444,0.47652,0.27968,0.89673,0.84285,0.89904,0.75042,0.1318,0.27458,0.17319,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,17313,0.32932,0.47238,0.27498,0.87995,0.84236,0.89996,0.75778,0.12161,0.26662,0.17172,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,18742.7,0.32857,0.4677,0.27202,0.88361,0.84648,0.89047,0.75278,0.12217,0.26682,0.16404,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,20296.2,0.3195,0.46207,0.2693,0.84817,0.867,0.89651,0.76521,0.11786,0.25319,0.16396,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,21842.3,0.33009,0.46504,0.27082,0.89283,0.88881,0.91662,0.78328,0.11509,0.25332,0.15786,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,23273.5,0.32066,0.45604,0.26827,0.87241,0.88115,0.90486,0.7716,0.11344,0.24678,0.16227,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,24820.2,0.32164,0.45698,0.26683,0.89992,0.87909,0.91143,0.77115,0.12622,0.25635,0.15916,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,26370.3,0.31664,0.45737,0.26467,0.90695,0.87567,0.92319,0.79516,0.10893,0.23802,0.152,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,27798.5,0.31405,0.45012,0.26042,0.90783,0.87806,0.92276,0.7885,0.12294,0.2527,0.162,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,29352.1,0.31362,0.44879,0.25985,0.90089,0.90185,0.93012,0.80552,0.11661,0.24473,0.16363,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,30897.1,0.31063,0.44558,0.26103,0.91695,0.89804,0.92395,0.8034,0.11666,0.23855,0.16093,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,32336.4,0.31248,0.44426,0.25912,0.92365,0.89926,0.93237,0.80922,0.10289,0.22324,0.15098,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,33887.9,0.31045,0.44524,0.25348,0.90453,0.90419,0.92437,0.80055,0.1107,0.23202,0.1554,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,35388.4,0.30356,0.43983,0.2523,0.9019,0.90546,0.92748,0.8082,0.09859,0.21467,0.15015,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,36848.7,0.29789,0.43661,0.24855,0.9112,0.90397,0.93446,0.81407,0.10108,0.21782,0.14818,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,38393.3,0.30251,0.43871,0.25199,0.91906,0.9078,0.94389,0.82804,0.10126,0.21689,0.14784,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,39883.1,0.2983,0.43915,0.24795,0.91217,0.91412,0.93904,0.8228,0.09831,0.21049,0.14894,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,41369.4,0.29679,0.43676,0.2463,0.91077,0.90784,0.93785,0.82158,0.10208,0.21664,0.14912,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,42925.1,0.28608,0.42635,0.24376,0.92612,0.89907,0.93871,0.82426,0.09996,0.21228,0.1485,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,44391,0.29226,0.42971,0.24332,0.90921,0.91472,0.94176,0.82565,0.09842,0.21143,0.14869,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
