epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,657.673,0.66612,1.45053,0.01035,0.69438,0.66873,0.71351,0.56975,0.52039,0.52747,0.01231,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959
2,1224.5,0.73224,0.79786,0.01149,0.65587,0.65407,0.66864,0.51007,0.60205,0.60177,0.01386,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696
3,1729.15,0.84974,0.84003,0.0134,0.60707,0.42536,0.4721,0.33269,0.9325,1.03511,0.02251,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833
4,2234.39,0.92512,0.89664,0.01453,0.70442,0.6445,0.69852,0.53038,0.67546,0.56102,0.01651,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2739.62,0.85938,0.79563,0.0133,0.74169,0.71006,0.74532,0.56883,0.56654,0.47607,0.01308,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3245.55,0.81931,0.74687,0.0126,0.76191,0.71781,0.76181,0.60607,0.57561,0.471,0.01316,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3750.4,0.78014,0.70212,0.01194,0.77749,0.72033,0.77488,0.62398,0.51658,0.41519,0.01163,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4254.53,0.75042,0.68433,0.01142,0.84774,0.77618,0.8519,0.67526,0.46855,0.35772,0.01059,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4758.07,0.73177,0.66391,0.0111,0.84834,0.78787,0.85292,0.69757,0.4382,0.32645,0.00984,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5261.82,0.71265,0.63661,0.01082,0.81141,0.79749,0.8466,0.70097,0.4319,0.32821,0.00981,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5765.61,0.69968,0.6273,0.01061,0.86353,0.80011,0.86856,0.71875,0.40413,0.31539,0.00908,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6272.04,0.69004,0.60675,0.01039,0.8514,0.83007,0.88627,0.74128,0.39517,0.29532,0.00879,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6778,0.6795,0.60269,0.01025,0.832,0.8484,0.88483,0.74416,0.38248,0.29568,0.00851,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7287.5,0.6734,0.57956,0.01019,0.86522,0.84036,0.89796,0.75324,0.38084,0.28582,0.0085,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7797.47,0.66054,0.58586,0.00996,0.89185,0.82946,0.89749,0.76821,0.37179,0.2807,0.00824,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8308.58,0.65631,0.57485,0.00991,0.88062,0.84208,0.90005,0.77353,0.35836,0.27002,0.00793,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8823.96,0.64616,0.56476,0.00973,0.90333,0.84106,0.91198,0.7865,0.34932,0.26525,0.00767,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9339.82,0.64465,0.55555,0.00974,0.87325,0.84863,0.90817,0.77545,0.34861,0.25567,0.00767,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9858.2,0.64092,0.55581,0.0096,0.88544,0.8481,0.90992,0.78186,0.33781,0.26015,0.00742,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
