image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (636).JPG,4r-101 (636).JPG,4R,1,Small_Mammal,0.7834,2145.8,16.6,4608.0,2528.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (636).JPG,4r-101 (636).JPG,4R,1,Small_Mammal,0.3368,3188.9,535.1,4608.0,2564.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (525).JPG,4r-103 (525).JPG,4R,1,Small_Mammal,0.6855,2771.5,160.3,4608.0,2534.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (177).JPG,4r-103 (177).JPG,4R,1,Small_Mammal,0.5358,2880.1,217.7,4608.0,2525.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (177).JPG,4r-103 (177).JPG,4R,1,Small_Mammal,0.3049,2529.2,215.0,4327.3,2524.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (426).JPG,4r-103 (426).JPG,4R,1,Small_Mammal,0.7355,2729.9,164.1,4608.0,2529.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (509).JPG,4r-104 (509).JPG,4R,1,Small_Mammal,0.5338,2892.7,446.6,4608.0,2525.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (62).JPG,4r-104 (62).JPG,4R,1,Small_Mammal,0.3641,3008.7,325.6,4608.0,2537.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (62).JPG,4r-104 (62).JPG,4R,1,Small_Mammal,0.2562,3434.8,155.8,4608.0,2530.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (276).JPG,4r-104 (276).JPG,4R,1,Small_Mammal,0.4135,2971.7,432.0,4608.0,2509.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (276).JPG,4r-104 (276).JPG,4R,1,Small_Mammal,0.3317,3396.0,348.7,4608.0,2534.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (476).JPG,4r-103 (476).JPG,4R,1,Small_Mammal,0.7252,2711.7,199.8,4608.0,2523.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (293).JPG,4r-103 (293).JPG,4R,1,Small_Mammal,0.4078,2835.7,189.1,4608.0,2540.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (194).JPG,4r-103 (194).JPG,4R,1,Small_Mammal,0.5734,2852.5,218.3,4608.0,2518.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (20).JPG,4r-101 (20).JPG,4R,1,Small_Mammal,0.3061,0.0,14.1,917.4,2498.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-100 (655).JPG,4r-100 (655).JPG,4R,1,Small_Mammal,0.2660,2829.1,187.8,4608.0,2489.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (480).JPG,4r-104 (480).JPG,4R,1,Small_Mammal,0.4949,2880.5,369.0,4608.0,2531.3
