image_path,evaluation
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0589.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (818).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (830).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0812.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (822).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0822.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0817.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (815).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-100 (589).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (828).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (824).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (816).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0823.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0820.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (820).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (821).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0816.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (812).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (831).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0824.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0813.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0830.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (825).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0825.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (814).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0828.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (817).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0814.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0815.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0831.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0818.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0819.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0829.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/DSCF0821.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (819).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (829).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (823).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4Z/4z-101 (813).JPG,Correct
