image_path,evaluation
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (549).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (545).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (538).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (541).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (547).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (241).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (543).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (537).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (546).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (536).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (540).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (550).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (898).JPG,Incorrect
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (454).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (674).JPG,Incorrect
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (544).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (542).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (539).JPG,Correct
