image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/105MEDIA/DSCF0591.JPG,DSCF0591.JPG,5Z/105MEDIA,0,Other_Amphibian,0.2636,1275.3,1874.8,1579.9,2226.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/104MEDIA/DSCF0256.JPG,DSCF0256.JPG,5Z/104MEDIA,2,Western_Leopard_Toad,0.9082,2245.6,2456.3,2791.6,2855.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/104MEDIA/DSCF0992.JPG,DSCF0992.JPG,5Z/104MEDIA,2,Western_Leopard_Toad,0.2738,1.1,2684.1,145.7,2861.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/102MEDIA/DSCF0925.JPG,DSCF0925.JPG,5Z/102MEDIA,2,Western_Leopard_Toad,0.6499,3217.8,630.0,3949.1,1229.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/101MEDIA/DSCF0539.JPG,DSCF0539.JPG,5Z/101MEDIA,0,Other_Amphibian,0.5345,3927.0,2373.8,4167.1,2540.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0089.JPG,DSCF0089.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.8537,3027.2,1893.1,3637.4,2454.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0089.JPG,DSCF0089.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.3308,1942.7,1989.0,2469.6,2574.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0118.JPG,DSCF0118.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.9135,2488.7,2367.5,2982.3,2854.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0117.JPG,DSCF0117.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.8716,2587.2,1838.4,3100.7,2441.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0096.JPG,DSCF0096.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.8126,810.2,2375.5,1704.6,2858.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0106.JPG,DSCF0106.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.8037,2176.8,2313.6,3173.4,2855.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0097.JPG,DSCF0097.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.8772,779.2,2378.9,1642.3,2857.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0095.JPG,DSCF0095.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.7612,2169.1,1611.6,2798.7,2422.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0095.JPG,DSCF0095.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.7598,2866.9,1577.9,3576.1,2407.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0110.JPG,DSCF0110.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.9018,1721.1,1808.4,2777.3,2863.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0113.JPG,DSCF0113.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.9234,1545.2,2212.7,2326.2,2859.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0091.JPG,DSCF0091.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.7801,2629.2,1170.7,3701.9,2461.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0091.JPG,DSCF0091.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.4449,2650.3,1166.5,3713.7,2048.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0086.JPG,DSCF0086.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.8480,2366.2,2135.0,2714.4,2669.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0086.JPG,DSCF0086.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.6406,1747.3,2169.1,2133.6,2712.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0114.JPG,DSCF0114.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.9303,2302.6,1847.1,2944.0,2616.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/5Z/100MEDIA/DSCF0088.JPG,DSCF0088.JPG,5Z/100MEDIA,2,Western_Leopard_Toad,0.7810,2786.0,2071.4,3267.3,2699.9
