image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (916).JPG,4r-101 (916).JPG,4R,1,Small_Mammal,0.2359,111.3,466.9,1213.1,2445.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (653).JPG,4r-101 (653).JPG,4R,1,Small_Mammal,0.2949,123.7,443.6,1205.3,2452.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (645).JPG,4r-101 (645).JPG,4R,1,Small_Mammal,0.3274,136.4,451.6,1196.0,2450.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (549).JPG,4r-103 (549).JPG,4R,0,Other_Amphibian,0.8963,2652.9,1268.2,3008.6,1620.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (899).JPG,4r-101 (899).JPG,4R,1,Small_Mammal,0.3630,152.0,472.9,1186.4,2446.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (936).JPG,4r-101 (936).JPG,4R,1,Small_Mammal,0.5373,134.6,449.6,1203.2,2449.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (923).JPG,4r-101 (923).JPG,4R,1,Small_Mammal,0.2939,129.0,468.2,1207.2,2447.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (893).JPG,4r-101 (893).JPG,4R,1,Small_Mammal,0.3687,148.9,459.6,1194.1,2444.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (921).JPG,4r-101 (921).JPG,4R,1,Small_Mammal,0.4448,107.6,472.3,1204.7,2443.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (49).JPG,4r-102 (49).JPG,4R,0,Other_Amphibian,0.5465,2553.7,1547.6,2695.3,1748.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (545).JPG,4r-103 (545).JPG,4R,0,Other_Amphibian,0.8999,2398.6,1519.4,2743.2,1840.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (892).JPG,4r-101 (892).JPG,4R,1,Small_Mammal,0.3455,159.8,481.2,1204.3,2442.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (934).JPG,4r-101 (934).JPG,4R,1,Small_Mammal,0.5544,128.9,456.6,1207.9,2449.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (896).JPG,4r-102 (896).JPG,4R,0,Other_Amphibian,0.2856,2106.5,1435.0,2292.7,1612.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (642).JPG,4r-101 (642).JPG,4R,1,Small_Mammal,0.2297,106.4,451.1,1188.9,2449.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (56).JPG,4r-102 (56).JPG,4R,0,Other_Amphibian,0.4533,2559.5,1624.3,2687.9,1771.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (919).JPG,4r-101 (919).JPG,4R,1,Small_Mammal,0.3345,121.4,467.7,1215.6,2447.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (922).JPG,4r-101 (922).JPG,4R,1,Small_Mammal,0.4094,94.5,459.5,1216.6,2443.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (930).JPG,4r-101 (930).JPG,4R,1,Small_Mammal,0.3051,123.3,457.0,1198.3,2448.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (538).JPG,4r-103 (538).JPG,4R,0,Other_Amphibian,0.9104,2063.7,2033.8,2342.1,2438.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (541).JPG,4r-103 (541).JPG,4R,0,Other_Amphibian,0.9075,2178.8,1781.1,2467.1,2110.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (547).JPG,4r-103 (547).JPG,4R,0,Other_Amphibian,0.8977,2533.5,1387.3,2883.1,1720.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (424).JPG,4r-104 (424).JPG,4R,0,Other_Amphibian,0.4128,2487.0,1290.6,2661.4,1524.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (649).JPG,4r-101 (649).JPG,4R,1,Small_Mammal,0.3526,156.8,448.4,1211.2,2456.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (556).JPG,4r-103 (556).JPG,4R,0,Other_Amphibian,0.8572,3110.9,1251.7,3461.8,1504.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (651).JPG,4r-101 (651).JPG,4R,1,Small_Mammal,0.2003,143.9,448.9,1196.3,2455.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (887).JPG,4r-101 (887).JPG,4R,1,Small_Mammal,0.3044,151.6,464.9,1196.4,2443.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (57).JPG,4r-102 (57).JPG,4R,0,Other_Amphibian,0.2074,2562.5,1622.4,2689.8,1769.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (927).JPG,4r-101 (927).JPG,4R,1,Small_Mammal,0.2767,103.3,463.4,1208.2,2448.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (937).JPG,4r-101 (937).JPG,4R,1,Small_Mammal,0.5612,162.4,458.4,1208.9,2450.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (14).JPG,4r-102 (14).JPG,4R,0,Other_Amphibian,0.6279,2481.0,1539.2,2681.0,1776.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-100 (745).JPG,4r-100 (745).JPG,4R,0,Other_Amphibian,0.2042,2037.1,794.8,2198.6,1055.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (928).JPG,4r-101 (928).JPG,4R,1,Small_Mammal,0.5943,147.7,453.9,1209.4,2446.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-104 (423).JPG,4r-104 (423).JPG,4R,0,Other_Amphibian,0.8009,2556.5,1508.2,2772.3,1750.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (552).JPG,4r-103 (552).JPG,4R,0,Other_Amphibian,0.8928,2861.2,1236.4,3265.2,1498.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (55).JPG,4r-102 (55).JPG,4R,0,Other_Amphibian,0.4974,2556.4,1618.0,2688.1,1765.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (894).JPG,4r-101 (894).JPG,4R,1,Small_Mammal,0.2794,138.8,466.5,1199.0,2443.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (898).JPG,4r-101 (898).JPG,4R,1,Small_Mammal,0.5600,138.7,443.9,1190.6,2443.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (933).JPG,4r-101 (933).JPG,4R,1,Small_Mammal,0.3443,170.2,455.8,1191.9,2450.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (551).JPG,4r-103 (551).JPG,4R,0,Other_Amphibian,0.8711,2751.7,1271.7,3100.7,1531.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (543).JPG,4r-103 (543).JPG,4R,0,Other_Amphibian,0.8957,2305.7,1614.1,2608.3,1938.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (537).JPG,4r-103 (537).JPG,4R,0,Other_Amphibian,0.9099,2023.6,2138.8,2298.0,2449.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (668).JPG,4r-101 (668).JPG,4R,1,Small_Mammal,0.2407,132.1,442.8,1192.7,2453.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (925).JPG,4r-101 (925).JPG,4R,1,Small_Mammal,0.4972,140.3,460.8,1204.1,2446.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (546).JPG,4r-103 (546).JPG,4R,0,Other_Amphibian,0.9107,2472.0,1446.6,2815.9,1762.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (77).JPG,4r-102 (77).JPG,4R,0,Other_Amphibian,0.8529,2510.5,1613.8,2679.3,1810.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (906).JPG,4r-101 (906).JPG,4R,1,Small_Mammal,0.2395,79.8,475.8,1200.4,2438.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (536).JPG,4r-103 (536).JPG,4R,0,Other_Amphibian,0.7772,1982.1,2233.4,2251.8,2451.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (540).JPG,4r-103 (540).JPG,4R,0,Other_Amphibian,0.9090,2183.8,1806.0,2479.3,2199.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (34).JPG,4r-102 (34).JPG,4R,0,Other_Amphibian,0.2060,2442.3,1516.9,2558.9,1673.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (897).JPG,4r-102 (897).JPG,4R,0,Other_Amphibian,0.2159,2316.1,1546.7,2501.0,1696.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (550).JPG,4r-103 (550).JPG,4R,0,Other_Amphibian,0.9037,2728.5,1235.8,3061.5,1536.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (898).JPG,4r-102 (898).JPG,4R,0,Other_Amphibian,0.6598,2405.0,1588.0,2604.5,1758.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (584).JPG,4r-103 (584).JPG,4R,0,Other_Amphibian,0.2242,3589.8,78.9,3759.0,289.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (879).JPG,4r-101 (879).JPG,4R,1,Small_Mammal,0.3249,157.1,473.5,1188.8,2444.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (29).JPG,4r-102 (29).JPG,4R,0,Other_Amphibian,0.6646,2590.4,1545.0,2737.1,1739.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (660).JPG,4r-101 (660).JPG,4R,1,Small_Mammal,0.2498,148.0,447.7,1197.1,2455.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (654).JPG,4r-101 (654).JPG,4R,1,Small_Mammal,0.2023,120.9,448.1,1202.4,2458.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (50).JPG,4r-102 (50).JPG,4R,0,Other_Amphibian,0.7287,2556.7,1550.2,2701.1,1750.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (555).JPG,4r-103 (555).JPG,4R,0,Other_Amphibian,0.8840,2985.0,1262.9,3399.6,1497.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (935).JPG,4r-101 (935).JPG,4R,1,Small_Mammal,0.2967,161.1,463.5,1211.5,2450.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (553).JPG,4r-103 (553).JPG,4R,0,Other_Amphibian,0.9015,2899.9,1234.8,3283.3,1494.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (544).JPG,4r-103 (544).JPG,4R,0,Other_Amphibian,0.9063,2369.8,1548.6,2707.8,1881.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (566).JPG,4r-103 (566).JPG,4R,0,Other_Amphibian,0.2468,3590.1,83.1,3756.8,293.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (557).JPG,4r-103 (557).JPG,4R,0,Other_Amphibian,0.3523,3200.7,1299.3,3535.8,1507.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (890).JPG,4r-101 (890).JPG,4R,1,Small_Mammal,0.2228,152.9,451.1,1194.5,2448.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-102 (48).JPG,4r-102 (48).JPG,4R,0,Other_Amphibian,0.3658,2569.7,1540.6,2746.0,1739.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (911).JPG,4r-101 (911).JPG,4R,1,Small_Mammal,0.5115,111.9,459.4,1206.2,2442.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (902).JPG,4r-101 (902).JPG,4R,1,Small_Mammal,0.4198,123.8,463.6,1197.8,2441.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (908).JPG,4r-101 (908).JPG,4R,1,Small_Mammal,0.4089,90.9,473.7,1217.6,2441.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-100 (530).JPG,4r-100 (530).JPG,4R,0,Other_Amphibian,0.4330,2477.9,1560.2,2632.6,1733.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (554).JPG,4r-103 (554).JPG,4R,0,Other_Amphibian,0.8673,2983.3,1277.7,3327.3,1487.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (542).JPG,4r-103 (542).JPG,4R,0,Other_Amphibian,0.9077,2243.7,1658.7,2561.5,2047.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-103 (539).JPG,4r-103 (539).JPG,4R,0,Other_Amphibian,0.9117,2126.9,1940.1,2421.0,2318.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (657).JPG,4r-101 (657).JPG,4R,1,Small_Mammal,0.3305,122.3,445.7,1196.5,2449.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (882).JPG,4r-101 (882).JPG,4R,1,Small_Mammal,0.4196,150.6,440.8,1185.6,2448.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/4R/4r-101 (903).JPG,4r-101 (903).JPG,4R,1,Small_Mammal,0.2496,80.2,452.1,1195.8,2442.7
