image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (860).JPG,5r-102 (860).JPG,5R,0,Other_Amphibian,0.4012,1959.4,1770.5,2122.1,1938.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (860).JPG,5r-102 (860).JPG,5R,0,Other_Amphibian,0.3270,1960.6,1771.4,2124.9,1941.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (810).JPG,5r-102 (810).JPG,5R,2,Western_Leopard_Toad,0.2881,4210.0,2024.1,4604.8,2454.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (151).JPG,5r-102 (151).JPG,5R,0,Other_Amphibian,0.4589,3032.9,1725.3,3168.3,1875.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (887).JPG,5r-102 (887).JPG,5R,0,Other_Amphibian,0.2290,1974.9,1772.6,2116.6,1938.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-104 (373).JPG,5r-104 (373).JPG,5R,2,Western_Leopard_Toad,0.2920,4467.2,1292.5,4606.8,1798.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-101 (512).JPG,5r-101 (512).JPG,5R,2,Western_Leopard_Toad,0.2055,4485.2,1361.7,4608.3,1688.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (832).JPG,5r-102 (832).JPG,5R,0,Other_Amphibian,0.4772,1952.2,1762.9,2136.4,1942.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (832).JPG,5r-102 (832).JPG,5R,0,Other_Amphibian,0.4039,1953.0,1764.9,2134.9,1944.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-103 (6).JPG,5r-103 (6).JPG,5R,0,Other_Amphibian,0.2916,2007.7,1768.7,2131.7,1914.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (115).JPG,5r-102 (115).JPG,5R,2,Western_Leopard_Toad,0.3106,153.0,1842.8,601.3,2448.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (115).JPG,5r-102 (115).JPG,5R,1,Small_Mammal,0.2231,4264.2,4.8,4607.2,521.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (116).JPG,5r-102 (116).JPG,5R,2,Western_Leopard_Toad,0.4185,4185.4,1326.8,4596.4,1859.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-104 (363).JPG,5r-104 (363).JPG,5R,2,Western_Leopard_Toad,0.2927,4124.4,1174.1,4602.5,1942.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-104 (363).JPG,5r-104 (363).JPG,5R,2,Western_Leopard_Toad,0.2227,4124.8,1061.4,4600.4,1952.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (768).JPG,5r-102 (768).JPG,5R,0,Other_Amphibian,0.2029,2050.9,1699.1,2138.9,1849.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-101 (660).JPG,5r-101 (660).JPG,5R,2,Western_Leopard_Toad,0.6880,423.9,1908.3,1323.6,2390.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (179).JPG,5r-102 (179).JPG,5R,0,Other_Amphibian,0.4833,3030.7,1725.0,3165.2,1875.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (179).JPG,5r-102 (179).JPG,5R,0,Other_Amphibian,0.3643,3031.9,1728.4,3168.5,1878.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-101 (379).JPG,5r-101 (379).JPG,5R,2,Western_Leopard_Toad,0.2193,4488.6,1361.9,4607.8,1683.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (858).JPG,5r-102 (858).JPG,5R,0,Other_Amphibian,0.4123,1959.7,1772.0,2127.3,1941.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (858).JPG,5r-102 (858).JPG,5R,0,Other_Amphibian,0.3770,1960.6,1771.8,2129.0,1942.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-104 (385).JPG,5r-104 (385).JPG,5R,2,Western_Leopard_Toad,0.3154,4470.8,1260.3,4606.2,1777.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (876).JPG,5r-102 (876).JPG,5R,0,Other_Amphibian,0.6103,1959.4,1773.7,2126.7,1942.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-102 (876).JPG,5r-102 (876).JPG,5R,0,Other_Amphibian,0.5118,1962.3,1774.1,2127.3,1944.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-104 (384).JPG,5r-104 (384).JPG,5R,2,Western_Leopard_Toad,0.2441,4478.4,1250.8,4606.2,1726.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/5R/5r-101 (653).JPG,5r-101 (653).JPG,5R,2,Western_Leopard_Toad,0.8240,432.3,1973.8,1025.1,2382.8
