image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (783).JPG,5z-104 (783).JPG,5Z,0,Other_Amphibian,0.2947,3536.0,2047.4,3698.6,2216.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-106 (738).JPG,5z-106 (738).JPG,5Z,0,Other_Amphibian,0.3560,3548.9,1877.3,3734.3,2084.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (926).JPG,5z-104 (926).JPG,5Z,0,Other_Amphibian,0.3618,3537.5,2045.5,3699.8,2214.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (710).JPG,5z-104 (710).JPG,5Z,0,Other_Amphibian,0.2976,3539.7,2048.8,3694.2,2218.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-101 (25).JPG,5z-101 (25).JPG,5Z,1,Small_Mammal,0.2027,9.0,2051.2,811.5,2865.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-106 (781).JPG,5z-106 (781).JPG,5Z,0,Other_Amphibian,0.3175,3566.8,1944.8,3742.5,2140.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (832).JPG,5z-104 (832).JPG,5Z,0,Other_Amphibian,0.3318,3538.4,2047.5,3702.5,2214.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-107 (270).JPG,5z-107 (270).JPG,5Z,1,Small_Mammal,0.2054,19.2,3.2,682.1,1320.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (760).JPG,5z-104 (760).JPG,5Z,0,Other_Amphibian,0.3470,3538.3,2048.7,3701.5,2215.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-106 (724).JPG,5z-106 (724).JPG,5Z,0,Other_Amphibian,0.2371,3549.9,1874.0,3733.6,2083.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (874).JPG,5z-104 (874).JPG,5Z,0,Other_Amphibian,0.3119,3534.0,2045.2,3700.6,2213.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (724).JPG,5z-104 (724).JPG,5Z,0,Other_Amphibian,0.2335,3537.4,2050.4,3699.8,2219.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (880).JPG,5z-104 (880).JPG,5Z,0,Other_Amphibian,0.3159,3534.1,2045.5,3697.3,2212.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-105 (493).JPG,5z-105 (493).JPG,5Z,0,Other_Amphibian,0.3612,3455.5,1931.2,3745.8,2194.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-106 (876).JPG,5z-106 (876).JPG,5Z,2,Western_Leopard_Toad,0.2422,5273.6,2463.0,5376.7,2854.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-105 (425).JPG,5z-105 (425).JPG,5Z,1,Small_Mammal,0.2223,13.4,-0.1,655.5,1427.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-107 (549).JPG,5z-107 (549).JPG,5Z,0,Other_Amphibian,0.2806,2836.9,2593.5,3012.7,2721.4
