image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0589.JPG,DSCF0589.JPG,5R/100MEDIA,0,Other_Amphibian,0.3091,3046.9,1432.1,3127.0,1533.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0173.JPG,DSCF0173.JPG,5R/100MEDIA,0,Other_Amphibian,0.4556,3084.3,1438.6,3171.9,1553.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0173.JPG,DSCF0173.JPG,5R/100MEDIA,0,Other_Amphibian,0.2280,3079.6,1448.7,3181.3,1579.6
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0784.JPG,DSCF0784.JPG,5R/100MEDIA,2,Western_Leopard_Toad,0.2313,4151.3,1688.1,4596.5,2151.5
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0562.JPG,DSCF0562.JPG,5R/100MEDIA,0,Other_Amphibian,0.2576,3900.3,1588.4,4007.4,1707.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0594.JPG,DSCF0594.JPG,5R/100MEDIA,0,Other_Amphibian,0.2890,3048.2,1430.9,3125.0,1529.9
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0623.JPG,DSCF0623.JPG,5R/100MEDIA,0,Other_Amphibian,0.2138,3040.7,1432.5,3122.0,1533.9
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0777.JPG,DSCF0777.JPG,5R/100MEDIA,0,Other_Amphibian,0.2015,2693.6,1487.4,2779.6,1600.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0167.JPG,DSCF0167.JPG,5R/100MEDIA,0,Other_Amphibian,0.5440,3087.9,1436.6,3176.3,1555.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0167.JPG,DSCF0167.JPG,5R/100MEDIA,0,Other_Amphibian,0.3238,3087.4,1443.7,3181.3,1572.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0164.JPG,DSCF0164.JPG,5R/100MEDIA,0,Other_Amphibian,0.5775,3081.7,1435.8,3176.1,1556.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0164.JPG,DSCF0164.JPG,5R/100MEDIA,0,Other_Amphibian,0.3662,3079.7,1445.8,3183.1,1572.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0344.JPG,DSCF0344.JPG,5R/100MEDIA,0,Other_Amphibian,0.2097,3082.5,1434.8,3172.2,1557.6
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0077.JPG,DSCF0077.JPG,5R/100MEDIA,0,Other_Amphibian,0.2244,3099.8,1453.4,3183.0,1567.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0592.JPG,DSCF0592.JPG,5R/100MEDIA,0,Other_Amphibian,0.3801,3044.1,1426.1,3122.5,1525.5
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0146.JPG,DSCF0146.JPG,5R/100MEDIA,0,Other_Amphibian,0.3379,3086.5,1429.9,3184.1,1567.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0146.JPG,DSCF0146.JPG,5R/100MEDIA,0,Other_Amphibian,0.2861,3093.2,1431.8,3183.9,1562.9
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0146.JPG,DSCF0146.JPG,5R/100MEDIA,0,Other_Amphibian,0.2433,3094.6,1433.7,3187.0,1563.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0559.JPG,DSCF0559.JPG,5R/100MEDIA,0,Other_Amphibian,0.3097,3894.3,1589.7,4004.2,1710.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0305.JPG,DSCF0305.JPG,5R/100MEDIA,0,Other_Amphibian,0.2077,3085.0,1432.5,3171.4,1557.6
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0709.JPG,DSCF0709.JPG,5R/100MEDIA,0,Other_Amphibian,0.3718,3372.4,1303.5,3475.8,1399.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0168.JPG,DSCF0168.JPG,5R/100MEDIA,0,Other_Amphibian,0.4000,3093.5,1437.8,3174.0,1552.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0581.JPG,DSCF0581.JPG,5R/100MEDIA,0,Other_Amphibian,0.2663,3039.4,1429.0,3129.4,1531.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0581.JPG,DSCF0581.JPG,5R/100MEDIA,0,Other_Amphibian,0.2224,3028.7,1422.6,3140.7,1533.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0026.JPG,DSCF0026.JPG,5R/100MEDIA,2,Western_Leopard_Toad,0.2688,4023.7,2043.5,4600.0,2454.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0026.JPG,DSCF0026.JPG,5R/100MEDIA,2,Western_Leopard_Toad,0.2190,4255.9,1542.1,4599.6,2452.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0026.JPG,DSCF0026.JPG,5R/100MEDIA,2,Western_Leopard_Toad,0.2151,4276.5,2045.5,4602.2,2451.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0568.JPG,DSCF0568.JPG,5R/100MEDIA,0,Other_Amphibian,0.3370,3891.6,1589.9,4007.4,1709.9
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0184.JPG,DSCF0184.JPG,5R/100MEDIA,0,Other_Amphibian,0.2971,3077.0,1442.8,3176.3,1561.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0580.JPG,DSCF0580.JPG,5R/100MEDIA,0,Other_Amphibian,0.3408,3039.6,1422.7,3126.4,1528.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0580.JPG,DSCF0580.JPG,5R/100MEDIA,0,Other_Amphibian,0.2214,3029.4,1419.9,3132.8,1536.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0143.JPG,DSCF0143.JPG,5R/100MEDIA,0,Other_Amphibian,0.2176,3084.8,1434.3,3177.7,1555.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0157.JPG,DSCF0157.JPG,5R/100MEDIA,0,Other_Amphibian,0.4284,3085.5,1434.4,3175.3,1556.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0157.JPG,DSCF0157.JPG,5R/100MEDIA,0,Other_Amphibian,0.2679,3079.3,1439.1,3178.3,1576.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0896.JPG,DSCF0896.JPG,5R/100MEDIA,0,Other_Amphibian,0.2863,3325.3,1311.8,3411.9,1427.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0564.JPG,DSCF0564.JPG,5R/100MEDIA,0,Other_Amphibian,0.2147,3895.7,1588.3,4003.2,1708.9
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0155.JPG,DSCF0155.JPG,5R/100MEDIA,0,Other_Amphibian,0.3733,3089.5,1436.5,3174.3,1555.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0451.JPG,DSCF0451.JPG,5R/100MEDIA,0,Other_Amphibian,0.8541,2332.8,1408.8,2511.7,1625.5
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0165.JPG,DSCF0165.JPG,5R/100MEDIA,0,Other_Amphibian,0.5185,3087.7,1435.8,3175.7,1552.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0165.JPG,DSCF0165.JPG,5R/100MEDIA,0,Other_Amphibian,0.2670,3084.3,1445.7,3179.7,1574.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0615.JPG,DSCF0615.JPG,5R/100MEDIA,0,Other_Amphibian,0.3340,3036.8,1430.4,3130.4,1533.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0615.JPG,DSCF0615.JPG,5R/100MEDIA,0,Other_Amphibian,0.2355,3026.1,1428.8,3134.6,1541.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0615.JPG,DSCF0615.JPG,5R/100MEDIA,0,Other_Amphibian,0.2111,3147.1,2105.6,3233.2,2228.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0174.JPG,DSCF0174.JPG,5R/100MEDIA,0,Other_Amphibian,0.5523,3078.2,1440.3,3171.6,1554.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0174.JPG,DSCF0174.JPG,5R/100MEDIA,0,Other_Amphibian,0.3982,3077.0,1447.1,3178.9,1568.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0152.JPG,DSCF0152.JPG,5R/100MEDIA,0,Other_Amphibian,0.2503,3083.2,1437.4,3170.6,1556.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0171.JPG,DSCF0171.JPG,5R/100MEDIA,0,Other_Amphibian,0.5000,3080.0,1438.4,3171.1,1553.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0171.JPG,DSCF0171.JPG,5R/100MEDIA,0,Other_Amphibian,0.3434,3073.9,1446.9,3175.9,1572.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0145.JPG,DSCF0145.JPG,5R/100MEDIA,0,Other_Amphibian,0.2164,3076.5,1430.5,3167.6,1554.6
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0307.JPG,DSCF0307.JPG,5R/100MEDIA,0,Other_Amphibian,0.2243,3081.6,1433.8,3172.7,1558.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0148.JPG,DSCF0148.JPG,5R/100MEDIA,0,Other_Amphibian,0.3371,3080.0,1433.6,3170.3,1560.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0148.JPG,DSCF0148.JPG,5R/100MEDIA,0,Other_Amphibian,0.2716,3070.7,1440.4,3174.3,1573.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0178.JPG,DSCF0178.JPG,5R/100MEDIA,0,Other_Amphibian,0.5185,3089.9,1440.2,3178.7,1554.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0178.JPG,DSCF0178.JPG,5R/100MEDIA,0,Other_Amphibian,0.3513,3083.0,1446.2,3185.3,1572.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0472.JPG,DSCF0472.JPG,5R/100MEDIA,0,Other_Amphibian,0.2026,3055.8,1429.2,3163.1,1567.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0448.JPG,DSCF0448.JPG,5R/100MEDIA,0,Other_Amphibian,0.8070,2336.5,1404.0,2528.6,1637.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0449.JPG,DSCF0449.JPG,5R/100MEDIA,0,Other_Amphibian,0.8605,2328.3,1409.4,2515.3,1631.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0494.JPG,DSCF0494.JPG,5R/100MEDIA,0,Other_Amphibian,0.2070,3894.3,1589.5,3998.1,1708.7
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0158.JPG,DSCF0158.JPG,5R/100MEDIA,0,Other_Amphibian,0.3021,3090.7,1435.4,3175.1,1556.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0158.JPG,DSCF0158.JPG,5R/100MEDIA,0,Other_Amphibian,0.2067,3091.6,1435.6,3176.0,1554.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0567.JPG,DSCF0567.JPG,5R/100MEDIA,0,Other_Amphibian,0.2218,3888.8,1591.8,4002.3,1710.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0154.JPG,DSCF0154.JPG,5R/100MEDIA,0,Other_Amphibian,0.3759,3079.1,1434.1,3171.9,1556.5
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0154.JPG,DSCF0154.JPG,5R/100MEDIA,0,Other_Amphibian,0.2166,3057.2,1436.6,3164.9,1574.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0186.JPG,DSCF0186.JPG,5R/100MEDIA,0,Other_Amphibian,0.2292,3077.9,1443.1,3169.8,1560.0
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0621.JPG,DSCF0621.JPG,5R/100MEDIA,0,Other_Amphibian,0.2133,3034.3,1431.2,3123.4,1535.9
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0169.JPG,DSCF0169.JPG,5R/100MEDIA,0,Other_Amphibian,0.4525,3087.8,1438.4,3173.9,1554.3
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0169.JPG,DSCF0169.JPG,5R/100MEDIA,0,Other_Amphibian,0.2415,3084.9,1445.7,3179.6,1576.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0706.JPG,DSCF0706.JPG,5R/100MEDIA,0,Other_Amphibian,0.2353,3361.3,1301.3,3464.9,1407.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0144.JPG,DSCF0144.JPG,5R/100MEDIA,0,Other_Amphibian,0.2357,3084.5,1432.0,3169.4,1558.8
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0904.JPG,DSCF0904.JPG,5R/100MEDIA,0,Other_Amphibian,0.2190,3326.1,1305.6,3417.9,1432.2
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0613.JPG,DSCF0613.JPG,5R/100MEDIA,0,Other_Amphibian,0.4786,3035.3,1423.9,3132.3,1531.5
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0613.JPG,DSCF0613.JPG,5R/100MEDIA,0,Other_Amphibian,0.4062,3029.3,1426.5,3139.4,1537.1
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0182.JPG,DSCF0182.JPG,5R/100MEDIA,0,Other_Amphibian,0.2671,3073.4,1442.8,3178.9,1566.4
/srv/shared_leopard_toad/2025/Documents/04.08.2025/5R/100MEDIA/DSCF0180.JPG,DSCF0180.JPG,5R/100MEDIA,0,Other_Amphibian,0.3730,3078.9,1440.7,3179.2,1559.9
