image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (186).JPG,6r-103 (186).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.2856,-10.2,2208.6,74.6,2441.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (189).JPG,6r-103 (189).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.3320,-9.4,2214.5,73.8,2437.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (182).JPG,6r-103 (182).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.4224,-9.0,2221.3,77.5,2438.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (185).JPG,6r-103 (185).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.5068,-7.2,2211.9,78.9,2440.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (326).JPG,6r-103 (326).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.9644,1751.2,1416.2,2026.5,1750.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (181).JPG,6r-103 (181).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.2673,-9.7,2216.3,69.7,2441.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (134).JPG,6r-103 (134).JPG,6R/103MEDIA,0,Other_Amphibian,0.2153,2781.1,2253.5,2861.9,2340.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (184).JPG,6r-103 (184).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.3115,-10.0,2213.6,74.1,2438.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (190).JPG,6r-103 (190).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.2668,-9.3,2218.2,70.8,2441.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (193).JPG,6r-103 (193).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.2520,-9.8,2213.6,71.5,2438.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (178).JPG,6r-103 (178).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.4248,-9.3,2214.6,75.2,2440.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (179).JPG,6r-103 (179).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.4629,-7.1,2210.7,73.2,2439.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (997).JPG,6r-103 (997).JPG,6R/103MEDIA,0,Other_Amphibian,0.4739,3190.5,1617.8,3330.0,1728.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (997).JPG,6r-103 (997).JPG,6R/103MEDIA,0,Other_Amphibian,0.2551,3188.5,1617.4,3327.5,1728.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (178).JPG,6r-105 (178).JPG,6R/105MEDIA,0,Other_Amphibian,0.6538,2682.8,599.3,2861.2,781.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (107).JPG,6r-105 (107).JPG,6R/105MEDIA,0,Other_Amphibian,0.5718,2706.0,606.5,2856.0,787.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (242).JPG,6r-105 (242).JPG,6R/105MEDIA,0,Other_Amphibian,0.4536,2693.0,594.8,2860.0,781.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (240).JPG,6r-105 (240).JPG,6R/105MEDIA,0,Other_Amphibian,0.4578,2702.6,597.8,2859.4,783.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (148).JPG,6r-105 (148).JPG,6R/105MEDIA,0,Other_Amphibian,0.8276,2692.3,596.8,2856.2,781.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (224).JPG,6r-105 (224).JPG,6R/105MEDIA,0,Other_Amphibian,0.5234,2703.3,593.1,2858.7,781.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (224).JPG,6r-105 (224).JPG,6R/105MEDIA,0,Other_Amphibian,0.3232,2074.6,1557.3,2182.4,1649.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (341).JPG,6r-105 (341).JPG,6R/105MEDIA,0,Other_Amphibian,0.2240,-5.9,2158.4,66.0,2382.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (189).JPG,6r-105 (189).JPG,6R/105MEDIA,0,Other_Amphibian,0.5288,2697.3,601.5,2855.7,784.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (291).JPG,6r-105 (291).JPG,6R/105MEDIA,0,Other_Amphibian,0.2578,2708.7,600.5,2862.3,781.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (213).JPG,6r-105 (213).JPG,6R/105MEDIA,0,Other_Amphibian,0.5620,2692.2,601.9,2856.3,787.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (207).JPG,6r-105 (207).JPG,6R/105MEDIA,0,Other_Amphibian,0.7017,2697.3,594.1,2855.7,791.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (212).JPG,6r-105 (212).JPG,6R/105MEDIA,0,Other_Amphibian,0.8257,2698.4,597.4,2854.6,784.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (233).JPG,6r-105 (233).JPG,6R/105MEDIA,0,Other_Amphibian,0.5083,2700.2,592.7,2861.8,779.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (233).JPG,6r-105 (233).JPG,6R/105MEDIA,0,Other_Amphibian,0.4048,2074.4,1556.2,2182.6,1650.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (136).JPG,6r-105 (136).JPG,6R/105MEDIA,0,Other_Amphibian,0.7803,2695.9,597.6,2857.1,783.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (248).JPG,6r-105 (248).JPG,6R/105MEDIA,0,Other_Amphibian,0.4165,2695.4,593.0,2862.1,778.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (272).JPG,6r-105 (272).JPG,6R/105MEDIA,0,Other_Amphibian,0.2158,160.5,1532.9,223.1,1605.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (209).JPG,6r-105 (209).JPG,6R/105MEDIA,0,Other_Amphibian,0.7471,2696.9,600.1,2856.1,785.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (220).JPG,6r-105 (220).JPG,6R/105MEDIA,0,Other_Amphibian,0.7222,2688.3,597.5,2860.2,779.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (169).JPG,6r-105 (169).JPG,6R/105MEDIA,0,Other_Amphibian,0.7944,2687.0,598.3,2857.0,779.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (163).JPG,6r-105 (163).JPG,6R/105MEDIA,0,Other_Amphibian,0.7964,2690.9,599.0,2857.6,783.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (131).JPG,6r-105 (131).JPG,6R/105MEDIA,0,Other_Amphibian,0.5908,2694.2,599.1,2858.8,781.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (166).JPG,6r-105 (166).JPG,6R/105MEDIA,0,Other_Amphibian,0.7617,2684.0,602.0,2855.5,783.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (244).JPG,6r-105 (244).JPG,6R/105MEDIA,0,Other_Amphibian,0.7261,2699.4,598.0,2858.1,780.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (312).JPG,6r-105 (312).JPG,6R/105MEDIA,0,Other_Amphibian,0.2240,2703.6,601.3,2858.4,784.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (111).JPG,6r-105 (111).JPG,6R/105MEDIA,0,Other_Amphibian,0.4961,2700.0,604.9,2857.5,789.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (221).JPG,6r-105 (221).JPG,6R/105MEDIA,0,Other_Amphibian,0.4048,2696.1,605.8,2861.4,781.3
