image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (745).JPG,6z-104 (745).JPG,6Z,0,Other_Amphibian,0.6846,338.3,1.5,496.4,75.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (755).JPG,6z-104 (755).JPG,6Z,0,Other_Amphibian,0.5176,347.1,3.3,496.7,71.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (755).JPG,6z-104 (755).JPG,6Z,0,Other_Amphibian,0.2512,273.0,-2.5,474.0,46.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (786).JPG,6z-104 (786).JPG,6Z,0,Other_Amphibian,0.4470,363.5,2.7,496.5,86.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (480).JPG,6z-104 (480).JPG,6Z,0,Other_Amphibian,0.2098,290.4,1.3,456.6,92.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (458).JPG,6z-104 (458).JPG,6Z,0,Other_Amphibian,0.2123,312.7,2.5,456.2,91.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (780).JPG,6z-104 (780).JPG,6Z,0,Other_Amphibian,0.2810,362.7,2.8,494.5,83.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-100 (176).JPG,6z-100 (176).JPG,6Z,0,Other_Amphibian,0.2031,8.2,1266.5,129.6,1411.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (459).JPG,6z-104 (459).JPG,6Z,0,Other_Amphibian,0.2399,301.2,2.3,450.3,92.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (773).JPG,6z-104 (773).JPG,6Z,0,Other_Amphibian,0.7031,364.2,1.7,494.8,88.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (762).JPG,6z-104 (762).JPG,6Z,0,Other_Amphibian,0.2917,351.2,2.9,492.5,77.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-100 (129).JPG,6z-100 (129).JPG,6Z,0,Other_Amphibian,0.2023,-6.8,1259.3,82.5,1423.8
