image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0343.JPG,DSCF0343.JPG,5R/103MEDIA,2,Western_Leopard_Toad,0.3440,532.5,2145.6,962.6,2448.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0247.JPG,DSCF0247.JPG,5R/103MEDIA,0,Other_Amphibian,0.3350,3117.2,1379.8,3322.3,1541.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0072.JPG,DSCF0072.JPG,5R/103MEDIA,1,Small_Mammal,0.9150,1848.4,17.1,4663.1,2407.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0072.JPG,DSCF0072.JPG,5R/103MEDIA,1,Small_Mammal,0.8345,1789.9,-80.4,4631.6,2511.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0238.JPG,DSCF0238.JPG,5R/103MEDIA,0,Other_Amphibian,0.2527,3274.3,1209.5,3412.7,1405.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0239.JPG,DSCF0239.JPG,5R/103MEDIA,0,Other_Amphibian,0.6323,3167.7,1407.2,3321.3,1612.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/103MEDIA/DSCF0116.JPG,DSCF0116.JPG,5R/103MEDIA,0,Other_Amphibian,0.2299,991.0,1293.9,1156.6,1482.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0404.JPG,DSCF0404.JPG,5R/105MEDIA,0,Other_Amphibian,0.2678,2114.9,1620.8,2279.3,1773.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0358.JPG,DSCF0358.JPG,5R/105MEDIA,0,Other_Amphibian,0.2021,2119.1,1620.8,2281.9,1773.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0089.JPG,DSCF0089.JPG,5R/105MEDIA,0,Other_Amphibian,0.2172,2818.1,520.6,3049.9,851.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0368.JPG,DSCF0368.JPG,5R/105MEDIA,0,Other_Amphibian,0.3252,2118.4,1621.6,2282.6,1772.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0324.JPG,DSCF0324.JPG,5R/105MEDIA,0,Other_Amphibian,0.3152,2116.1,1620.8,2284.9,1773.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0063.JPG,DSCF0063.JPG,5R/105MEDIA,0,Other_Amphibian,0.2407,2818.3,495.8,3067.7,855.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0063.JPG,DSCF0063.JPG,5R/105MEDIA,0,Other_Amphibian,0.2080,2824.7,490.1,3070.3,851.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0152.JPG,DSCF0152.JPG,5R/105MEDIA,0,Other_Amphibian,0.2086,2820.4,526.1,3056.6,840.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0288.JPG,DSCF0288.JPG,5R/105MEDIA,0,Other_Amphibian,0.2339,2118.8,1621.8,2284.5,1767.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0096.JPG,DSCF0096.JPG,5R/105MEDIA,0,Other_Amphibian,0.2438,2816.2,518.1,3060.8,871.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0247.JPG,DSCF0247.JPG,5R/105MEDIA,0,Other_Amphibian,0.2595,2122.0,1623.4,2283.5,1773.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0223.JPG,DSCF0223.JPG,5R/105MEDIA,0,Other_Amphibian,0.2302,2116.4,1623.0,2284.6,1776.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0376.JPG,DSCF0376.JPG,5R/105MEDIA,0,Other_Amphibian,0.2705,2120.8,1622.3,2284.7,1772.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0211.JPG,DSCF0211.JPG,5R/105MEDIA,0,Other_Amphibian,0.2235,2121.0,1624.8,2282.3,1777.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0345.JPG,DSCF0345.JPG,5R/105MEDIA,0,Other_Amphibian,0.2009,2122.0,1620.5,2283.5,1773.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0059.JPG,DSCF0059.JPG,5R/105MEDIA,0,Other_Amphibian,0.2021,2818.4,501.5,3063.1,859.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0099.JPG,DSCF0099.JPG,5R/105MEDIA,0,Other_Amphibian,0.2073,2818.5,521.8,3054.0,854.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0381.JPG,DSCF0381.JPG,5R/105MEDIA,0,Other_Amphibian,0.3398,2118.0,1618.6,2283.0,1773.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0076.JPG,DSCF0076.JPG,5R/105MEDIA,0,Other_Amphibian,0.2338,2812.7,513.4,3064.3,858.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0079.JPG,DSCF0079.JPG,5R/105MEDIA,0,Other_Amphibian,0.2749,2821.5,480.9,3069.0,845.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0079.JPG,DSCF0079.JPG,5R/105MEDIA,0,Other_Amphibian,0.2058,2820.4,504.2,3065.6,847.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0395.JPG,DSCF0395.JPG,5R/105MEDIA,0,Other_Amphibian,0.3301,2118.2,1617.4,2282.8,1772.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/5R/105MEDIA/DSCF0375.JPG,DSCF0375.JPG,5R/105MEDIA,0,Other_Amphibian,0.3279,2119.1,1623.3,2281.9,1773.7
