image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (326).JPG,6r-103 (326).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.8480,1745.6,1423.7,2027.9,1750.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (715).JPG,6r-103 (715).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.0108,3373.3,2197.5,3867.5,2445.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (710).JPG,6r-103 (710).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.0251,3375.0,2200.2,3866.4,2444.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/103MEDIA/6r-103 (709).JPG,6r-103 (709).JPG,6R/103MEDIA,2,Western_Leopard_Toad,0.0173,3372.0,2193.5,3869.9,2448.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/105MEDIA/6r-105 (16).JPG,6r-105 (16).JPG,6R/105MEDIA,2,Western_Leopard_Toad,0.0178,3473.7,1978.8,4312.2,2446.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/104MEDIA/6r-104 (112).JPG,6r-104 (112).JPG,6R/104MEDIA,2,Western_Leopard_Toad,0.0103,4233.5,1647.9,4604.7,2433.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/104MEDIA/6r-104 (78).JPG,6r-104 (78).JPG,6R/104MEDIA,2,Western_Leopard_Toad,0.0142,4047.6,0.0,4604.4,435.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (84).JPG,6r-102 (84).JPG,6R/102MEDIA,0,Other_Amphibian,0.5321,2267.6,1618.2,2458.1,1847.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (179).JPG,6r-102 (179).JPG,6R/102MEDIA,0,Other_Amphibian,0.1116,2028.5,1735.1,2253.1,1905.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (179).JPG,6r-102 (179).JPG,6R/102MEDIA,0,Other_Amphibian,0.0777,2061.8,1738.3,2271.0,1902.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (147).JPG,6r-102 (147).JPG,6R/102MEDIA,0,Other_Amphibian,0.5353,2181.1,1585.0,2377.5,1769.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (147).JPG,6r-102 (147).JPG,6R/102MEDIA,0,Other_Amphibian,0.3469,2196.2,1583.3,2387.1,1764.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (147).JPG,6r-102 (147).JPG,6R/102MEDIA,0,Other_Amphibian,0.0761,2211.9,1587.0,2338.8,1731.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (161).JPG,6r-102 (161).JPG,6R/102MEDIA,0,Other_Amphibian,0.7035,1879.9,1728.9,2080.6,1936.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (550).JPG,6r-102 (550).JPG,6R/102MEDIA,2,Western_Leopard_Toad,0.1229,2007.8,1895.2,3329.4,2187.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (550).JPG,6r-102 (550).JPG,6R/102MEDIA,2,Western_Leopard_Toad,0.0796,2346.0,1880.8,3397.7,2298.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (551).JPG,6r-102 (551).JPG,6R/102MEDIA,2,Western_Leopard_Toad,0.2752,2448.3,1898.9,3388.7,2296.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (551).JPG,6r-102 (551).JPG,6R/102MEDIA,2,Western_Leopard_Toad,0.0610,2457.2,1897.8,3379.0,2410.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (44).JPG,6r-102 (44).JPG,6R/102MEDIA,1,Small_Mammal,0.0150,3585.8,0.0,4608.0,2446.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (126).JPG,6r-102 (126).JPG,6R/102MEDIA,0,Other_Amphibian,0.2123,2363.4,1642.0,2540.8,1866.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (38).JPG,6r-102 (38).JPG,6R/102MEDIA,2,Western_Leopard_Toad,0.0156,4207.3,1481.5,4604.4,2443.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (548).JPG,6r-102 (548).JPG,6R/102MEDIA,2,Western_Leopard_Toad,0.0196,1946.7,1882.4,3298.3,2191.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/102MEDIA/6r-102 (163).JPG,6r-102 (163).JPG,6R/102MEDIA,0,Other_Amphibian,0.0726,1859.3,1367.1,2054.3,1627.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/101MEDIA/6r-101 (96).JPG,6r-101 (96).JPG,6R/101MEDIA,1,Small_Mammal,0.0721,2915.0,1048.8,3898.2,2434.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (425).JPG,6r-100 (425).JPG,6R/100MEDIA,1,Small_Mammal,0.0216,4150.6,0.0,4608.0,2461.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (9).JPG,6r-100 (9).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.1743,4300.4,1971.9,4606.9,2456.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (9).JPG,6r-100 (9).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0272,131.8,1705.7,859.4,2408.2
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (11).JPG,6r-100 (11).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0724,4308.6,1974.3,4607.5,2457.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (735).JPG,6r-100 (735).JPG,6R/100MEDIA,1,Small_Mammal,0.0108,3466.8,0.0,4518.1,2540.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (539).JPG,6r-100 (539).JPG,6R/100MEDIA,0,Other_Amphibian,0.2240,2537.4,1488.3,2690.7,1719.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (780).JPG,6r-100 (780).JPG,6R/100MEDIA,1,Small_Mammal,0.0111,3479.7,0.0,4496.6,2489.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (3).JPG,6r-100 (3).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0297,274.2,1702.6,849.2,2394.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (3).JPG,6r-100 (3).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0227,284.1,1703.3,852.7,2411.5
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (13).JPG,6r-100 (13).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.1575,4302.9,1901.8,4608.0,2454.7
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (13).JPG,6r-100 (13).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0308,4306.8,1961.0,4607.1,2451.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (520).JPG,6r-100 (520).JPG,6R/100MEDIA,1,Small_Mammal,0.0315,4008.2,0.0,4603.9,2502.9
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (12).JPG,6r-100 (12).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0497,4311.1,1977.0,4607.0,2449.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (843).JPG,6r-100 (843).JPG,6R/100MEDIA,1,Small_Mammal,0.0108,3461.7,0.0,4608.0,2520.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (518).JPG,6r-100 (518).JPG,6R/100MEDIA,1,Small_Mammal,0.0231,4121.6,0.0,4601.8,2461.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (4).JPG,6r-100 (4).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0171,4296.1,1952.8,4607.1,2455.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (517).JPG,6r-100 (517).JPG,6R/100MEDIA,1,Small_Mammal,0.0329,4049.5,0.0,4608.0,2474.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (519).JPG,6r-100 (519).JPG,6R/100MEDIA,1,Small_Mammal,0.0288,4021.7,0.0,4604.0,2500.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (17).JPG,6r-100 (17).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0300,4306.4,1966.8,4607.3,2457.0
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (18).JPG,6r-100 (18).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0437,205.2,1701.0,847.7,2391.4
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (18).JPG,6r-100 (18).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0315,4306.4,1988.4,4607.3,2452.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6R/100MEDIA/6r-100 (10).JPG,6r-100 (10).JPG,6R/100MEDIA,2,Western_Leopard_Toad,0.0224,4299.7,1981.2,4607.5,2449.2
