image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (530).JPG,6z-102 (530).JPG,6Z,2,Western_Leopard_Toad,0.0141,4255.4,0.0,4604.0,532.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-101 (229).JPG,6z-101 (229).JPG,6Z,2,Western_Leopard_Toad,0.0113,4348.8,2000.2,4607.8,2465.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (110).JPG,6z-104 (110).JPG,6Z,2,Western_Leopard_Toad,0.2191,4303.8,1226.3,4607.0,1829.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (521).JPG,6z-102 (521).JPG,6Z,2,Western_Leopard_Toad,0.0122,4261.7,0.0,4604.4,523.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (70).JPG,6z-102 (70).JPG,6Z,2,Western_Leopard_Toad,0.0137,2629.6,1569.1,3923.6,2451.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (576).JPG,6z-102 (576).JPG,6Z,2,Western_Leopard_Toad,0.7692,4223.9,2190.6,4603.9,2466.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (576).JPG,6z-102 (576).JPG,6Z,2,Western_Leopard_Toad,0.0699,3906.0,2189.2,4606.9,2469.1
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (576).JPG,6z-102 (576).JPG,6Z,2,Western_Leopard_Toad,0.0110,3744.9,2189.6,4608.0,2465.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-103 (199).JPG,6z-103 (199).JPG,6Z,2,Western_Leopard_Toad,0.0116,4271.9,1420.2,4606.1,1998.3
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-102 (577).JPG,6z-102 (577).JPG,6Z,2,Western_Leopard_Toad,0.6733,3797.2,2191.2,4607.2,2466.8
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (128).JPG,6z-104 (128).JPG,6Z,2,Western_Leopard_Toad,0.0930,4318.0,1260.6,4606.6,1810.6
/srv/shared_leopard_toad/2023/Cameras - AI Data/6Z/6z-104 (128).JPG,6z-104 (128).JPG,6Z,2,Western_Leopard_Toad,0.0135,4300.8,802.0,4607.7,1833.6
