image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0537.JPG,DSCF0537.JPG,4R/103MEDIA,0,Other_Amphibian,0.9099,2023.6,2138.8,2298.0,2449.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0541.JPG,DSCF0541.JPG,4R/103MEDIA,0,Other_Amphibian,0.9075,2178.8,1781.1,2467.1,2110.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0589.JPG,DSCF0589.JPG,4R/103MEDIA,0,Other_Amphibian,0.0159,3590.6,78.6,3761.3,291.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0543.JPG,DSCF0543.JPG,4R/103MEDIA,0,Other_Amphibian,0.8957,2305.7,1614.1,2608.3,1938.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0565.JPG,DSCF0565.JPG,4R/103MEDIA,0,Other_Amphibian,0.0429,3588.4,77.9,3757.7,295.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0802.JPG,DSCF0802.JPG,4R/103MEDIA,2,Western_Leopard_Toad,0.0155,1972.8,2188.7,2715.1,2446.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0553.JPG,DSCF0553.JPG,4R/103MEDIA,0,Other_Amphibian,0.9015,2899.9,1234.8,3283.3,1494.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0539.JPG,DSCF0539.JPG,4R/103MEDIA,0,Other_Amphibian,0.9117,2126.9,1940.1,2421.0,2318.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0574.JPG,DSCF0574.JPG,4R/103MEDIA,0,Other_Amphibian,0.0463,3588.7,78.8,3760.5,290.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0549.JPG,DSCF0549.JPG,4R/103MEDIA,0,Other_Amphibian,0.8963,2652.9,1268.2,3008.6,1620.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0566.JPG,DSCF0566.JPG,4R/103MEDIA,0,Other_Amphibian,0.2468,3590.1,83.1,3756.8,293.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0581.JPG,DSCF0581.JPG,4R/103MEDIA,0,Other_Amphibian,0.0485,3588.7,78.7,3757.6,289.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0568.JPG,DSCF0568.JPG,4R/103MEDIA,0,Other_Amphibian,0.0287,3589.4,78.7,3757.7,291.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0572.JPG,DSCF0572.JPG,4R/103MEDIA,0,Other_Amphibian,0.0153,3591.2,80.4,3757.5,292.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0544.JPG,DSCF0544.JPG,4R/103MEDIA,0,Other_Amphibian,0.9063,2369.8,1548.6,2707.8,1881.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0837.JPG,DSCF0837.JPG,4R/103MEDIA,0,Other_Amphibian,0.0103,2340.4,1613.6,2441.2,1732.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0556.JPG,DSCF0556.JPG,4R/103MEDIA,0,Other_Amphibian,0.8572,3110.9,1251.7,3461.8,1504.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0582.JPG,DSCF0582.JPG,4R/103MEDIA,0,Other_Amphibian,0.0173,3592.3,80.6,3759.5,290.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0576.JPG,DSCF0576.JPG,4R/103MEDIA,0,Other_Amphibian,0.0195,3591.0,81.4,3757.4,291.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0536.JPG,DSCF0536.JPG,4R/103MEDIA,0,Other_Amphibian,0.7772,1982.1,2233.4,2251.8,2451.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0567.JPG,DSCF0567.JPG,4R/103MEDIA,0,Other_Amphibian,0.1003,3589.9,81.1,3758.1,294.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0554.JPG,DSCF0554.JPG,4R/103MEDIA,0,Other_Amphibian,0.8673,2983.3,1277.7,3327.3,1487.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0966.JPG,DSCF0966.JPG,4R/103MEDIA,0,Other_Amphibian,0.0533,2342.0,1616.6,2436.2,1733.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0966.JPG,DSCF0966.JPG,4R/103MEDIA,0,Other_Amphibian,0.0163,2199.2,1395.7,2496.2,1646.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0841.JPG,DSCF0841.JPG,4R/103MEDIA,0,Other_Amphibian,0.0108,2341.6,1613.2,2442.6,1731.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0551.JPG,DSCF0551.JPG,4R/103MEDIA,0,Other_Amphibian,0.8711,2751.7,1271.7,3100.7,1531.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0778.JPG,DSCF0778.JPG,4R/103MEDIA,1,Small_Mammal,0.0122,3.7,369.9,112.6,905.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0778.JPG,DSCF0778.JPG,4R/103MEDIA,1,Small_Mammal,0.0101,2.2,319.5,105.7,844.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0791.JPG,DSCF0791.JPG,4R/103MEDIA,1,Small_Mammal,0.0130,4.3,370.8,109.8,919.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0967.JPG,DSCF0967.JPG,4R/103MEDIA,0,Other_Amphibian,0.0378,2343.6,1613.9,2444.5,1739.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0538.JPG,DSCF0538.JPG,4R/103MEDIA,0,Other_Amphibian,0.9104,2063.7,2033.8,2342.1,2438.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0550.JPG,DSCF0550.JPG,4R/103MEDIA,0,Other_Amphibian,0.9037,2728.5,1235.8,3061.5,1536.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0545.JPG,DSCF0545.JPG,4R/103MEDIA,0,Other_Amphibian,0.8999,2398.6,1519.4,2743.2,1840.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0813.JPG,DSCF0813.JPG,4R/103MEDIA,2,Western_Leopard_Toad,0.0146,1763.4,2177.3,2704.1,2450.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4R/103MEDIA/DSCF0542.JPG,DSCF0542.JPG,4R/103MEDIA,0,Other_Amphibian,0.9077,2243.7,1658.7,2561.5,2047.3
