image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0589.JPG,DSCF0589.JPG,4Z/103MEDIA,2,Western_Leopard_Toad,0.0163,3680.4,2290.1,4156.3,2463.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0911.JPG,DSCF0911.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1912,3505.4,1824.6,3758.3,2049.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0911.JPG,DSCF0911.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0584,3507.2,1824.8,3755.5,2051.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0922.JPG,DSCF0922.JPG,4Z/103MEDIA,0,Other_Amphibian,0.2274,3505.7,1827.7,3757.7,2049.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0922.JPG,DSCF0922.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0580,3507.7,1826.5,3755.3,2051.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0678.JPG,DSCF0678.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0670,3505.8,1819.8,3758.6,2048.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0678.JPG,DSCF0678.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0257,3507.6,1821.4,3756.0,2050.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0651.JPG,DSCF0651.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1305,3505.2,1821.2,3758.3,2049.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0651.JPG,DSCF0651.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0182,3507.3,1822.3,3756.0,2051.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0767.JPG,DSCF0767.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1168,3505.9,1823.5,3759.0,2049.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0767.JPG,DSCF0767.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0616,3507.6,1824.7,3755.8,2051.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0774.JPG,DSCF0774.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1805,3508.1,1822.7,3754.7,2050.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0774.JPG,DSCF0774.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0491,3506.0,1821.5,3758.6,2049.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0784.JPG,DSCF0784.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0863,3506.2,1821.0,3758.4,2048.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0784.JPG,DSCF0784.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0376,3508.2,1822.3,3755.8,2049.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0933.JPG,DSCF0933.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0544,3505.1,1813.6,3758.9,2050.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0933.JPG,DSCF0933.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0172,3506.5,1817.1,3756.6,2050.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0650.JPG,DSCF0650.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0343,3506.1,1816.5,3758.0,2050.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0765.JPG,DSCF0765.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1113,3505.8,1817.6,3759.0,2050.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0765.JPG,DSCF0765.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0554,3507.7,1820.2,3755.3,2051.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0594.JPG,DSCF0594.JPG,4Z/103MEDIA,2,Western_Leopard_Toad,0.0101,2090.0,1958.8,2818.4,2441.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0667.JPG,DSCF0667.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0527,3507.0,1823.5,3755.0,2051.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0667.JPG,DSCF0667.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0371,3505.0,1822.5,3757.9,2049.5
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0812.JPG,DSCF0812.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0561,3505.3,1817.6,3758.3,2049.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0812.JPG,DSCF0812.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0194,3507.1,1820.0,3756.5,2051.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0868.JPG,DSCF0868.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0256,3505.9,1809.7,3759.3,2048.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0868.JPG,DSCF0868.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0164,3507.6,1814.9,3755.5,2050.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0668.JPG,DSCF0668.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0784,3507.5,1822.7,3755.2,2051.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0668.JPG,DSCF0668.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0217,3505.5,1820.9,3758.4,2050.1
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0980.JPG,DSCF0980.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0152,2307.0,1478.6,2437.5,1715.7
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0679.JPG,DSCF0679.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0342,3508.4,1824.1,3755.5,2051.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0679.JPG,DSCF0679.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0237,3506.6,1822.5,3758.2,2049.2
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0752.JPG,DSCF0752.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0871,3508.4,1823.5,3755.1,2051.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0752.JPG,DSCF0752.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0482,3506.1,1822.3,3757.7,2049.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0640.JPG,DSCF0640.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1057,3507.7,1821.1,3755.0,2050.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0623.JPG,DSCF0623.JPG,4Z/103MEDIA,0,Other_Amphibian,0.2007,3508.6,1825.2,3754.6,2051.0
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0623.JPG,DSCF0623.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0629,3506.7,1825.2,3758.1,2049.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0734.JPG,DSCF0734.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0564,3505.8,1813.2,3760.4,2048.4
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0734.JPG,DSCF0734.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0409,3507.0,1817.5,3756.3,2049.9
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0777.JPG,DSCF0777.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0238,3507.8,1822.0,3755.4,2051.3
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0777.JPG,DSCF0777.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0188,3505.7,1820.4,3758.4,2049.8
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0891.JPG,DSCF0891.JPG,4Z/103MEDIA,0,Other_Amphibian,0.1378,3507.6,1828.3,3754.7,2050.6
/srv/shared_leopard_toad/2023/Cameras-Master Data/4Z/103MEDIA/DSCF0891.JPG,DSCF0891.JPG,4Z/103MEDIA,0,Other_Amphibian,0.0492,3505.3,1830.2,3757.6,2048.5
