image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0187.JPG,DSCF0187.JPG,3Z/104MEDIA,2,Western_Leopard_Toad,0.1849,2988.6,2428.9,3262.4,2732.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0187.JPG,DSCF0187.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0660,2988.6,2428.9,3262.4,2732.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0185.JPG,DSCF0185.JPG,3Z/104MEDIA,0,Other_Amphibian,0.5282,2612.3,1955.0,2855.1,2212.7
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0185.JPG,DSCF0185.JPG,3Z/104MEDIA,0,Other_Amphibian,0.1432,2617.7,1972.7,2835.8,2211.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0185.JPG,DSCF0185.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0362,3214.1,1679.3,3367.7,1913.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0184.JPG,DSCF0184.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0126,2774.1,1873.7,3154.9,2113.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0157.JPG,DSCF0157.JPG,3Z/104MEDIA,2,Western_Leopard_Toad,0.0177,2847.3,2748.1,3066.3,2867.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0564.JPG,DSCF0564.JPG,3Z/104MEDIA,2,Western_Leopard_Toad,0.0130,584.8,2108.5,1521.0,2572.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0155.JPG,DSCF0155.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0132,3106.5,1995.6,3228.4,2190.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0152.JPG,DSCF0152.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0147,3414.2,2615.8,3720.7,2852.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0189.JPG,DSCF0189.JPG,3Z/104MEDIA,0,Other_Amphibian,0.4758,2993.4,2042.6,3213.0,2283.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0149.JPG,DSCF0149.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0693,2639.2,1800.5,2767.7,2001.7
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0158.JPG,DSCF0158.JPG,3Z/104MEDIA,0,Other_Amphibian,0.3218,2914.3,1879.7,3111.2,2064.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0158.JPG,DSCF0158.JPG,3Z/104MEDIA,2,Western_Leopard_Toad,0.0600,2811.8,2666.7,3261.1,2866.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0186.JPG,DSCF0186.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0847,3212.3,1783.7,3335.7,2002.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0186.JPG,DSCF0186.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0252,2984.0,2013.9,3172.9,2245.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0196.JPG,DSCF0196.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0705,2795.2,2160.9,3053.1,2447.1
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0196.JPG,DSCF0196.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0140,2833.4,2171.9,2987.5,2311.2
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0211.JPG,DSCF0211.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0978,2488.7,2347.6,2634.9,2617.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0211.JPG,DSCF0211.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0105,2495.5,2354.8,2629.6,2672.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0191.JPG,DSCF0191.JPG,3Z/104MEDIA,0,Other_Amphibian,0.1365,3374.3,1750.4,3565.9,1946.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0169.JPG,DSCF0169.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0256,2949.4,2421.2,3141.7,2654.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0169.JPG,DSCF0169.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0212,3838.4,2564.5,4036.7,2759.1
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0525.JPG,DSCF0525.JPG,3Z/104MEDIA,2,Western_Leopard_Toad,0.0396,479.3,2119.3,1426.3,2578.1
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0192.JPG,DSCF0192.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0181,3374.4,1751.5,3562.8,1951.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0181.JPG,DSCF0181.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0426,3350.6,2007.0,3573.2,2287.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0181.JPG,DSCF0181.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0166,3357.0,2008.5,3597.4,2269.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0150.JPG,DSCF0150.JPG,3Z/104MEDIA,0,Other_Amphibian,0.4146,3288.6,2338.2,3471.1,2571.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0163.JPG,DSCF0163.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0590,2985.5,2613.4,3111.2,2852.6
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0176.JPG,DSCF0176.JPG,3Z/104MEDIA,0,Other_Amphibian,0.2568,2799.9,1789.8,3128.2,2030.7
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0176.JPG,DSCF0176.JPG,3Z/104MEDIA,0,Other_Amphibian,0.2036,2812.3,1786.7,3157.4,2030.2
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0176.JPG,DSCF0176.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0227,3053.1,1826.5,3163.7,1964.1
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0227.JPG,DSCF0227.JPG,3Z/104MEDIA,0,Other_Amphibian,0.1481,3189.8,1618.2,3359.6,1868.5
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0159.JPG,DSCF0159.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0647,3061.8,2594.5,3281.2,2846.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0159.JPG,DSCF0159.JPG,3Z/104MEDIA,2,Western_Leopard_Toad,0.0126,3061.8,2594.5,3281.2,2846.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0175.JPG,DSCF0175.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0705,3076.4,1998.0,3232.6,2250.2
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0203.JPG,DSCF0203.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0154,2935.2,1538.9,3137.1,1784.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0217.JPG,DSCF0217.JPG,3Z/104MEDIA,0,Other_Amphibian,0.1363,2503.9,1887.6,2676.5,2106.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0213.JPG,DSCF0213.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0256,3006.2,2033.8,3186.7,2283.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0197.JPG,DSCF0197.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0183,2531.0,2189.1,2681.7,2399.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0234.JPG,DSCF0234.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0542,3722.3,1714.1,3911.3,1930.4
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/104MEDIA/DSCF0234.JPG,DSCF0234.JPG,3Z/104MEDIA,0,Other_Amphibian,0.0364,3715.8,1681.6,3924.4,1932.6
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/102MEDIA/DSCF0221.JPG,DSCF0221.JPG,3Z/102MEDIA,0,Other_Amphibian,0.0104,2835.8,2619.3,3052.7,2840.8
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/102MEDIA/DSCF0891.JPG,DSCF0891.JPG,3Z/102MEDIA,2,Western_Leopard_Toad,0.0429,2811.5,2668.9,3223.1,2869.0
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/102MEDIA/DSCF0899.JPG,DSCF0899.JPG,3Z/102MEDIA,0,Other_Amphibian,0.3603,2951.2,1860.8,3099.7,2057.9
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/102MEDIA/DSCF0372.JPG,DSCF0372.JPG,3Z/102MEDIA,0,Other_Amphibian,0.0115,2732.6,2633.1,2961.4,2844.3
/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/3Z/102MEDIA/DSCF0097.JPG,DSCF0097.JPG,3Z/102MEDIA,0,Other_Amphibian,0.0127,2799.8,2666.3,2975.7,2854.7
