epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1102,1.95716,7.47275,2.10835,0.00139,0.66667,0.00617,0.00478,0.86301,4.49028,1.20676,1.429e-05,1.429e-05,1.429e-05
2,18.7848,1.89035,8.20009,2.13922,0.00145,0.66667,0.00714,0.00507,0.86502,4.47415,1.21415,4.24456e-05,4.24456e-05,4.24456e-05
3,24.7851,1.97727,8.42999,2.1326,0.00149,0.66667,0.00905,0.00688,0.84406,4.49269,1.20036,7.00353e-05,7.00353e-05,7.00353e-05
4,28.1428,1.73277,8.5027,1.97556,0.00155,0.66667,0.01119,0.00869,0.86217,4.46893,1.19517,9.70591e-05,9.70591e-05,9.70591e-05
5,36.7,1.94924,12.234,2.07321,0.00212,0.58333,0.08812,0.0705,0.88628,4.43491,1.19896,0.000123517,0.000123517,0.000123517
6,39.6138,1.61036,7.48737,1.66273,0.00484,0.5,0.2346,0.19725,0.98764,4.49237,1.20593,0.000149409,0.000149409,0.000149409
7,48.1583,1.51479,6.91005,1.67284,0.00621,0.5,0.2373,0.18847,1.10072,4.6545,1.20305,0.000174735,0.000174735,0.000174735
8,50.9525,1.4168,7.5451,1.68496,0.00511,0.5,0.27494,0.19068,1.25667,4.5716,1.28448,0.000199496,0.000199496,0.000199496
9,58.5876,1.38285,7.43512,1.63674,0.00407,0.69444,0.42364,0.30569,1.00096,4.46854,1.2006,0.00022369,0.00022369,0.00022369
10,61.3984,1.51196,5.96479,1.88093,0.00281,0.69444,0.51154,0.34858,1.00051,4.49368,1.17033,0.000247318,0.000247318,0.000247318
11,67.546,1.37082,7.10807,1.50331,0.00208,0.69444,0.51185,0.33538,1.04121,4.55464,1.20845,0.000270381,0.000270381,0.000270381
12,70.1923,1.6308,8.13521,2.0023,0.00187,0.58333,0.48873,0.3123,1.02547,4.54806,1.2184,0.000292878,0.000292878,0.000292878
13,76.4789,1.32157,6.11942,1.50372,0.00195,0.58333,0.47475,0.29443,1.10556,4.56911,1.29989,0.000314809,0.000314809,0.000314809
14,78.7527,1.30833,6.31025,1.57568,0.00227,0.66667,0.47895,0.30472,1.18011,4.50872,1.35309,0.000336174,0.000336174,0.000336174
15,85.7388,1.09051,5.45472,1.19774,0.00174,0.58333,0.46011,0.30637,1.29191,4.4932,1.43136,0.000356973,0.000356973,0.000356973
16,87.9818,1.49357,6.40297,1.56665,0.00177,0.66667,0.47711,0.27475,1.28989,4.54265,1.4801,0.000377206,0.000377206,0.000377206
