epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5523,0.64343,2.23718,0.28776,0.17832,0.16667,0.14456,0.12971,0.40699,1.55429,0.21743,0.00010003,0.00010003,0.00010003
2,68.0011,0.4464,1.0075,0.19532,0.81575,0.45833,0.45425,0.36801,0.37904,0.83679,0.19382,0.000210106,0.000210106,0.000210106
3,79.2061,0.33796,0.81005,0.14306,0.76493,0.5674,0.66679,0.52309,0.3108,0.62276,0.15318,0.000315655,0.000315655,0.000315655
4,88.1648,0.37038,0.64728,0.15346,0.84257,0.81598,0.80575,0.6156,0.31621,0.56822,0.15506,0.000416676,0.000416676,0.000416676
5,100.484,0.35065,0.50583,0.1512,0.7999,0.86417,0.85998,0.5686,0.40278,0.56937,0.20985,0.000513171,0.000513171,0.000513171
6,112.03,0.35343,0.49126,0.15594,0.97158,0.85263,0.87118,0.68548,0.24374,0.41124,0.12595,0.000605139,0.000605139,0.000605139
7,123.211,0.32597,0.45716,0.12714,0.97608,0.87224,0.9147,0.72891,0.23338,0.41467,0.11418,0.000692579,0.000692579,0.000692579
8,134.988,0.37579,0.50613,0.16769,0.98312,0.88431,0.96241,0.69147,0.3067,0.44282,0.14584,0.000775493,0.000775493,0.000775493
9,145.772,0.30009,0.45629,0.11925,0.97096,0.97518,0.98823,0.74902,0.23216,0.3691,0.11609,0.000853879,0.000853879,0.000853879
10,156.939,0.32715,0.4265,0.13982,0.96501,0.97518,0.98949,0.65877,0.37462,0.44945,0.19296,0.000927738,0.000927738,0.000927738
11,164.466,0.29988,0.4618,0.14678,0.9911,0.99339,0.99485,0.69269,0.31695,0.38902,0.15534,0.00099707,0.00099707,0.00099707
12,171.391,0.32146,0.49877,0.13653,0.91913,0.9957,0.9948,0.74875,0.29216,0.38705,0.13822,0.00106188,0.00106188,0.00106188
13,178.014,0.28475,0.46673,0.11226,0.98253,1,0.995,0.68958,0.35735,0.5003,0.16342,0.00108947,0.00108947,0.00108947
14,184.678,0.31815,0.46608,0.12667,0.78178,0.86588,0.92046,0.7206,0.23402,0.48647,0.10972,0.00106118,0.00106118,0.00106118
