epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8313,0.63497,2.25265,0.28311,0.17572,0.16667,0.14255,0.12881,0.40662,1.5877,0.23097,0.00010003,0.00010003,0.00010003
2,61.1151,0.44118,1.05666,0.18891,0.85915,0.46354,0.4558,0.36633,0.41367,0.77198,0.20531,0.000210106,0.000210106,0.000210106
3,70.1068,0.34957,0.84477,0.14591,0.59287,0.77328,0.6287,0.49305,0.30181,0.65303,0.14534,0.000315655,0.000315655,0.000315655
4,79.1893,0.36863,0.65347,0.15881,0.66826,0.83701,0.74799,0.57407,0.30955,0.57566,0.15051,0.000416676,0.000416676,0.000416676
5,88.0352,0.36384,0.56005,0.15712,0.8347,0.83616,0.87173,0.58944,0.40295,0.55126,0.20264,0.000513171,0.000513171,0.000513171
6,96.3131,0.34024,0.55316,0.14786,0.97279,0.8462,0.86725,0.6851,0.26163,0.44076,0.12779,0.000605139,0.000605139,0.000605139
7,104.209,0.32561,0.49348,0.1385,0.93505,0.83691,0.88739,0.73418,0.22031,0.42728,0.10196,0.000692579,0.000692579,0.000692579
8,112.024,0.3504,0.55394,0.14593,0.93732,0.86448,0.93026,0.64847,0.32177,0.46326,0.15392,0.000775493,0.000775493,0.000775493
9,119.848,0.30704,0.47991,0.12522,0.97254,0.86885,0.92525,0.71048,0.24319,0.41036,0.11486,0.000853879,0.000853879,0.000853879
10,128,0.29645,0.46392,0.12739,0.99061,0.88876,0.95953,0.64239,0.35427,0.42181,0.18661,0.000927738,0.000927738,0.000927738
11,136.359,0.29864,0.45512,0.12838,0.88407,1,0.97921,0.71118,0.29143,0.38566,0.13866,0.00099707,0.00099707,0.00099707
12,144.956,0.32529,0.48933,0.14484,0.9174,0.96628,0.98421,0.75616,0.28579,0.4163,0.13545,0.00106188,0.00106188,0.00106188
13,153.941,0.27737,0.47066,0.1111,0.98811,0.9788,0.995,0.71113,0.35371,0.42408,0.16957,0.00108947,0.00108947,0.00108947
14,161.696,0.30986,0.47635,0.12502,0.91352,0.90387,0.945,0.69778,0.29658,0.48643,0.13852,0.00106118,0.00106118,0.00106118
15,169.355,0.32393,0.41643,0.13227,0.94282,0.99025,0.995,0.65829,0.37212,0.41753,0.18547,0.00103288,0.00103288,0.00103288
16,177.028,0.35779,0.51664,0.12641,0.9779,0.91667,0.91623,0.70756,0.255,0.37531,0.11517,0.00100459,0.00100459,0.00100459
17,184.526,0.28558,0.44072,0.10889,0.98951,0.96934,0.995,0.68371,0.33316,0.43518,0.15535,0.000976293,0.000976293,0.000976293
18,192.448,0.32553,0.46073,0.1318,0.94984,0.99479,0.99109,0.70013,0.31709,0.40365,0.15405,0.000947999,0.000947999,0.000947999
19,199.827,0.26658,0.45134,0.10811,0.87274,0.9906,0.96722,0.74702,0.24945,0.36564,0.1203,0.000919704,0.000919704,0.000919704
20,207.591,0.26784,0.42738,0.09883,0.98967,1,0.995,0.79277,0.26353,0.36159,0.12627,0.00089141,0.00089141,0.00089141
21,215.774,0.27735,0.40596,0.11157,0.98493,0.99684,0.995,0.78345,0.26105,0.33035,0.12401,0.000863116,0.000863116,0.000863116
22,223.432,0.27293,0.40803,0.1197,0.99105,0.99936,0.995,0.79875,0.24392,0.3383,0.11918,0.000834822,0.000834822,0.000834822
23,231.423,0.31878,0.373,0.12671,0.9932,0.99223,0.995,0.75716,0.2373,0.3284,0.10529,0.000806528,0.000806528,0.000806528
24,239.232,0.31658,0.41413,0.12073,0.98583,0.99842,0.995,0.7867,0.24091,0.34947,0.11415,0.000778233,0.000778233,0.000778233
