epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4274,1.70186,7.59117,0.01079,0.44953,0.12255,0.15158,0.12367,1.11311,4.59307,0.00938,0.00010003,0.00010003,0.00010003
2,50.6088,1.33411,2.78916,0.00808,0.74435,0.35178,0.4435,0.29461,1.27681,1.62405,0.0111,0.000210106,0.000210106,0.000210106
3,54.6368,1.17678,1.47455,0.00696,0.71784,0.59191,0.70164,0.48871,1.22356,0.87847,0.01075,0.000315655,0.000315655,0.000315655
4,58.7825,1.15192,1.08676,0.00654,0.79784,0.86703,0.86519,0.63283,1.25557,0.64108,0.01101,0.000416676,0.000416676,0.000416676
5,62.778,1.14818,0.73187,0.00641,0.95803,0.87224,0.88608,0.65297,1.27535,0.52351,0.01119,0.000513171,0.000513171,0.000513171
6,66.865,0.98179,0.57124,0.00551,0.98456,0.84256,0.93204,0.70006,1.01896,0.42881,0.00873,0.000605139,0.000605139,0.000605139
7,71.0227,0.97878,0.56341,0.00511,0.95798,0.95245,0.98818,0.76318,0.92435,0.3137,0.00798,0.000692579,0.000692579,0.000692579
8,75.1424,1.1057,0.65572,0.00622,0.97707,0.97727,0.99387,0.70362,1.22919,0.37478,0.01043,0.000775493,0.000775493,0.000775493
9,79.1946,1.04813,0.51763,0.00541,0.977,0.88945,0.97808,0.74692,0.90748,0.28026,0.00769,0.000853879,0.000853879,0.000853879
10,83.0173,1.04353,0.57276,0.00629,0.9489,0.96078,0.9882,0.74224,1.00518,0.32257,0.00883,0.000927738,0.000927738,0.000927738
11,86.8304,0.97131,0.46627,0.00562,0.94806,0.96757,0.995,0.6953,1.20826,0.33667,0.01093,0.00099707,0.00099707,0.00099707
12,90.5773,1.07204,0.58119,0.00635,0.96291,0.86821,0.98651,0.68846,0.99643,0.52902,0.00912,0.00106188,0.00106188,0.00106188
13,94.4572,1.06037,0.55353,0.006,0.96526,0.98039,0.99014,0.71013,0.97318,0.2907,0.00895,0.00108947,0.00108947,0.00108947
14,98.5806,1.07802,0.59841,0.00568,0.95871,0.79412,0.95781,0.64323,1.24716,0.38251,0.01094,0.00106118,0.00106118,0.00106118
15,102.505,0.96715,0.49268,0.00535,0.98188,0.97849,0.99121,0.72418,1.10048,0.48927,0.00894,0.00103288,0.00103288,0.00103288
16,106.212,1.04653,0.58974,0.00566,0.86658,0.74328,0.79044,0.55265,1.16717,nan,0.0103,0.00100459,0.00100459,0.00100459
17,110.055,0.91752,0.47102,0.00504,0.95449,0.73438,0.75963,0.523,1.25887,nan,0.01124,0.000976293,0.000976293,0.000976293
18,113.826,1.02425,0.57993,0.00581,0.80077,0.8849,0.88486,0.63904,1.06026,nan,0.00965,0.000947999,0.000947999,0.000947999
19,117.535,0.98313,0.47074,0.00582,0.97546,0.81373,0.90174,0.66267,1.00787,nan,0.00952,0.000919704,0.000919704,0.000919704
20,121.238,0.98092,0.41255,0.00537,0.92562,0.91185,0.8915,0.62822,1.10042,nan,0.00994,0.00089141,0.00089141,0.00089141
21,125.148,0.89109,0.35669,0.00531,0.83159,0.91549,0.88776,0.67707,0.98348,nan,0.00883,0.000863116,0.000863116,0.000863116
22,128.88,0.95595,0.49563,0.00656,0.98286,0.96477,0.98317,0.70657,1.15628,nan,0.01087,0.000834822,0.000834822,0.000834822
23,132.725,0.87641,0.3667,0.00565,0.99259,0.98799,0.99495,0.74318,0.9968,nan,0.00884,0.000806528,0.000806528,0.000806528
24,136.601,0.88345,0.43703,0.00451,0.92021,1,0.97833,0.78374,0.77154,nan,0.00647,0.000778233,0.000778233,0.000778233
25,140.471,0.95773,0.36345,0.00507,0.92549,1,0.97833,0.73373,1.07714,nan,0.00909,0.000749939,0.000749939,0.000749939
26,144.818,0.93914,0.40225,0.00545,0.98925,1,0.995,0.75528,0.83672,0.21892,0.00762,0.000721645,0.000721645,0.000721645
27,150.436,0.84329,0.41097,0.00489,0.98882,0.99793,0.995,0.76061,0.85522,0.23845,0.00792,0.000693351,0.000693351,0.000693351
28,155.59,0.87856,0.44213,0.00503,0.9912,0.99053,0.995,0.78011,0.87312,0.25478,0.00753,0.000665057,0.000665057,0.000665057
29,161.982,0.88544,0.40659,0.00503,0.96645,0.99161,0.995,0.79848,0.82386,0.22528,0.00701,0.000636762,0.000636762,0.000636762
30,168.64,0.82606,0.33081,0.00472,0.98254,0.98746,0.995,0.78304,0.82098,0.21455,0.00684,0.000608468,0.000608468,0.000608468
31,174.317,0.83447,0.42299,0.00492,0.98937,0.99695,0.995,0.78791,0.87103,0.23402,0.00717,0.000580174,0.000580174,0.000580174
32,179.958,0.77992,0.2877,0.00433,0.99318,0.99964,0.995,0.79659,0.83357,0.22042,0.00716,0.00055188,0.00055188,0.00055188
33,186.617,0.90501,0.38013,0.00501,0.98277,0.97337,0.995,0.78984,0.88033,0.24155,0.00794,0.000523586,0.000523586,0.000523586
34,192.236,0.72475,0.26829,0.00418,0.99279,1,0.995,0.76574,0.92461,0.23946,0.00816,0.000495291,0.000495291,0.000495291
35,199.318,0.70048,0.2508,0.0046,0.99229,1,0.995,0.7909,0.89473,0.24284,0.00771,0.000466997,0.000466997,0.000466997
36,204.211,0.76703,0.30742,0.0042,0.99226,1,0.995,0.82463,0.73401,0.21083,0.0063,0.000438703,0.000438703,0.000438703
37,211.295,0.72239,0.27642,0.00417,0.99265,1,0.995,0.83905,0.64802,0.19494,0.00551,0.000410409,0.000410409,0.000410409
38,217.345,0.76243,0.28967,0.00483,0.9945,0.9955,0.995,0.81503,0.71278,0.19811,0.0058,0.000382115,0.000382115,0.000382115
39,225.002,0.72292,0.28419,0.00384,0.99446,1,0.995,0.81458,0.76824,0.19848,0.00607,0.00035382,0.00035382,0.00035382
40,231.389,0.70653,0.26036,0.00414,0.99311,1,0.995,0.82381,0.71282,0.18339,0.00573,0.000325526,0.000325526,0.000325526
41,242.926,0.56322,0.19964,0.00358,0.99344,1,0.995,0.82397,0.66468,0.17206,0.00556,0.000297232,0.000297232,0.000297232
42,249.344,0.58519,0.2026,0.00453,0.99427,0.99909,0.995,0.82612,0.7051,0.181,0.00604,0.000268938,0.000268938,0.000268938
43,257.573,0.55426,0.16327,0.0035,0.99476,0.9979,0.995,0.8254,0.69152,0.17932,0.00589,0.000240644,0.000240644,0.000240644
44,263.447,0.58405,0.19565,0.0044,0.99517,0.99729,0.995,0.81743,0.7295,0.18948,0.00597,0.000212349,0.000212349,0.000212349
45,270.603,0.52727,0.18762,0.00321,0.99496,0.99798,0.995,0.80471,0.80075,0.20729,0.00635,0.000184055,0.000184055,0.000184055
