epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2342,1.93318,7.27048,0.01235,0.44457,0.30882,0.15174,0.1267,1.20195,5.50136,0.01018,0.00010003,0.00010003,0.00010003
2,61.5801,1.64015,6.09154,0.01078,0.43488,0.26961,0.17589,0.15386,1.37563,4.93331,0.0116,0.000210106,0.000210106,0.000210106
3,67.1697,1.53797,4.98897,0.01006,0.16295,0.51716,0.29022,0.22572,1.48884,3.91102,0.01257,0.000315655,0.000315655,0.000315655
4,75.0688,1.64337,3.46305,0.01034,0.43497,0.43596,0.42247,0.32773,1.4229,2.7467,0.01174,0.000416676,0.000416676,0.000416676
5,81.9981,1.62035,2.82493,0.0101,0.42681,0.38513,0.39512,0.29359,1.44698,1.91033,0.01206,0.000513171,0.000513171,0.000513171
6,87.6537,1.39171,1.89407,0.00817,0.83719,0.48398,0.49026,0.36239,1.45505,1.5983,0.01197,0.000605139,0.000605139,0.000605139
7,95.7435,1.49031,2.16888,0.00841,0.93197,0.4916,0.53377,0.39937,1.47084,1.4375,0.01207,0.000692579,0.000692579,0.000692579
8,101.831,1.55043,2.25497,0.00919,0.90944,0.50925,0.56416,0.42069,1.42795,1.35655,0.01186,0.000775493,0.000775493,0.000775493
9,108.503,1.47949,1.9493,0.00788,0.55609,0.57684,0.57349,0.40478,1.44218,1.32377,0.01246,0.000853879,0.000853879,0.000853879
10,115.623,1.36448,1.69451,0.00857,0.71845,0.63848,0.64305,0.4559,1.44026,1.31095,0.0127,0.000927738,0.000927738,0.000927738
11,122.054,1.33871,1.74577,0.00865,0.82736,0.66452,0.69588,0.48956,1.46161,1.22934,0.01298,0.00099707,0.00099707,0.00099707
12,128.519,1.38734,1.80741,0.0086,0.86664,0.63848,0.68584,0.47669,1.41798,1.12963,0.01199,0.00106188,0.00106188,0.00106188
