layer                                    name                type  gradient  parameters               shape        mu     sigma
    0                     model.0.conv.weight              Conv2d     False        1728       [64, 3, 3, 3]  -0.00428     0.317        float32
    1                       model.0.bn.weight         BatchNorm2d     False          64                [64]      4.41     0.977        float32
    1                         model.0.bn.bias         BatchNorm2d     False          64                [64]    -0.198      2.46        float32
    2                             model.0.act                SiLU     False           0                  []         -         -              -
    3                     model.1.conv.weight              Conv2d     False       73728     [128, 64, 3, 3]  -0.00239    0.0521        float32
    4                       model.1.bn.weight         BatchNorm2d     False         128               [128]      2.81     0.697        float32
    4                         model.1.bn.bias         BatchNorm2d     False         128               [128]     0.893      1.48        float32
    5                 model.2.cv1.conv.weight              Conv2d     False       16384    [128, 128, 1, 1]  -0.00826    0.0857        float32
    6                   model.2.cv1.bn.weight         BatchNorm2d     False         128               [128]      1.46      0.63        float32
    6                     model.2.cv1.bn.bias         BatchNorm2d     False         128               [128]     0.404      1.07        float32
    7                 model.2.cv2.conv.weight              Conv2d     False       49152    [256, 192, 1, 1]  -0.00409    0.0574        float32
    8                   model.2.cv2.bn.weight         BatchNorm2d     False         256               [256]     0.975      0.29        float32
    8                     model.2.cv2.bn.bias         BatchNorm2d     False         256               [256]    -0.777     0.699        float32
    9             model.2.m.0.cv1.conv.weight              Conv2d     False        2048      [32, 64, 1, 1]    -0.013     0.125        float32
   10               model.2.m.0.cv1.bn.weight         BatchNorm2d     False          32                [32]     0.845     0.362        float32
   10                 model.2.m.0.cv1.bn.bias         BatchNorm2d     False          32                [32]      0.57     0.593        float32
   11             model.2.m.0.cv2.conv.weight              Conv2d     False        2048      [32, 64, 1, 1]  -0.00785    0.0972        float32
   12               model.2.m.0.cv2.bn.weight         BatchNorm2d     False          32                [32]      1.24      0.39        float32
   12                 model.2.m.0.cv2.bn.bias         BatchNorm2d     False          32                [32]    0.0815     0.416        float32
   13             model.2.m.0.cv3.conv.weight              Conv2d     False        4096      [64, 64, 1, 1]  -0.00254     0.112        float32
   14               model.2.m.0.cv3.bn.weight         BatchNorm2d     False          64                [64]       1.5     0.316        float32
   14                 model.2.m.0.cv3.bn.bias         BatchNorm2d     False          64                [64]     0.696      1.02        float32
   15         model.2.m.0.m.0.cv1.conv.weight              Conv2d     False        9216      [32, 32, 3, 3]  -0.00157     0.069        float32
   16           model.2.m.0.m.0.cv1.bn.weight         BatchNorm2d     False          32                [32]      1.05     0.367        float32
   16             model.2.m.0.m.0.cv1.bn.bias         BatchNorm2d     False          32                [32]     0.188         1        float32
   17         model.2.m.0.m.0.cv2.conv.weight              Conv2d     False        9216      [32, 32, 3, 3]  -0.00278    0.0656        float32
   18           model.2.m.0.m.0.cv2.bn.weight         BatchNorm2d     False          32                [32]     0.764     0.225        float32
   18             model.2.m.0.m.0.cv2.bn.bias         BatchNorm2d     False          32                [32]     0.641     0.779        float32
   19         model.2.m.0.m.1.cv1.conv.weight              Conv2d     False        9216      [32, 32, 3, 3]  -0.00319    0.0641        float32
   20           model.2.m.0.m.1.cv1.bn.weight         BatchNorm2d     False          32                [32]     0.804     0.222        float32
   20             model.2.m.0.m.1.cv1.bn.bias         BatchNorm2d     False          32                [32]    -0.135     0.799        float32
   21         model.2.m.0.m.1.cv2.conv.weight              Conv2d     False        9216      [32, 32, 3, 3]  -0.00119    0.0647        float32
   22           model.2.m.0.m.1.cv2.bn.weight         BatchNorm2d     False          32                [32]     0.816     0.216        float32
   22             model.2.m.0.m.1.cv2.bn.bias         BatchNorm2d     False          32                [32]      1.71     0.803        float32
