crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0414_crop0.jpg,39,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0414.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,39,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0418_crop0.jpg,33,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0418.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0415_crop0.jpg,32,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0415.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0416_crop0.jpg,31,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0416.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,30,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0417_crop0.jpg,30,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0417.JPG
2025__Documents__15.09-22.09.2025__5Z__100MEDIA__DSCF0228_crop0.jpg,2025__Documents__25.08-01.09.2025__5R__101MEDIA__DSCF0813_crop0.jpg,30,2025,/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/5Z/100MEDIA/DSCF0228.JPG,/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/5R/101MEDIA/DSCF0813.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,29,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0044_crop0.jpg,27,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0044.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0090_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0008_crop0.jpg,27,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0090.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0008.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__6R__102MEDIA__DSCF0469_crop0.jpg,25,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/6R/102MEDIA/DSCF0469.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0213_crop0.jpg,24,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0213.JPG
