crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0414_crop0.jpg,36,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0414.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,34,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0418_crop0.jpg,32,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0418.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,31,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0416_crop0.jpg,31,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0416.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0417_crop0.jpg,29,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0417.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0341_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,29,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0341.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0415_crop0.jpg,27,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0415.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0090_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0008_crop0.jpg,27,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0090.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0008.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0338_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,26,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0338.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0201_crop0.jpg,25,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0201.JPG
2025__Documents__15.09-22.09.2025__5Z__100MEDIA__DSCF0228_crop0.jpg,2025__Documents__25.08-01.09.2025__5R__101MEDIA__DSCF0813_crop0.jpg,25,2025,/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/5Z/100MEDIA/DSCF0228.JPG,/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/5R/101MEDIA/DSCF0813.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__101MEDIA__DSCF0693_crop0.jpg,24,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/101MEDIA/DSCF0693.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__6R__102MEDIA__DSCF0469_crop0.jpg,22,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/6R/102MEDIA/DSCF0469.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__23.08.2024__6R__104MEDIA__DSCF0097_crop0.jpg,22,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/23.08.2024/6R/104MEDIA/DSCF0097.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__6R__110MEDIA__DSCF0899_crop0.jpg,22,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/6R/110MEDIA/DSCF0899.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__02.10.2024__6R__101MEDIA__DSCF0991_crop0.jpg,22,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/02.10.2024/6R/101MEDIA/DSCF0991.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__12.19.08.2025__5R__105MEDIA__DSCF0959_crop0.jpg,22,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/5R/105MEDIA/DSCF0959.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0211_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0211.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__02.10.2024__5R__101MEDIA__DSCF0501_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/101MEDIA/DSCF0501.JPG
