crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,37,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0414_crop0.jpg,36,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0414.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0417_crop0.jpg,36,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0417.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0418_crop0.jpg,30,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0418.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0206_crop0.jpg,28,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0206.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0415_crop0.jpg,28,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0415.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0090_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0008_crop0.jpg,28,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0090.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0008.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0076_crop0.jpg,2024__18.11.2024__4R__114MEDIA__DSCF0416_crop0.jpg,26,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0076.JPG,/srv/shared_leopard_toad/2024/18.11.2024/4R/114MEDIA/DSCF0416.JPG
2025__Documents__12.19.08.2025__4Z__108MEDIA__DSCF0724_crop0.jpg,2025__Documents__12.19.08.2025__4R__108MEDIA__DSCF0718_crop0.jpg,26,2025,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4Z/108MEDIA/DSCF0724.JPG,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4R/108MEDIA/DSCF0718.JPG
2025__Documents__15.09-22.09.2025__5Z__100MEDIA__DSCF0228_crop0.jpg,2025__Documents__25.08-01.09.2025__5R__101MEDIA__DSCF0813_crop0.jpg,23,2025,/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/5Z/100MEDIA/DSCF0228.JPG,/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/5R/101MEDIA/DSCF0813.JPG
